Date(s) conducted,Pollster/client(s),Area,Sample size,Con,Lab,LD,SNP,PC,UKIP,Grn,Others,Lead
4–6 Oct,Opinium/The Observer,GB,2009,40%,42%,5%,4%,0%,5%,2%,1%,2
4–5 Oct,Survation,UK,2047,38%,44%,7%,3%,1%,4%,1%,2%,6
4–5 Oct,YouGov/The Times,GB,1615,40%,42%,7%,4%,4%,4%,2%,1%,2
29 Sep,Henry Bolton is elected leader of UKIP[20],Henry Bolton is elected leader of UKIP[20],Henry Bolton is elected leader of UKIP[20],Henry Bolton is elected leader of UKIP[20],Henry Bolton is elected leader of UKIP[20],Henry Bolton is elected leader of UKIP[20],Henry Bolton is elected leader of UKIP[20],Henry Bolton is elected leader of UKIP[20],Henry Bolton is elected leader of UKIP[20],Henry Bolton is elected leader of UKIP[20],Henry Bolton is elected leader of UKIP[20],Henry Bolton is elected leader of UKIP[20]
26–29 Sep,BMG/The Independent,GB,1910,37%,42%,10%,3%,0%,4%,3%,1%,5
22–24 Sep,ICM/The Guardian,GB,1968,40%,42%,8%,3%,1%,4%,2%,1%,2
22–24 Sep,YouGov/The Times,GB,1716,39%,43%,7%,4%,4%,4%,2%,0%,4
22 Sep,Survation/The Mail on Sunday,UK,1174,38%,42%,8%,4%,1%,4%,2%,2%,4
19–22 Sep,Opinium/The Observer,GB,2004,42%,40%,6%,4%,1%,4%,2%,1%,2
15–20 Sep,Survation/LabourList,UK,1614,40%,41%,7%,3%,1%,5%,2%,1%,1
15–18 Sep,Ipsos MORI,GB,1023,40%,44%,9%,4%,0%,2%,1%,0%,4
12–15 Sep,BMG/The Independent,GB,1447,39%,38%,8%,3%,0%,6%,4%,1%,1
12–15 Sep,Opinium/The Observer,GB,2009,41%,41%,5%,4%,1%,5%,3%,0%,Tie
12–13 Sep,YouGov/The Times,GB,1660,41%,42%,7%,4%,4%,3%,2%,1%,1
8–10 Sep,ICM/The Guardian,GB,2052,42%,42%,7%,3%,0%,4%,3%,0%,Tie
31 Aug – 1 Sep,Survation/The Mail on Sunday,UK,1046,38%,43%,7%,3%,1%,4%,–,3%,5
30–31 Aug,YouGov/The Times,GB,1658,41%,42%,6%,4%,4%,4%,2%,0%,1
25–28 Aug,ICM/The Guardian,GB,1972,42%,42%,7%,2%,0%,3%,3%,0%,Tie
21–22 Aug,YouGov/The Times,GB,1664,41%,42%,8%,4%,4%,4%,1%,0%,1
15–18 Aug,Opinium/The Observer,GB,2006,40%,43%,6%,4%,1%,4%,2%,1%,3
7–11 Aug,BMG/The Independent,GB,1512,42%,39%,7%,2%,0%,6%,3%,0%,3
31 Jul – 1 Aug,YouGov/The Times,GB,1665,41%,44%,7%,3%,3%,3%,2%,0%,3
20 Jul,Vince Cable is elected leader of the Liberal Democrats[21],Vince Cable is elected leader of the Liberal Democrats[21],Vince Cable is elected leader of the Liberal Democrats[21],Vince Cable is elected leader of the Liberal Democrats[21],Vince Cable is elected leader of the Liberal Democrats[21],Vince Cable is elected leader of the Liberal Democrats[21],Vince Cable is elected leader of the Liberal Democrats[21],Vince Cable is elected leader of the Liberal Democrats[21],Vince Cable is elected leader of the Liberal Democrats[21],Vince Cable is elected leader of the Liberal Democrats[21],Vince Cable is elected leader of the Liberal Democrats[21],Vince Cable is elected leader of the Liberal Democrats[21]
18–19 Jul,YouGov/The Times,GB,1593,41%,43%,6%,4%,4%,3%,2%,0%,2
14–18 Jul,Ipsos MORI,GB,1071,41%,42%,9%,3%,0%,3%,2%,1%,1
14–16 Jul,ICM/The Guardian,GB,2046,42%,43%,7%,3%,1%,3%,2%,0%,1
14–15 Jul,Survation/The Mail on Sunday,UK,1024,39%,41%,8%,3%,1%,6%,1%,1%,2
11–14 Jul,BMG,GB,1518,37%,42%,10%,–,–,4%,–,7%,5
11–14 Jul,Opinium/The Observer,GB,2013,41%,43%,5%,3%,0%,5%,2%,0%,2
10–11 Jul,YouGov/The Times,GB,1700,40%,45%,7%,4%,4%,2%,1%,0%,5
5–6 Jul,YouGov/The Times,GB,1648,38%,46%,6%,4%,4%,4%,1%,1%,8
30 Jun – 3 Jul,ICM/The Guardian,GB,2044,41%,43%,7%,3%,0%,3%,3%,0%,2
28–30 Jun,Survation,UK,1017,41%,40%,7%,2%,0%,2%,2%,6%[f],1
27–29 Jun,Opinium/The Observer,GB,2010,39%,45%,5%,3%,1%,5%,2%,0%,6
16–21 Jun,Panelbase/The Sunday Times,GB,5481,41%,46%,6%,3%,<1%,2%,1%,<1%,5
16–17 Jun,Survation/Good Morning Britain,UK,1005,41%,44%,6%,3%,1%,2%,1%,3%[g],3
10 Jun,Survation/The Mail on Sunday,UK,1036,39%,45%,7%,3%,1%,3%,–,2%,6
8 Jun 2017,2017 general election,GB,–,43.4%,41.0%,7.6%,3.1%,0.5%,1.9%,1.7%,0.8%,2.4
8 Jun 2017,2017 general election,UK,–,42.3%,40.0%,7.4%,3.0%,0.5%,1.8%,1.6%,3.3%,2.3
