Date(s) conducted,Pollster/client(s),Area,Sample size,Con,Lab,LD,SNP,UKIP,Grn,PC,Brx,Chg,Others,Lead
30–31 Oct,ORB/The Sunday Telegraph Archived 3 November 2019 at the Wayback Machine,GB,2025,36%,28%,14%,5%,0%,4%,0%,12%,0%,1%,8
30–31 Oct,Panelbase Archived 12 November 2020 at the Wayback Machine,GB,1008,40%,29%,14%,3%,0%,3%,0%,9%,0%,1%,11
29–30 Oct,YouGov/The Times,GB,1750,36%,21%,18%,4%,0%,6%,1%,13%,0%,1%,15
29–30 Oct,Survation/Daily Mail,UK,1010,34%,26%,19%,4%,0%,1%,0%,12%,0%,4%,8
29 Oct,,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election,The House of Commons votes for an early general election
25–28 Oct,Ipsos MORI/Evening Standard,GB,1007,41%,24%,20%,4%,0%,3%,1%,7%,0%,0%,17
17–28 Oct,YouGov,GB,11590,36%,22%,19%,4%,0%,6%,1%,12%,0%,0%,14
24–25 Oct,YouGov/The Times,GB,1672,36%,23%,18%,4%,0%,6%,1%,12%,0%,0%,13
23–25 Oct,Opinium/The Observer Archived 19 December 2019 at the Wayback Machine,GB,2001,40%,24%,15%,5%,1%,3%,0%,10%,0%,1%,16
20–21 Oct,YouGov/The Times,GB,1689,37%,22%,19%,3%,1%,7%,1%,11%,0%,0%,15
18–21 Oct,Deltapoll,GB,2017,37%,24%,19%,4%,1%,3%,1%,11%,0%,0%,13
17–18 Oct,Panelbase,GB,1008,36%,27%,17%,4%,0%,3%,0%,11%,0%,0%,9
17–18 Oct,Survation/Daily Mail,UK,1025,32%,24%,21%,4%,0%,2%,1%,13%,0%,4%,8
16–17 Oct,ComRes/Britain Elects,GB,2067,33%,29%,18%,4%,0%,4%,1%,12%,0%,0%,4
15–17 Oct,Opinium/The Observer Archived 12 November 2019 at the Wayback Machine,GB,2001,37%,24%,16%,4%,2%,4%,1%,12%,0%,1%,13
14–15 Oct,YouGov/The Times,GB,1625,37%,22%,18%,4%,1%,5%,1%,11%,0%,0%,15
10–15 Oct,Kantar[permanent dead link],GB,1184,39%,25%,18%,3%,1%,3%,1%,8%,0%,1%,14
9–11 Oct,Panelbase/The Sunday Times Archived 29 August 2022 at the Wayback Machine,GB,2013,33%,30%,17%,4%,0%,3%,0%,12%,0%,0%,3
9–10 Oct,ComRes/Daily Express,GB,2018,33%,27%,18%,4%,0%,4%,0%,12%,0%,2%,6
8–9 Oct,YouGov/The Times,GB,1616,35%,22%,20%,4%,0%,6%,1%,12%,1%,0%,13
4–7 Oct,ICM Research/Represent Us,GB,2013,35%,29%,16%,3%,1%,4%,1%,11%,0%,1%,6
4–6 Oct,ComRes/The Daily Telegraph,GB,2006,33%,27%,19%,4%,1%,3%,1%,13%,0%,1%,6
3–4 Oct,Opinium/The Observer Archived 17 December 2019 at the Wayback Machine,GB,2006,38%,23%,15%,5%,1%,4%,0%,12%,0%,0%,15
1–4 Oct,BMG/The Independent,GB,1514,31%,26%,20%,3%,0%,7%,1%,11%,0%,0%,5
30 Sep – 1 Oct,YouGov/The Times,GB,1623,34%,21%,23%,3%,0%,5%,1%,12%,0%,1%,11
26–27 Sep,YouGov/The Sunday Times,GB,1623,33%,22%,21%,4%,0%,5%,1%,13%,0%,1%,11
25–27 Sep,Opinium/The Observer Archived 29 September 2019 at the Wayback Machine,GB,2007,36%,24%,20%,5%,0%,2%,1%,11%,0%,1%,12
25 Sep,Survation/Daily Mail,UK,1011,27%,24%,22%,4%,0%,3%,0%,16%,0%,4%,3
24–25 Sep,YouGov/The Times,GB,1635,33%,22%,22%,3%,0%,6%,1%,14%,0%,0%,11
19–20 Sep,YouGov/People's Vote,GB,2006,30%,23%,22%,4%,0%,5%,0%,14%,0%,1%,7
19–20 Sep,Opinium/The Observer Archived 22 September 2019 at the Wayback Machine,GB,2004,37%,22%,17%,4%,2%,4%,1%,12%,0%,0%,15
18–19 Sep,ComRes/Britain Elects,GB,2050,29%,27%,20%,4%,0%,4%,0%,13%,1%,0%,2
17–18 Sep,YouGov/The Times,GB,1608,32%,21%,23%,4%,1%,4%,1%,14%,0%,2%,9
13–16 Sep,Ipsos MORI/Evening Standard,GB,1006,33%,24%,23%,4%,4%,4%,4%,10%,0%,1%,9
11–13 Sep,Opinium/The Observer Archived 7 December 2019 at the Wayback Machine,GB,2002,37%,25%,16%,4%,1%,2%,1%,13%,0%,0%,12
11–12 Sep,ComRes/Sunday Express,GB,2057,28%,27%,20%,4%,1%,5%,1%,13%,1%,0%,1
9–10 Sep,YouGov/The Times,GB,1676,32%,23%,19%,4%,0%,7%,0%,14%,0%,1%,9
5–9 Sep,Kantar Archived 7 November 2019 at the Wayback Machine,GB,1144,38%,24%,20%,4%,1%,3%,1%,7%,1%,1%,14
6–8 Sep,ComRes/The Daily Telegraph,GB,2016,30%,29%,17%,3%,1%,4%,1%,13%,0%,2%,1
5–7 Sep,Deltapoll/The Sun on Sunday,GB,2049,31%,28%,17%,5%,1%,4%,1%,13%,0%,0%,3
5–6 Sep,YouGov/The Sunday Times,GB,1676,35%,21%,19%,4%,1%,7%,0%,12%,0%,1%,14
5–6 Sep,Panelbase,GB,1013,31%,28%,19%,3%,0%,2%,0%,15%,0%,0%,3
5–6 Sep,Survation/Daily Mail,UK,1006,29%,24%,18%,4%,0%,3%,1%,17%,0%,5%,5
4–6 Sep,ComRes/Britain Elects,GB,2009,31%,27%,20%,3%,1%,3%,1%,13%,0%,1%,4
4–6 Sep,Opinium/The Observer Archived 27 December 2019 at the Wayback Machine,GB,2009,35%,25%,17%,5%,1%,3%,0%,13%,0%,1%,10
3–6 Sep,BMG/The Independent,GB,1504,31%,27%,19%,3%,1%,6%,0%,13%,0%,0%,4
3–4 Sep,Hanbury Strategy Archived 9 March 2021 at the Wayback Machine,GB,995,33%,26%,17%,4%,0%,3%,1%,14%,0%,2%,7[b]
2–3 Sep,YouGov/The Times,GB,1639,35%,25%,16%,4%,1%,7%,1%,11%,0%,0%,10
30 Aug – 3 Sep,ICM Research/Represent Us,GB,2041,37%,30%,16%,3%,1%,4%,1%,9%,0%,1%,7
29–31 Aug,Deltapoll/The Mail on Sunday,GB,2028,35%,24%,18%,4%,0%,4%,1%,14%,1%,0%,11
29–30 Aug,Survation/Daily Mail,UK,1020,31%,24%,21%,4%,0%,3%,1%,14%,0%,3%,7
28–29 Aug,YouGov,GB,1867,33%,22%,21%,4%,0%,7%,1%,12%,0%,1%,11
27–28 Aug,YouGov/The Times,GB,2006,34%,22%,17%,4%,1%,8%,1%,13%,0%,1%,12
22–23 Aug,YouGov/The Sunday Times,GB,2019,33%,21%,19%,4%,0%,7%,1%,14%,0%,1%,12
21–23 Aug,Opinium/The Observer,GB,2005,32%,26%,15%,5%,1%,4%,1%,16%,0%,1%,6
20–21 Aug,YouGov/The Times,GB,1687,32%,22%,20%,4%,0%,7%,1%,12%,0%,2%,10
15–19 Aug,Kantar Archived 21 August 2019 at the Wayback Machine,GB,1133,42%,28%,15%,5%,0%,3%,0%,5%,1%,1%,14
13–14 Aug,YouGov/The Times,GB,1625,30%,21%,20%,4%,1%,8%,1%,14%,0%,2%,9
7–12 Aug,BMG/The Independent,GB,1515,31%,25%,19%,3%,1%,6%,1%,12%,0%,2%,6
9–11 Aug,ComRes/The Daily Telegraph,GB,2011,31%,27%,16%,3%,1%,4%,0%,16%,0%,2%,4
6–11 Aug,Survation,UK,2040,28%,24%,21%,4%,0%,3%,0%,15%,0%,4%,4
10 Aug,,Richard Braine is elected leader of UKIP[7],Richard Braine is elected leader of UKIP[7],Richard Braine is elected leader of UKIP[7],Richard Braine is elected leader of UKIP[7],Richard Braine is elected leader of UKIP[7],Richard Braine is elected leader of UKIP[7],Richard Braine is elected leader of UKIP[7],Richard Braine is elected leader of UKIP[7],Richard Braine is elected leader of UKIP[7],Richard Braine is elected leader of UKIP[7],Richard Braine is elected leader of UKIP[7],Richard Braine is elected leader of UKIP[7],Richard Braine is elected leader of UKIP[7]
8–9 Aug,Opinium/The Observer Archived 7 December 2019 at the Wayback Machine,GB,2003,31%,28%,13%,4%,1%,5%,1%,16%,0%,0%,3
5–6 Aug,YouGov/The Times,GB,1628,31%,22%,21%,4%,0%,7%,0%,14%,0%,1%,9
1 Aug,,Brecon and Radnorshire by-election (LD gain from Con)[8],Brecon and Radnorshire by-election (LD gain from Con)[8],Brecon and Radnorshire by-election (LD gain from Con)[8],Brecon and Radnorshire by-election (LD gain from Con)[8],Brecon and Radnorshire by-election (LD gain from Con)[8],Brecon and Radnorshire by-election (LD gain from Con)[8],Brecon and Radnorshire by-election (LD gain from Con)[8],Brecon and Radnorshire by-election (LD gain from Con)[8],Brecon and Radnorshire by-election (LD gain from Con)[8],Brecon and Radnorshire by-election (LD gain from Con)[8],Brecon and Radnorshire by-election (LD gain from Con)[8],Brecon and Radnorshire by-election (LD gain from Con)[8],Brecon and Radnorshire by-election (LD gain from Con)[8]
29–30 Jul,YouGov/The Times,GB,2066,32%,22%,19%,4%,0%,8%,1%,13%,0%,1%,10
26–30 Jul,Ipsos MORI,GB,1007,34%,24%,20%,4%,1%,6%,1%,9%,0%,1%,10
26–28 Jul,ComRes/Britain Elects,GB,2004,29%,30%,16%,3%,1%,5%,1%,15%,0%,2%,1
25–27 Jul,Deltapoll/The Mail on Sunday,GB,2001,30%,25%,18%,4%,1%,4%,1%,14%,2%,1%,5
25–26 Jul,YouGov/The Sunday Times,GB,1697,31%,21%,20%,5%,0%,8%,1%,13%,0%,1%,10
24–26 Jul,Opinium/The Observer,GB,2006,30%,28%,16%,5%,1%,5%,1%,15%,0%,1%,2
24–25 Jul,ComRes/Sunday Express,GB,2029,28%,27%,19%,3%,1%,4%,1%,16%,0%,0%,1
23–24 Jul,YouGov/The Times,GB,1715,25%,19%,23%,4%,1%,9%,1%,17%,0%,1%,2
23–24 Jul,,Boris Johnson is elected leader of the Conservative Party and subsequently becomes Prime Minister,Boris Johnson is elected leader of the Conservative Party and subsequently becomes Prime Minister,Boris Johnson is elected leader of the Conservative Party and subsequently becomes Prime Minister,Boris Johnson is elected leader of the Conservative Party and subsequently becomes Prime Minister,Boris Johnson is elected leader of the Conservative Party and subsequently becomes Prime Minister,Boris Johnson is elected leader of the Conservative Party and subsequently becomes Prime Minister,Boris Johnson is elected leader of the Conservative Party and subsequently becomes Prime Minister,Boris Johnson is elected leader of the Conservative Party and subsequently becomes Prime Minister,Boris Johnson is elected leader of the Conservative Party and subsequently becomes Prime Minister,Boris Johnson is elected leader of the Conservative Party and subsequently becomes Prime Minister,Boris Johnson is elected leader of the Conservative Party and subsequently becomes Prime Minister,Boris Johnson is elected leader of the Conservative Party and subsequently becomes Prime Minister,Boris Johnson is elected leader of the Conservative Party and subsequently becomes Prime Minister
22 Jul,,Jo Swinson is elected leader of the Liberal Democrats[9],Jo Swinson is elected leader of the Liberal Democrats[9],Jo Swinson is elected leader of the Liberal Democrats[9],Jo Swinson is elected leader of the Liberal Democrats[9],Jo Swinson is elected leader of the Liberal Democrats[9],Jo Swinson is elected leader of the Liberal Democrats[9],Jo Swinson is elected leader of the Liberal Democrats[9],Jo Swinson is elected leader of the Liberal Democrats[9],Jo Swinson is elected leader of the Liberal Democrats[9],Jo Swinson is elected leader of the Liberal Democrats[9],Jo Swinson is elected leader of the Liberal Democrats[9],Jo Swinson is elected leader of the Liberal Democrats[9],Jo Swinson is elected leader of the Liberal Democrats[9]
16–17 Jul,YouGov/The Times,GB,1749,25%,21%,20%,4%,0%,8%,1%,19%,0%,1%,4
15–16 Jul,ComRes/Britain Elects,GB,2038,25%,28%,17%,4%,1%,5%,0%,19%,1%,1%,3
10–11 Jul,ComRes/Sunday Express,GB,1791,24%,28%,15%,3%,1%,5%,1%,20%,1%,2%,4
10–11 Jul,Survation,GB,1012,23%,29%,19%,4%,–,3%,1%,20%,–,1%,6
9–10 Jul,YouGov/The Times,GB,1671,24%,20%,19%,5%,0%,9%,1%,21%,0%,1%,3
5–7 Jul,ComRes/The Daily Telegraph,GB,2010,25%,28%,16%,3%,1%,5%,0%,19%,0%,1%,3
3–5 Jul,Opinium/The Observer,GB,2002,23%,25%,15%,5%,1%,8%,1%,22%,1%,0%,2
2–5 Jul,BMG/The Independent,GB,1532,28%,27%,18%,2%,2%,6%,1%,14%,1%,0%,1
2–3 Jul,YouGov/The Times,GB,1605,24%,18%,20%,4%,0%,9%,1%,23%,0%,1%,1
24–25 Jun,YouGov/The Times,GB,2059,22%,20%,19%,4%,1%,10%,1%,22%,0%,1%,Tie
21–25 Jun,Ipsos MORI,GB,1043,26%,24%,22%,4%,1%,8%,1%,12%,0%,0%,2
19–20 Jun,Opinium/The Observer Archived 19 July 2019 at the Wayback Machine,GB,2009,20%,26%,16%,4%,2%,6%,1%,23%,1%,1%,3
19–20 Jun,Survation/The Mail on Sunday,GB,2016,24%,26%,18%,3%,1%,6%,1%,20%,1%,1%,2
18–19 Jun,YouGov/The Times,GB,1641,20%,20%,21%,4%,1%,9%,1%,23%,0%,0%,2
13–14 Jun,YouGov/The Sunday Times,GB,1672,21%,21%,19%,3%,0%,9%,1%,24%,0%,1%,3
9–10 Jun,YouGov/The Times,GB,1702,17%,19%,22%,4%,0%,8%,1%,26%,1%,1%,4
7–9 Jun,ComRes/The Daily Telegraph,GB,2017,23%,27%,17%,3%,1%,5%,1%,22%,1%,1%,4
4–7 Jun,BMG/The Independent,GB,1520,26%,27%,17%,3%,1%,6%,1%,18%,1%,1%,1
6 Jun,Peterborough by-election (Lab hold)[8],Peterborough by-election (Lab hold)[8],Peterborough by-election (Lab hold)[8],Peterborough by-election (Lab hold)[8],Peterborough by-election (Lab hold)[8],Peterborough by-election (Lab hold)[8],Peterborough by-election (Lab hold)[8],Peterborough by-election (Lab hold)[8],Peterborough by-election (Lab hold)[8],Peterborough by-election (Lab hold)[8],Peterborough by-election (Lab hold)[8],Peterborough by-election (Lab hold)[8],Peterborough by-election (Lab hold)[8],Peterborough by-election (Lab hold)[8]
5–6 Jun,YouGov/The Times,GB,1670,18%,20%,20%,5%,1%,9%,0%,26%,0%,0%,6
4–5 Jun,YouGov,GB,1663,18%,19%,22%,4%,0%,9%,0%,25%,–,3%,3
4 Jun,Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[10]
31 May – 1 Jun,YouGov,GB,1644,18%,19%,23%,5%,–,10%,0%,23%,–,2%,Tie
29–30 May,Deltapoll/The Mail on Sunday,GB,2449,20%,26%,16%,4%,1%,5%,1%,24%,4%,1%,2
28–30 May,Opinium/The Observer Archived 18 July 2019 at the Wayback Machine,GB,2005,17%,22%,16%,4%,1%,11%,1%,26%,1%,1%,4
28–29 May,YouGov/The Times,GB,1763,19%,19%,24%,6%,6%,6%,6%,22%,1%,0%,2
24 May,"Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election","Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election","Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election","Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election","Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election","Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election","Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election","Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election","Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election","Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election","Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election","Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election","Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election","Theresa May announces her resignation as leader of the Conseervative Party and Prime Minister, triggering a leadership election"
23 May,European Parliament election[11],European Parliament election[11],European Parliament election[11],European Parliament election[11],European Parliament election[11],European Parliament election[11],European Parliament election[11],European Parliament election[11],European Parliament election[11],European Parliament election[11],European Parliament election[11],European Parliament election[11],European Parliament election[11],European Parliament election[11]
22 May,Survation/Daily Mail,UK,2029,28%,33%,13%,3%,3%,3%,0%,12%,2%,3%,5
18–21 May,Number Cruncher Politics,GB,1005,27%,31%,15%,5%,1%,4%,1%,14%,2%,0%,4
