Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,LD,SNP,Grn,Ref,PC,Others,Lead
25–26 Jun,PeoplePolling Archived 28 June 2024 at the Wayback Machine,GB News,GB,1932,15%,40%,9%,2%,9%,21%,0%,2%,19
24–26 Jun,BMG,The i,GB,1522,20%,42%,12%,3%,6%,16%,–,2%,22
24–26 Jun,More in Common,The News Agents,GB,3420,23%,40%,11%,3%,5%,14%,0%,3%,17
24–26 Jun,Norstat,,GB,2025,23%,39%,12%,4%,6%,15%,1%,1%,16
24–26 Jun,Deltapoll,The National,GB,2077,20%,42%,11%,3%,4%,17%,0%,2%,22
24–25 Jun,YouGov,,GB,1572,18%,36%,15%,3%,8%,17%,1%,2%,18
21–25 Jun,Survation,Good Morning Britain,UK,1022,18%,41%,12%,2%,5%,14%,0%,7%,23
7–25 Jun,JL Partners (SRP)[a],The Sunday Times,GB,13584,22%,38%,13%,3%,5%,17%,1%,1%,16
21–24 Jun,JL Partners,The Rest is Politics,GB,2005,25%,41%,11%,3%,5%,15%,0%,1%,16
21–24 Jun,Deltapoll,,GB,1568,19%,43%,13%,2%,5%,15%,–,2%,24
21–24 Jun,Redfield & Wilton,,GB,10000,18%,42%,12%,3%,6%,19%,0%,2% Workers Party of Britain on 1% Alba Party on 0% Other on 1%,23
21–24 Jun,Savanta,The Telegraph,UK,2318,21%,42%,10%,3%,5%,14%,–,6%,21
21–24 Jun,Ipsos,,GB,1402,19%,42%,11%,5%,7%,15%,0%,1%,23
21–24 Jun,Verian,,GB,1047,21%,38%,12%,3%,8%,16%,1%,1%,17
20–24 Jun,Lord Ashcroft,,GB,5134,19%,40%,10%,3%,9%,17%,0%,3%,25
14–24 Jun,FindOutNow/Electoral Calculus (MRP),Daily Mirror and GB News,GB,19993,15%,40%,14%,3%,7%,17%,1%,2%,23
30 May – 24 Jun,We Think (MRP),,GB,18595,22%,42%,11%,3%,6%,14%,1%,2%,20
21–23 Jun,More in Common,,GB,2046,25%,41%,10%,2%,5%,15%,0%,2%,16
20–21 Jun,We Think,,GB,1270,22%,43%,8%,3%,7%,13%,1%,3%,21
19–21 Jun,Savanta,The Telegraph,UK,2103,19%,42%,9%,3%,5%,16%,–,6%,23
19–21 Jun,Opinium,The Observer,GB,1484,20%,40%,12%,3%,9%,16%,1%,1%,20
19–20 Jun,YouGov,The Times,GB,2047,19%,37%,13%,3%,6%,18%,1%,2%,18
19–20 Jun,Whitestone Insight,Daily Express/Daily Mirror,GB,2029,19%,39%,12%,3%,6%,20%,1%,1% SDP on 0% Workers Party of Britain on 0% Other on 1%,19
19–20 Jun,Techne Archived 12 January 2025 at the Wayback Machine,,GB,1642,19%,42%,12%,2%,5%,17%,–,3%,23
19–20 Jun,Redfield & Wilton,,GB,2500,18%,42%,11%,3%,5%,19%,0%,1% Workers Party of Britain on 0% Alba Party on 0% Other on 1%,23
4–20 Jun,Focaldata (MRP),,GB,24536,23%,41%,11%,3%,5%,16%,0%,0%,18
18–19 Jun,BMG,The i,GB,1627,19%,42%,9%,3%,7%,19%,–,1%,23
17–19 Jun,Norstat,,GB,2059,20%,40%,12%,3%,5%,19%,1%,1%,20
17–19 Jun,More in Common,,GB,2035,25%,39%,11%,3%,5%,14%,0%,2%,14
18 Jun,PeoplePolling,GB News,GB,1228,15%,35%,12%,3%,8%,24%,0%,2%,11
17–18 Jun,YouGov,,GB,1625,20%,36%,14%,3%,7%,18%,1%,2%,16
14–18 Jun,Survation,Good Morning Britain,UK,1008,20%,41%,12%,2%,6%,15%,–,5%,21
11–18 Jun,YouGov (MRP),Sky News,GB,39979,22%,39%,12%,3%,7%,15%,1%,2%,17
7–18 Jun,Savanta (MRP),The Telegraph,GB,17812,23%,44%,12%,3%,4%,13%,1%,0%,21
14–17 Jun,Focaldata,,GB,2604,21%,43%,10%,2%,5%,16%,–,2%,22
14–17 Jun,Deltapoll,,GB,1383,19%,46%,10%,2%,5%,16%,1%,–,27
14–17 Jun,Redfield & Wilton,,GB,10000,18%,43%,12%,3%,5%,18%,0%,1% Workers Party of Britain on 0% Alba Party on 0% Other on 1%,25
14–17 Jun,Verian,,GB,1034,21%,39%,13%,3%,7%,13%,1%,3%,18
13–17 Jun,Lord Ashcroft,,GB,5187,18%,43%,9%,3%,7%,18%,0%,3%,21
22 May – 17 Jun,More in Common (MRP),The News Agents,GB,10850,28%,44%,11%,3%,5%,8%,0%,1%,16
14–16 Jun,Savanta,The Telegraph,UK,2046,21%,40%,11%,3%,4%,14%,–,5%,19
14–16 Jun,More in Common,,GB,2369,25%,41%,11%,2%,5%,14%,0%,2%,16
14–16 Jun,JL Partners,The Rest is Politics,GB,2083,23%,40%,9%,3%,5%,18%,0%,1%,17
12–14 Jun,Opinium,The Observer,GB,2059,23%,40%,12%,2%,7%,14%,1%,1%,17
12–14 Jun,Savanta,The Telegraph,UK,2045,21%,46%,11%,2%,5%,13%,–,3%,25
12–13 Jun,Techne Archived 12 January 2025 at the Wayback Machine,,GB,1636,19%,43%,11%,2%,6%,16%,–,3%,24
12–13 Jun,YouGov,The Times,GB,2211,18%,37%,14%,3%,7%,19%,1%,2%,18
12–13 Jun,Redfield & Wilton,,GB,1500,18%,42%,13%,3%,5%,17%,–,1%,24
12–13 Jun,We Think,,GB,1297,20%,43%,11%,2%,6%,14%,1%,2%,23
12–13 Jun,Whitestone Insight,Daily Express/Daily Mirror,GB,2014,19%,41%,11%,3%,6%,17%,1%,2% Workers Party of Britain on 0% SDP on 0% Other on 2%,22
31 May – 13 Jun,Survation (MRP),Best For Britain,GB,42269,24%,40%,11%,4%,6%,12%,1%,2%,16
12 Jun,PeoplePolling,GB News,GB,1234,19%,39%,10%,3%,9%,17%,–,3%,20
11–12 Jun,BMG,The i,GB,1546,21%,41%,12%,3%,6%,14%,1%,1%,20
11–12 Jun,More in Common,The News Agents,GB,2037,25%,41%,10%,3%,5%,13%,1%,1%,16
10–12 Jun,Norstat,,GB,1017,21%,41%,11%,3%,6%,17%,1%,2%,20
7–12 Jun,Ipsos (MRP),,GB,19689,25%,43%,10%,3%,6%,12%,–,1%,18
10–11 Jun,YouGov,Sky News,GB,1611,18%,38%,15%,2%,8%,17%,1%,1%,20
7–11 Jun,Focaldata,,GB,3124,24%,42%,9%,3%,5%,15%,–,2%,18
5–11 Jun,Survation,Good Morning Britain,UK,1076,23%,41%,10%,3%,6%,12%,0%,4%,18
7–10 Jun,Verian,,GB,1305,20%,41%,11%,3%,8%,15%,1%,2% UKIP on 1% Other on 1%,21
7–10 Jun,Redfield & Wilton,,GB,10000,19%,45%,10%,3%,5%,17%,0%,1% Workers Party of Britain on 0% Alba Party on 0% Other on 1%,26
6–10 Jun,Lord Ashcroft,,GB,4975,21%,44%,7%,2%,8%,15%,0%,3%,22
7–9 Jun,Savanta,The Telegraph,UK,2219,25%,44%,9%,3%,4%,10%,–,4%,19
7–9 Jun,JL Partners,The Rest is Politics,GB,2004,24%,41%,11%,3%,5%,15%,0%,1%,17
6–8 Jun,Deltapoll,Mail on Sunday,GB,2010,21%,46%,9%,4%,5%,12%,1%,0%,25
6–7 Jun,We Think,,GB,1198,20%,45%,10%,3%,5%,15%,1%,2%,25
5–7 Jun,Opinium,The Observer,GB,1471,24%,42%,10%,3%,7%,12%,1%,1%,18
5–7 Jun,Savanta,The Telegraph,GB,2095,26%,46%,10%,2%,3%,11%,1%,2%,20
5–7 Jun,More in Common,,GB,2618,25%,46%,9%,3%,6%,11%,0%,1%,21
5–6 Jun,Whitestone Insight,,GB,2001,22%,42%,9%,3%,5%,16%,0%,2% Workers Party of Britain on 1% SDP on 0% Other on 1%,20
5–6 Jun,YouGov,,GB,1650,19%,41%,11%,3%,7%,16%,1%,3%,22
5–6 Jun,Techne[dead link],,GB,1645,20%,44%,10%,2%,6%,15%,–,3%,24
5–6 Jun,Survation,,GB,1056,23%,43%,9%,3%,5%,15%,0%,2%,20
5–6 Jun,Redfield & Wilton,,GB,2000,19%,42%,12%,3%,6%,17%,0%,2% Workers Party of Britain on 1% Other on 1%,23
3–6 Jun,Focaldata,,GB,2077,25%,44%,9%,2%,5%,14%,–,2%,19
4–5 Jun,Norstat,,GB,1005,22%,45%,10%,3%,5%,14%,0%,1%,23
4–5 Jun,BMG,The i,GB,1534,23%,42%,9%,4%,6%,16%,–,1%,19
3–4 Jun,YouGov[b],Sky News,GB,2144,19%,40%,10%,3%,7%,17%,1%,2%,21
31 May – 4 Jun,Ipsos,,GB,1014,23%,43%,8%,5%,9%,9%,1%,2%,20
3 Jun,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK,Nigel Farage becomes leader of Reform UK
2–3 Jun,PeoplePolling,GB News,GB,1674,22%,46%,8%,3%,8%,10%,–,3%,24
1–3 Jun,More in Common,,GB,2055,27%,46%,8%,3%,5%,10%,1%,1%,19
31 May – 3 Jun,Deltapoll,,GB,1077,25%,48%,10%,2%,4%,9%,1%,2%,23
30 May – 3 Jun,Verian,,GB,1405,23%,41%,12%,3%,8%,9%,1%,2% UKIP on 0% Other on 2%,18
30 May – 3 Jun,Lord Ashcroft,,GB,5203,23%,47%,6%,2%,6%,11%,1%,3%,24
31 May – 2 Jun,Savanta,The Telegraph,GB,2209,28%,42%,9%,3%,4%,9%,0%,2% Workers Party of Britain on 1% Other on 1%,14
31 May – 2 Jun,JL Partners,The Rest is Politics,GB,2013,26%,43%,11%,3%,3%,12%,0%,0%,17
31 May – 2 Jun,Redfield & Wilton,,GB,10000,20%,46%,10%,2%,5%,14%,0%,2% Workers Party of Britain on 1% Other on 1%,26
22 May – 2 Jun,Survation (MRP),Best for Britain,GB,30044,24%,43%,10%,3%,4%,11%,1%,3%,19
24 May – 1 Jun,YouGov (MRP),Sky News,GB,58875,25%,43%,11%,3%,7%,10%,–,2%,18
30–31 May,Focaldata,,GB,2626,26%,43%,9%,2%,6%,12%,0%,1% Other on 1%  Independent on 1%,17
30–31 May,We Think,,GB,1328,21%,46%,8%,3%,6%,13%,0%,2% Other on 1% Independent on 1%,25
29–31 May,Opinium,The Observer,GB,2184,25%,45%,8%,3%,6%,11%,–,2%,20
30 May,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign
29–30 May,Techne Archived 31 May 2024 at the Wayback Machine,,,1630,21%,45%,11%,2%,6%,12%,–,3%,24
29–30 May,YouGov,The Times,,2040,21%,46%,8%,2%,6%,15%,1%,2%,25
29–30 May,Whitestone Insight,Daily Express/Daily Mirror,,2024,24%,44%,9%,3%,6%,11%,1%,2% Workers Party of Britain on 1% Other on 1%,20
28–29 May,BMG Archived 18 January 2025 at the Wayback Machine,The i,,1500,27%,43%,9%,2%,6%,11%,0%,2%,16
9 Apr – 29 May,More in Common (MRP),,,15089,29%,43%,11%,3%,5%,8%,0%,1%,14
27–29 May,More in Common,,,2049,26%,45%,9%,2%,5%,11%,0%,1%,19
26–28 May,YouGov,Sky News,,2128,20%,47%,9%,3%,7%,12%,1%,2%,27
24–28 May,Lord Ashcroft,,,4828,24%,47%,6%,3%,8%,11%,0%,2%,23
25–27 May,Redfield & Wilton,,,12000,23%,46%,9%,3%,5%,13%,1%,2% Workers Party of Britain on 1% Other on 1%,23
24–27 May,Survation,,UK,2040,24%,47%,11%,3%,3%,8%,1%,3% UKIP on 0% Reclaim on 0% Other on 3%,23
20–27 May,FindOutNow/Electoral Calculus (MRP),Daily Mail,GB,10390,19%,46%,10%,3%,8%,12%,1%,2%,27
24–26 May,Savanta,The Telegraph,GB,2235,27%,44%,10%,3%,4%,8%,1%,4%,17
24–25 May,JL Partners,The Rest is Politics,GB,2013,28%,40%,10%,3%,5%,12%,1%,1%,12
23–25 May,Deltapoll,Mail on Sunday,GB,1517,23%,45%,9%,3%,6%,10%,1%,2%,22
23–24 May,Opinium,The Observer,GB,2050,27%,41%,10%,2%,7%,10%,–,1%,14
23–24 May,YouGov,The Times,GB,2072,22%,44%,9%,3%,6%,14%,0%,1%,22
23–24 May,We Think,,GB,1242,22%,47%,8%,3%,6%,12%,–,2%,25
22–23 May,Techne Archived 26 May 2024 at the Wayback Machine,,GB,1643,19%,45%,12%,2%,5%,14%,–,3%,26
22–23 May,More in Common,,GB,2008,27%,44%,9%,3%,5%,10%,0%,1%,17
22 May,Prime Minister Rishi Sunak announces a general election for 4 July 2024,Prime Minister Rishi Sunak announces a general election for 4 July 2024,Prime Minister Rishi Sunak announces a general election for 4 July 2024,Prime Minister Rishi Sunak announces a general election for 4 July 2024,Prime Minister Rishi Sunak announces a general election for 4 July 2024,Prime Minister Rishi Sunak announces a general election for 4 July 2024,Prime Minister Rishi Sunak announces a general election for 4 July 2024,Prime Minister Rishi Sunak announces a general election for 4 July 2024,Prime Minister Rishi Sunak announces a general election for 4 July 2024,Prime Minister Rishi Sunak announces a general election for 4 July 2024,Prime Minister Rishi Sunak announces a general election for 4 July 2024,Prime Minister Rishi Sunak announces a general election for 4 July 2024,Prime Minister Rishi Sunak announces a general election for 4 July 2024
21–22 May,YouGov,The Times,GB,2093,21%,46%,9%,3%,7%,12%,0%,1%,25
21–22 May,Survation,,UK,1016,27%,48%,8%,3%,2%,8%,1%,3% Reclaim on 1% UKIP on 0% Other on 3%,21
3–22 May,YouGov,,GB,10108,20%,46%,9%,3%,7%,13%,1%,2%,26
17–20 May,Deltapoll,,GB,1968,23%,45%,10%,3%,5%,12%,1%,2% UKIP on 1% Other on 1%,22
19 May,Redfield & Wilton,,GB,3700,23%,45%,10%,2%,5%,12%,–,1%,22
17–19 May,Savanta,The Telegraph,GB,2295,26%,43%,10%,3%,5%,9%,–,4%,17
17–19 May,More in Common,,GB,2308,27%,43%,9%,2%,6%,11%,1%,1%,16
16–17 May,We Think,,GB,1064,23%,46%,8%,2%,8%,11%,–,2%,23
15–17 May,Opinium,The Observer,GB,1458,25%,43%,9%,3%,7%,10%,0%,2%,18
16 May,PeoplePolling,GB News,GB,1476,20%,46%,8%,3%,8%,14%,0%,1%,26
15–16 May,Whitestone Insight,Daily Express/Daily Mirror,GB,2024,24%,44%,8%,3%,6%,13%,0%,3% Workers Party of Britain on 1% Other on 2%,20
15–16 May,YouGov,The Times,GB,1031,20%,47%,9%,3%,8%,11%,1%,1%,27
15–16 May,Techne Archived 22 May 2024 at the Wayback Machine,,GB,1641,21%,44%,12%,2%,6%,12%,–,3%,23
8–14 May,Ipsos,,GB,1008,20%,41%,11%,3%,11%,9%,1%,4%,21
10–13 May,Deltapoll,,GB,1031,27%,45%,8%,2%,6%,10%,1%,1% UKIP on 1% Other on 0%,18
9–13 May,Lord Ashcroft,,GB,5485,22%,45%,8%,3%,8%,11%,0%,3%,23
12 May,Redfield & Wilton,,GB,3000,21%,42%,12%,3%,6%,15%,–,1%,21
10–12 May,Savanta,The Telegraph,GB,2090,25%,43%,12%,3%,4%,10%,–,4%,18
9–10 May,Survation,,UK,1054,24%,44%,10%,2%,7%,8%,–,5%,20
9–10 May,We Think,,GB,1183,24%,47%,9%,2%,6%,10%,–,3%,23
8–9 May,Techne Archived 23 May 2024 at the Wayback Machine,,GB,1638,21%,45%,11%,2%,6%,12%,–,3%,24
7–8 May,YouGov,The Times,GB,2072,18%,48%,9%,3%,7%,13%,1%,2%,30
6–8 May,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland
3–7 May,Deltapoll,,GB,1993,26%,43%,10%,3%,5%,10%,1%,1% UKIP on 1% Other on 0%,17
5 May,Redfield & Wilton,,GB,2000,21%,44%,9%,3%,5%,15%,–,1%,23
3–5 May,Savanta,The Telegraph,GB,2267,27%,43%,11%,3%,4%,9%,–,4%,16
2–5 May,JL Partners[permanent dead link],The Rest is Politics,GB,2011,26%,41%,11%,3%,5%,13%,–,2%,15
2–3 May,More in Common,,GB,2135,26%,43%,10%,3%,5%,11%,–,1%,17
2–3 May,We Think,,GB,1177,24%,44%,8%,2%,6%,13%,–,2%,20
1–3 May,Opinium,The Observer,GB,1402,24%,40%,11%,3%,7%,12%,1%,2%,16
2 May,Local elections in England; PCC elections; Blackpool South by-election (Lab gain from Con),Local elections in England; PCC elections; Blackpool South by-election (Lab gain from Con),Local elections in England; PCC elections; Blackpool South by-election (Lab gain from Con),Local elections in England; PCC elections; Blackpool South by-election (Lab gain from Con),Local elections in England; PCC elections; Blackpool South by-election (Lab gain from Con),Local elections in England; PCC elections; Blackpool South by-election (Lab gain from Con),Local elections in England; PCC elections; Blackpool South by-election (Lab gain from Con),Local elections in England; PCC elections; Blackpool South by-election (Lab gain from Con),Local elections in England; PCC elections; Blackpool South by-election (Lab gain from Con),Local elections in England; PCC elections; Blackpool South by-election (Lab gain from Con),Local elections in England; PCC elections; Blackpool South by-election (Lab gain from Con),Local elections in England; PCC elections; Blackpool South by-election (Lab gain from Con),Local elections in England; PCC elections; Blackpool South by-election (Lab gain from Con)
1–2 May,Techne Archived 22 May 2024 at the Wayback Machine,,GB,1633,22%,44%,10%,2%,6%,13%,–,3%,22
30 Apr – 1 May,YouGov,The Times,GB,2010,18%,44%,10%,2%,8%,15%,1%,2%,26
26–29 Apr,Deltapoll,,GB,1577,24%,44%,8%,3%,5%,12%,2%,1% UKIP on 1% Other on 0%,20
19–29 Apr,Labour Together,,GB,9403,22%,44%,10%,3%,6%,13%,1%,2%,22
28 Apr,Redfield & Wilton,,GB,2000,22%,45%,9%,3%,6%,14%,–,2%,23
26–28 Apr,More in Common,,GB,2053,24%,43%,11%,3%,6%,11%,–,2%,19
26–28 Apr,Savanta,The Telegraph,GB,2144,26%,44%,10%,3%,3%,10%,–,4%,18
25–26 Apr,We Think,,GB,1265,22%,44%,9%,3%,6%,13%,–,3%,22
24–25 Apr,Techne Archived 23 May 2024 at the Wayback Machine,,GB,1642,23%,44%,9%,3%,6%,11%,–,3%,21
23–25 Apr,Survation,,UK,2036,26%,44%,9%,3%,4%,10%,–,5%,18
23–24 Apr,YouGov,The Times,GB,2100,20%,45%,9%,3%,7%,13%,1%,2%,25
22–23 Apr,BMG,The i,GB,1500,25%,41%,9%,3%,6%,14%,–,1%,16
19–22 Apr,Deltapoll,,GB,1525,27%,43%,9%,3%,5%,12%,1%,1% UKIP on 0% Other on 0%,16
21 Apr,Redfield & Wilton,,GB,2000,20%,43%,12%,3%,6%,14%,–,1%,23
19–21 Apr,Savanta,The Telegraph,GB,2332,27%,43%,9%,2%,4%,10%,–,4%,16
18–19 Apr,We Think,,GB,1266,26%,43%,9%,2%,7%,11%,–,2%,17
17–19 Apr,Opinium,The Observer,GB,1431,25%,41%,10%,2%,7%,13%,2%,1%,16
17–18 Apr,Survation,,UK,1010,26%,44%,11%,3%,4%,8%,–,4%,18
17–18 Apr,Techne Archived 6 July 2024 at the Wayback Machine,,GB,1640,22%,45%,9%,3%,5%,13%,–,3%,23
16–17 Apr,YouGov,The Times,GB,2048,21%,44%,8%,3%,8%,14%,1%,2%,23
12–15 Apr,Deltapoll,,GB,2072,25%,45%,9%,3%,5%,11%,–,4%,20
11–15 Apr,Lord Ashcroft,,GB,5410,23%,44%,6%,3%,8%,11%,–,3%,21
3–15 Apr,Ipsos,,GB,1072,19%,44%,9%,3%,9%,13%,–,6%,25
14 Apr,Redfield & Wilton,,GB,2000,22%,44%,9%,3%,6%,15%,–,1%,22
12–14 Apr,Savanta,The Telegraph,GB,2221,25%,43%,10%,3%,4%,9%,–,4%,18
11–12 Apr,We Think,,GB,1271,24%,44%,9%,2%,6%,11%,–,1%,20
10–11 Apr,Techne Archived 13 April 2024 at the Wayback Machine,,GB,1630,23%,44%,10%,3%,5%,12%,–,3%,21
10–11 Apr,YouGov,The Times,GB,2044,19%,45%,8%,3%,7%,15%,0%,2%,26
7 Apr,Redfield & Wilton,,GB,2000,21%,44%,10%,2%,6%,15%,–,1%,23
5–7 Apr,Savanta,The Telegraph,GB,2210,27%,42%,10%,3%,4%,10%,–,4%,15
4–7 Apr,JL Partners,The Rest is Politics,GB,2011,24%,42%,10%,4%,5%,13%,–,2%,18
4–5 Apr,We Think,,GB,1280,24%,45%,10%,2%,5%,13%,–,2%,21
3–5 Apr,Opinium,The Observer,GB,1318,25%,41%,10%,3%,8%,11%,1%,1%,16
4 Apr,PeoplePolling,GB News,GB,1809,19%,45%,9%,4%,8%,14%,–,1%,26
3–4 Apr,Techne,,GB,1638,22%,45%,9%,3%,5%,13%,–,3%,23
2–3 Apr,BMG,The i,GB,1530,25%,43%,8%,3%,6%,14%,–,1%,18
2–3 Apr,YouGov,The Times,GB,2004,20%,43%,8%,3%,8%,16%,–,1%,23
31 Mar,Redfield & Wilton,,GB,2000,22%,46%,10%,3%,5%,14%,–,2%,24
27–28 Mar,Techne,,GB,1641,23%,44%,10%,3%,5%,12%,–,3%,21
27–28 Mar,We Think,,GB,1295,25%,44%,10%,3%,5%,10%,–,3%,19
26–27 Mar,YouGov,The Times,GB,2061,21%,40%,10%,3%,8%,16%,2%,1%,19
25–27 Mar,Savanta,The Sun,UK,3302,24%,45%,10%,3%,3%,12%,–,4%,21
7–27 Mar,YouGov (MRP)[c],The Times,GB,18761,24%,41%,12%,—,7%,12%,–,1%,17
23–24 Mar,More in Common,,GB,1966,27%,42%,10%,3%,5%,11%,1%,1%,15
22–25 Mar,Deltapoll,,GB,2072,26%,44%,9%,3%,6%,11%,–,2%,18
24 Mar,Redfield & Wilton,,GB,2000,22%,42%,12%,2%,6%,14%,–,2%,20
22–24 Mar,Savanta,The Telegraph,UK,2216,24%,44%,10%,3%,4%,11%,–,4%,20
20–22 Mar,Opinium,The Observer,UK,1874,25%,41%,10%,3%,8%,11%,–,2%,16
21–22 Mar,We Think,,GB,1270,24%,47%,10%,2%,6%,11%,–,2%,23
8–22 Mar,Survation (MRP),Best for Britain,UK,15029,26%,45%,10%,3%,4%,9%,–,3%,19
