Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,LD,SNP,Grn,Brx,PC,Others,Lead
21 Aug,Survation,,UK,1005,41%,37%,9%,5%,4%,1%,0%,3%,4
19 Aug,Redfield & Wilton,,GB,2000,44%,37%,7%,4%,4%,—,0%,3%,7
18–19 Aug,YouGov,The Times,GB,1652,40%,38%,6%,5%,6%,4%,1%,1%,2
14–16 Aug,Savanta ComRes,,UK,2083,42%,37%,7%,4%,3%,2%,1%,4%,5
13–14 Aug,Opinium,The Observer,GB,2005,42%,39%,5%,5%,3%,—,1%,5% UKIP on 3% Other on 2%,3
12 Aug,Redfield & Wilton,,GB,2000,43%,36%,9%,4%,4%,—,0%,3%,7
11–12 Aug,YouGov,The Times,GB,1634,44%,35%,5%,6%,5%,3%,1%,1%,9
6–10 Aug,Kantar Public,,GB,1161,42%,35%,8%,6%,3%,3%,1%,2% UKIP on 1% Other on 1%,7
4–5 Aug,YouGov,The Times,GB,1606,42%,36%,8%,5%,5%,2%,1%,1% UKIP on 0% Other on 1%,6
30 Jul – 4 Aug,Ipsos,Evening Standard,GB,1019,45%,37%,6%,5%,5%,1%,0%,1%,8
31 Jul – 3 Aug,Survation,,UK,1019,44%,35%,8%,4%,5%,0%,0%,3%,9
30–31 Jul,YouGov,The Times,GB,1623,43%,35%,6%,5%,5%,3%,1%,1% UKIP on 0% Other on 1%,8
30–31 Jul,Opinium,The Observer,GB,2002,41%,38%,6%,6%,4%,—,1%,5% UKIP on 2% Other on 3%,3
29 Jul,Redfield & Wilton,,GB,2000,43%,38%,7%,4%,4%,—,0%,3%,5
23–24 Jul,Opinium,The Observer,GB,2002,42%,38%,6%,5%,4%,—,1%,2%,4
22–23 Jul,YouGov,The Times,GB,1648,44%,35%,7%,5%,4%,3%,1%,1% UKIP on 0% Other on 1%,9
22 Jul,Redfield & Wilton,,GB,2000,44%,36%,8%,4%,5%,—,1%,3%,8
17–19 Jul,Savanta ComRes,,UK,2085,43%,37%,6%,5%,2%,2%,1%,4%,6
15–17 Jul,Opinium,The Observer,GB,2003,44%,36%,6%,6%,4%,—,1%,3% UKIP on 1% Other on 2%,8
15 Jul,Redfield & Wilton,,GB,2000,44%,37%,8%,4%,4%,—,0%,2%,7
9–13 Jul,Kantar Public,,GB,1131,45%,35%,9%,5%,2%,2%,1%,2% UKIP on 2%,10
10–12 Jul,Survation,,UK,2022,42%,36%,8%,4%,5%,1%,1%,3%,6
9–10 Jul,Opinium,The Observer,GB,2002,42%,38%,6%,6%,4%,—,1%,3% UKIP on 2% Other on 1%,4
9–10 Jul,Deltapoll,The Mail on Sunday,GB,1541,44%,38%,7%,3%,3%,3%,0%,2% UKIP on 1% Other on 1%,6
8–9 Jul,YouGov,The Times,GB,1614,46%,36%,6%,5%,3%,2%,1%,1% UKIP on 0% Other on 1%,10
8 Jul,Redfield & Wilton,,GB,2000,44%,39%,7%,4%,4%,—,0%,2%,5
3–6 Jul,Survation,,UK,1012,44%,37%,7%,4%,4%,0%,0%,3%,7
2–3 Jul,Deltapoll,The Mail on Sunday,GB,1549,41%,36%,7%,3%,5%,4%,0%,4% UKIP on 3% Other on 1%,5
1–3 Jul,Opinium,The Observer,GB,2002,41%,37%,8%,5%,4%,—,1%,4% UKIP on 2% Other on 2%,4
1 Jul,Redfield & Wilton,Election Maps UK,GB,2000,42%,38%,8%,4%,5%,—,0%,2%,4
26–28 Jun,YouGov,The Times,GB,1626,45%,37%,5%,5%,4%,2%,1%,0% UKIP on 0%,8
25–26 Jun,Opinium,The Observer,GB,2001,43%,39%,6%,5%,4%,—,1%,3% UKIP on 2% Other on 1%,4
25 Jun,Redfield & Wilton,Election Maps UK,GB,2000,44%,38%,7%,4%,4%,—,0%,2%,6
24–25 Jun,Survation,,UK,2003,43%,36%,8%,5%,4%,0%,0%,4%,7
18–19 Jun,Opinium,The Observer,GB,2001,44%,40%,5%,5%,3%,—,1%,2% UKIP on 1% Other on 1%,4
18 Jun,Redfield & Wilton,,GB,2000,43%,38%,8%,4%,4%,—,1%,3%,5
11–15 Jun,Kantar Public,,GB,1124,43%,35%,8%,5%,4%,2%,0%,1% UKIP on 1%,8
12–14 Jun,Savanta ComRes,The Daily Telegraph,UK,2106,40%,36%,9%,5%,3%,3%,1%,4%,4
11–12 Jun,Opinium,The Observer,GB,2001,44%,39%,6%,5%,2%,—,0%,2% UKIP on 1% Other on 1%,5
11–12 Jun,YouGov,The Times,GB,1693,45%,37%,6%,5%,4%,2%,1%,0% UKIP on 0%,8
11 Jun,Redfield & Wilton,,GB,1500,41%,39%,9%,5%,4%,—,0%,2%,2
9–10 Jun,Survation,,UK,1062,42%,36%,8%,5%,4%,1%,1%,3%,6
5–10 Jun,Ipsos,Evening Standard,GB,1059,43%,38%,10%,4%,1%,3%,0%,1%,5
4–5 Jun,Opinium,The Observer,,2002,43%,40%,6%,5%,3%,—,1%,2% UKIP on 2%,3
4–5 Jun,Deltapoll,The Mail on Sunday,,1547,41%,38%,8%,2%,4%,3%,0%,3% UKIP on 2% Other on 1%,3
3 Jun,Survation,,UK,1018,41%,39%,7%,4%,4%,1%,1%,3%,2
3 Jun,Redfield & Wilton,,GB,1500,43%,36%,9%,4%,5%,—,1%,3%,7
29–30 May,YouGov,The Times,GB,1650,45%,35%,6%,5%,5%,2%,0%,1% UKIP on 0% Other on 1%,10
28–29 May,Opinium,The Observer,GB,2012,43%,39%,6%,5%,3%,—,1%,4% UKIP on 1% Other on 2%,4
27–28 May,Deltapoll,The Mail on Sunday,GB,1557,43%,38%,8%,3%,4%,2%,0%,2% UKIP on 2%,5
27 May,Redfield & Wilton,,GB,1500,43%,37%,9%,5%,3%,—,0%,3%,6
26–27 May,YouGov,DatapraxisEU,GB,2029,43%,38%,6%,5%,4%,3%,1%,1% UKIP on 0% Other on 1%,5
25–26 May,YouGov,The Times,GB,1629,44%,38%,6%,5%,4%,2%,1%,1% UKIP on 0% Other on 1%,6
22–26 May,Survation,,UK,1040,46%,33%,8%,5%,4%,0%,0%,4%,13
21–22 May,Opinium,The Observer,GB,2008,47%,35%,6%,5%,3%,—,0%,3% UKIP on 2% Other on 1%,12
18–19 May,YouGov,The Times,GB,1718,48%,33%,6%,5%,5%,2%,1%,1% UKIP on 0% Other on 1%,15
15–17 May,Savanta ComRes Archived 21 May 2020 at the Wayback Machine[56],,GB,2079,46%,33%,7%,4%,4%,2%,1%,1%,13
15 May,Redfield & Wilton,,GB,1500,47%,35%,9%,4%,3%,—,0%,2%,12
13–14 May,Opinium,The Observer,GB,1062,49%,34%,6%,5%,3%,—,1%,2% UKIP on 1% Other on 1%,15
5–11 May,Kantar Public,,GB,1130,51%,32%,7%,5%,2%,2%,1%,1% UKIP on 0% Other on 1%,19
5–7 May,Opinium,The Observer,GB,1053,49%,33%,6%,5%,5%,0%,1%,2% UKIP on 1% Other on 1%,16
6 May,Redfield & Wilton,,GB,1500,50%,31%,7%,4%,5%,—,0%,3%,19
5–6 May,YouGov,The Times,GB,1667,50%,30%,7%,4%,5%,3%,1%,1% UKIP on 0% Other on 1%,20
27 Apr – 1 May,Opinium,The Observer,GB,1072,51%,33%,6%,5%,3%,0%,1%,2% UKIP on 1% Other on 1%,18
27–28 Apr,Survation,,UK,1023,48%,31%,8%,4%,5%,1%,1%,3%,17
26 Apr,Redfield & Wilton,,GB,1500,50%,33%,7%,5%,4%,—,0%,1%,17
21–23 Apr,Opinium,The Observer,GB,2000,50%,33%,7%,5%,3%,0%,0%,2% UKIP on 1% Other on 1%,17
16–20 Apr,Kantar Public,,GB,1118,54%,28%,9%,4%,4%,1%,1%,0% UKIP on 0%,26
17 Apr,Redfield & Wilton,,GB,1500,52%,31%,8%,4%,3%,—,1%,2%,21
16–17 Apr,YouGov,The Times,GB,2015,53%,32%,5%,4%,3%,1%,1%,2% UKIP on 0% Other on 1%,21
15–17 Apr,Opinium,The Observer,GB,2000,51%,32%,6%,5%,3%,0%,0%,2% UKIP on 1% Other on 1%,19
7–9 Apr,Opinium,The Observer,GB,2005,55%,29%,5%,5%,4%,0%,0%,2% UKIP on 1% Other on 1%,26
7–9 Apr,BMG,The Independent,GB,1541,46%,29%,10%,3%,6%,2%,1%,2% UKIP on 1% Other on 1%,17
4 Apr,Keir Starmer is elected leader of the Labour Party[57],Keir Starmer is elected leader of the Labour Party[57],Keir Starmer is elected leader of the Labour Party[57],Keir Starmer is elected leader of the Labour Party[57],Keir Starmer is elected leader of the Labour Party[57],Keir Starmer is elected leader of the Labour Party[57],Keir Starmer is elected leader of the Labour Party[57],Keir Starmer is elected leader of the Labour Party[57],Keir Starmer is elected leader of the Labour Party[57],Keir Starmer is elected leader of the Labour Party[57],Keir Starmer is elected leader of the Labour Party[57],Keir Starmer is elected leader of the Labour Party[57],Keir Starmer is elected leader of the Labour Party[57]
1–3 Apr,Opinium,The Observer,GB,2000,53%,30%,7%,5%,3%,0%,1%,2% UKIP on 1% Other on 1%,23
1–2 Apr,Redfield & Wilton,,UK,2000,49%,29%,8%,4%,4%,—,1%,5%,20
1–2 Apr,YouGov,The Times,GB,1631,52%,28%,8%,5%,5%,1%,1%,1% UKIP on 0% Other on 1%,24
26–27 Mar,Opinium,The Observer,GB,2006,54%,28%,6%,5%,3%,0%,1%,2% UKIP on 1% Other on 1%,26
24–26 Mar,Number Cruncher Politics,Bloomberg,GB,1010,54%,28%,7%,4%,4%,2%,0%,—,26
23 Mar,Redfield & Wilton,,GB,1500,47%,29%,8%,5%,5%,—,1%,5%,18
19–20 Mar,Opinium,The Observer,GB,2005,51%,31%,7%,5%,3%,0%,1%,2% UKIP on 1% Other on 1%,20
13–16 Mar,Ipsos,Evening Standard,GB,1003,52%,30%,9%,4%,4%,0%,1%,—,22
12–13 Mar,Opinium,The Observer,GB,2005,49%,32%,6%,5%,5%,0%,1%,3% UKIP on 2% Other on 1%,17
5–9 Mar,Kantar Public,,GB,1171,50%,29%,11%,4%,1%,2%,1%,2% UKIP on 1% Other on 1%,21
3–6 Mar,BMG,The Independent,GB,1498,45%,28%,11%,3%,6%,3%,1%,2% UKIP on 1% Other on 1%,17
19–20 Feb,Savanta ComRes,Sunday Express,GB,2005,47%,31%,9%,4%,4%,3%,1%,—,16
12–14 Feb,Opinium Archived 18 February 2020 at the Wayback Machine[58],The Observer,GB,2007,47%,32%,7%,6%,4%,2%,1%,1% UKIP on 0% Other on 1%,15
12 Feb,Redfield & Wilton,,GB,1216,49%,31%,9%,4%,4%,—,1%,2%,18
9–10 Feb,YouGov,The Times,GB,1694,48%,28%,10%,4%,6%,2%,1%,1% UKIP on 0% Other on 1%,20
4–7 Feb,BMG,The Independent,GB,1503,41%,29%,11%,5%,8%,3%,1%,3% UKIP on 2% Other on 1%,12
31 Jan – 3 Feb,Ipsos,Evening Standard,GB,1001,47%,30%,11%,4%,5%,1%,1%,1%,17
31 Jan – 2 Feb,YouGov,The Times,GB,1575,49%,30%,8%,4%,5%,2%,1%,1% UKIP on 0% Other on 1%,19
30–31 Jan,Survation,,UK,1015,44%,33%,10%,5%,3%,3%,0%,2%,11
24–26 Jan,YouGov,The Times,GB,1628,49%,29%,10%,5%,4%,2%,1%,0% UKIP on 0%,20
15–17 Jan,Opinium,The Observer,GB,1978,47%,30%,9%,5%,4%,3%,1%,2% UKIP on 0% Other on 2%,17
8–10 Jan,BMG,The Independent,GB,1508,44%,29%,11%,3%,5%,4%,0%,2% UKIP on 2%,15
12 Dec 2019,2019 general election,2019 general election,UK,—,43.6%,32.1%,11.6%,3.9%,2.7%,2.0%,0.5%,3.2%,11.5
12 Dec 2019,2019 general election,2019 general election,GB,—,44.7%,32.9%,11.8%,4.0%,2.8%,2.1%,0.5%,1.7%,11.8
