Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,UKIP,LD,SNP,Green,Others,Lead
21–22 Sep,Survation/Huffington Post,1008,37%,32%,13%,9%,5%,3%,1%,5
19–22 Sep,Ipsos MORI/Evening Standard,1255,39%,34%,7%,9%,5%,4%,1%,5
17–18 Sep,YouGov/Sunday Times,1601,39%,31%,16%,6%,5%[c],3%,1%,8
15–18 Sep,Opinium,1942,37%,32%,14%,6%,5%,4%,1%,5
16–17 Sep,"ComRes/Independent on Sunday, Sunday Mirror",2015,42%,30%,13%,7%,5%,3%,1%,12
11–13 Sep,ICM/The Guardian,1006,38%,32%,13%,8%,5%,3%,2%,6
12 Sep,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition,Jeremy Corbyn is elected leader of the Labour Party and appointed Leader of the Opposition
3–4 Sep,Survation/Mail on Sunday,1004,38%,32%,13%,6%,5%,4%,2%,6
21–23 Aug,ComRes/Daily Mail,1001,42%,28%,9%,8%,5%,6%,3%,14
12–13 Aug,"ComRes/Independent on Sunday, Sunday Mirror",2035,40%,29%,13%,8%,5%,4%,1%,11
12–13 Aug,Survation/TSSA,1007,38%,33%,15%,6%,5%,3%,1%,5
7–9 Aug,ICM/The Guardian,1000,40%,31%,10%,7%,5%,4%,2%,9
24–26 Jul,ComRes/Daily Mail,1001,40%,28%,10%,7%,5%,5%,4%,12
18–20 Jul,Ipsos MORI/Evening Standard,1026,37%,31%,9%,10%,5%,8%,1%,6
16 Jul,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats,Tim Farron is elected leader of the Liberal Democrats
10–12 Jul,ICM/The Guardian,1005,38%,34%,13%,6%,4%,4%,1%,4
26–28 Jun,ComRes/Daily Mail,1002,39%,27%,11%,9%,5%,6%,3%,12
14–16 Jun,Ipsos MORI/Evening Standard,1005,39%,30%,8%,9%,5%,6%,2%,9
12–14 Jun,ICM/The Guardian,1004,37%,31%,13%,8%,5%,5%,1%,6
29–31 May,ComRes/Daily Mail,1000,41%,29%,10%,8%,5%,5%,3%,12
25–26 May,YouGov/The Sun,1709,41%,30%,13%,7%,4%[c],4%,1%,11
8–9 May,Survation/Mail on Sunday,1027,40%,31%,12%,6%,5%,3%,2%,9
7 May 2015,2015 general election[f],–,37.8%,31.2%,12.9%,8.1%,4.9%,3.8%,1.4%,6.6
