Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,LD,UKIP,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead
25–26 Jul,YouGov/Sunday Times,1857,33%,39%,10%,11%,2%,5%,6
23–26 Jul,Opinium/The Observer,1935,28%,39%,8%,16%,3%,6%,11
24–25 Jul,Populus,2005,32%,39%,11%,10%,3%,5%,7
24–25 Jul,YouGov/The Sun,1817,32%,38%,11%,11%,3%,5%,6
23–24 Jul,YouGov/The Sun,1926,35%,39%,8%,11%,3%,4%,4
22–23 Jul,YouGov/The Sun,1968,32%,39%,11%,12%,2%,4%,7
21–22 Jul,YouGov/The Sun,1710,35%,38%,11%,10%,2%,4%,3
18–22 Jul,TNS BMRB Archived 6 December 2014 at the Wayback Machine,1232,28%,38%,9%,16%,2%,7%,10
19–21 Jul,Populus Archived 4 December 2014 at the Wayback Machine,2049,32%,39%,12%,9%,2%,6%,7
18–19 Jul,YouGov/Sunday Times,1877,32%,39%,10%,11%,2%,5%,7
17–18 Jul,YouGov/The Sun,1866,33%,38%,11%,11%,2%,5%,5
17–18 Jul,Populus Archived 4 December 2014 at the Wayback Machine,2004,31%,39%,12%,10%,3%,4%,8
16–17 Jul,YouGov/The Sun,1874,31%,37%,12%,13%,3%,5%,6
15–16 Jul,YouGov/The Sun,1965,32%,38%,10%,12%,2%,6%,6
14–15 Jul,YouGov/The Sun,1701,31%,40%,11%,11%,2%,7%,9
12–14 Jul,ICM/The Guardian[9],1003,36%,36%,13%,7%,3%,5%,Tie
12–14 Jul,Populus,2044,31%,38%,13%,10%,4%,4%,7
11–12 Jul,YouGov/Sunday Times,1857,30%,41%,10%,13%,2%,4%,11
11–12 Jul,Survation/Mail on Sunday,1006,28%,36%,9%,20%,4%,3%,8
10–12 Jul,Opinium/The Observer,1951,27%,38%,6%,19%,4%,6%,11
10–11 Jul,ComRes/Sunday Mirror/Independent[permanent dead link],2021,28%,36%,8%,18%,4%,6%,8
9–10 Jul,YouGov/The Sun,1955,32%,37%,11%,12%,3%,4%,5
8–9 Jul,YouGov/The Sun,1938,31%,39%,10%,13%,3%,4%,8
7–8 Jul,YouGov/The Sun,1938,34%,40%,10%,10%,2%,4%,6
4–5 Jul,YouGov/Sunday Times,1660,33%,39%,11%,12%,2%,4%,6
3–4 Jul,YouGov/The Sun,1792,31%,39%,11%,12%,2%,5%,8
3 Jul,Survation/Mirror,1085,23%,36%,10%,22%,4%,5%,13
2–3 Jul,YouGov/The Sun,1923,32%,40%,9%,13%,2%,4%,8
1–2 Jul,YouGov/The Sun,1967,32%,40%,9%,12%,3%,4%,8
30 Jun – 1 Jul,YouGov/The Sun,1620,33%,38%,8%,12%,2%,6%,5
27–28 Jun,YouGov/The Sunday Times,1967,33%,38%,11%,11%,2%,5%,5
25–28 Jun,Opinium/The Observer,1954,27%,37%,7%,19%,3%,7%,10
26–27 Jun,YouGov/The Sun,1920,33%,39%,10%,13%,3%,2%,6
25–26 Jun,YouGov/The Sun,1915,31%,42%,11%,10%,3%,4%,11
24–25 Jun,YouGov/The Sun,1860,32%,40%,11%,11%,2%,4%,8
23–24 Jun,YouGov/The Sun,1694,32%,39%,9%,12%,3%,4%,7
21–23 Jun,ComRes/Independent,1000,30%,36%,10%,14%,5%,4%,6
20–21 Jun,YouGov/Sunday Times,1916,31%,39%,10%,13%,3%,4%,8
19–20 Jun,YouGov/The Sun,1872,31%,39%,11%,14%,2%,3%,8
18–19 Jun,YouGov/The Sun,1847,32%,38%,10%,13%,2%,4%,6
17–18 Jun,YouGov/The Sun,1921,31%,38%,10%,12%,2%,6%,7
16–17 Jun,YouGov/The Sun,1705,31%,40%,10%,13%,2%,4%,9
13–14 Jun,YouGov/Sunday Times,1897,30%,39%,10%,14%,2%,5%,9
12–14 Jun,Opinium/The Observer,1942,27%,36%,7%,20%,3%,8%,9
12–13 Jun,ComRes/Sunday Mirror/Independent[permanent dead link],2041,26%,35%,10%,19%,4%,6%,9
12–13 Jun,YouGov/The Sun,1861,32%,39%,10%,12%,2%,5%,7
11–12 Jun,YouGov/The Sun,1926,30%,38%,11%,12%,3%,5%,8
10–11 Jun,YouGov/The Sun,1874,30%,38%,9%,16%,3%,4%,8
9–10 Jun,YouGov/The Sun,1689,28%,39%,11%,15%,2%,5%,11
8–10 Jun,Ipsos MORI/Evening Standard,1023,31%,35%,10%,12%,4%,8%,4
6–10 Jun,TNS BMRB Archived 29 November 2014 at the Wayback Machine,1208,27%,36%,8%,19%,3%,7%,9
7–9 Jun,ICM/The Guardian,1002,29%,36%,12%,12%,2%,8%,7
6–7 Jun,YouGov/Sunday Times,1836,30%,40%,9%,14%,2%,5%,10
5–6 Jun,YouGov/The Sun,1905,32%,39%,10%,13%,3%,3%,7
4–5 Jun,YouGov/The Sun,1939,30%,39%,10%,14%,3%,4%,9
3–4 Jun,YouGov/The Sun,1974,30%,40%,10%,14%,2%,4%,10
3 Jun,YouGov/The Sun,1387,31%,38%,10%,16%,2%,3%,7
30 May – 3 Jun,TNS BMRB Archived 29 November 2014 at the Wayback Machine,1190,24%,37%,10%,19%,3%,7%,13
31 May – 2 Jun,Lord Ashcroft,1007,27%,37%,9%,15%,12%,12%,10
30–31 May,YouGov/Sunday Times,1879,30%,39%,10%,15%,2%,4%,9
28–31 May,Opinium/The Observer,1948,26%,37%,6%,21%,4%,6%,11
30 May,Survation/Sun on Sunday,1007,25%,36%,10%,20%,4%,5%,11
29–30 May,YouGov/The Sun,1928,30%,38%,11%,14%,3%,4%,8
28–29 May,YouGov/The Sun,1915,30%,37%,11%,14%,3%,5%,7
17–29 May,Lord Ashcroft,20062,27%,38%,9%,18%,3%,5%,11
27–28 May,YouGov/The Sun,1995,29%,39%,10%,15%,3%,5%,10
24–26 May,ComRes/Independent[permanent dead link],1000,30%,34%,10%,17%,2%,7%,4
24 May,Survation/Mail on Sunday,1121,24%,35%,10%,22%,4%,5%,11
23–24 May,YouGov/Sunday Times,1839,30%,40%,10%,14%,2%,4%,10
22–24 May,ComRes/Open Europe,2003,26%,37%,9%,20%,3%,5%,11
22–23 May,YouGov/The Sun,1671,29%,42%,11%,13%,2%,4%,13
21–22 May,YouGov/The Sun,1810,29%,39%,11%,16%,1%,4%,10
20–21 May,YouGov/The Sun,1914,27%,38%,10%,16%,4%,5%,11
