Date,Firm,Interview mode,Sample,Preferred prime minister,Preferred prime minister,Preferred prime minister,Albanese,Albanese,Albanese,Albanese,Dutton,Dutton,Dutton,Dutton
12–15 Jul 2023,Newspoll[233],Online,1570,54%,29%,17%,52%,41%,7%,+11%,36%,49%,15%,−13%
16–24 Jun 2023,Newspoll[236],Online,2303,52%,32%,16%,52%,42%,6%,+10%,38%,49%,13%,−11%
29 May – 12 Jun 2023,CT Group[323],Online,3000,—N/a,—N/a,—N/a,42%,36%,22%,+6%,—N/a,—N/a,—N/a,—N/a
6–11 Jun 2023,Resolve Strategic[238][239],Online,1606,53%,22%,25%,53%,35%,13%,+18%,28%,48%,24%,−20%
31 May – 3 Jun 2023,Newspoll[240],Online,1549,55%,28%,17%,55%,37%,8%,+18%,36%,50%,14%,−14%
15–17 May 2023,Freshwater Strategy[242][243],Online,1005,51%,33%,16%[u],42%,37%,21%,+5%,30%,42%,28%,−12%
10–14 May 2023,Essential[324],Online,1125,—N/a,—N/a,—N/a,54%,35%,11%,+19%,36%,45%,19%,−9%
11–13 May 2023,Newspoll[245][246],Online,1516,56%,29%,15%,57%,38%,5%,+19%,36%,51%,13%,−15%
10–13 May 2023,Resolve Strategic[247][248],Online,1610,53%,20%,27%,56%,29%,14%,+27%,28%,49%,23%,−21%
19–22 Apr 2023,Newspoll[250][251],Online,1514,54%,28%,18%,53%,37%,10%,+16%,33%,52%,15%,−19%
12–16 Apr 2023,Essential[325],Online,1136,—N/a,—N/a,—N/a,51%,36%,12%,+15%,36%,44%,20%,−8%
12–16 Apr 2023,Resolve Strategic[253][254],Online,1609,55%,21%,24%,56%,29%,14%,+27%,26%,54%,19%,−28%
29 Mar – 2 Apr 2023,Essential[326],Online,1133,—N/a,—N/a,—N/a,52%,35%,13%,+17%,—N/a,—N/a,—N/a,—N/a
29 Mar – 1 Apr 2023,Newspoll,Online,1500,58%,26%,16%,56%,35%,9%,+21%,35%,48%,21%,−13%
12–16 Mar 2023,Resolve Strategic[258][257],Online,1600,51%,22%,27%,55%,31%,13%,+24%,32%,44%,25%,−12%
1–4 Mar 2023,Newspoll,Online,1530,54%,28%,18%,55%,38%,7%,+17%,37%,48%,15%,−11%
15–21 Feb 2023,Morning Consult,—N/a,—N/a,—N/a,—N/a,—N/a,57%,31%,12%,+26%,—N/a,—N/a,—N/a,—N/a
15–19 Feb 2023,Essential[327],Online,1044,—N/a,—N/a,—N/a,53%,34%,13%,+19%,—N/a,—N/a,—N/a,—N/a
15–19 Feb 2023,Resolve Strategic[260][261],Online,1604,55%,23%,22%,56%,30%,13%,+26%,29%,45%,26%,−16%
1–4 Feb 2023,Newspoll[262][263],Online,1512,56%,26%,18%,57%,33%,10%,+24%,36%,46%,18%,−10%
18–22 Jan 2023,Essential[328],Online,1050,—N/a,—N/a,—N/a,55%,31%,13%,+24%,—N/a,—N/a,—N/a,—N/a
17–22 Jan 2023,Resolve Strategic[265][264],Online,1606,55%,20%,25%,60%,25%,15%,+35%,28%,46%,26%,−18%
