Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,UKIP,LD,SNP,Grn,Others,Lead
2 Sep,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party
30–31 Aug,YouGov/The Times,1687,38%,30%,14%,7%,6%[c],4%,–,8
26–28 Aug,ICM/The Guardian,2040,41%,27%,13%,9%,4%,4%,2%,14
22–23 Aug,YouGov/The Times,1660,40%,29%,13%,8%,6%[c],3%,1%,11
11–22 Aug,Lord Ashcroft Polls,8011,40%,31%,13%,7%,5%,3%,1%,9
16–17 Aug,YouGov/The Times,1677,38%,30%,13%,9%,7%[c],4%,–,8
13–15 Aug,Ipsos MORI/Evening Standard[permanent dead link],1017,45%,34%,6%,7%,4%,4%,1%,11
12–15 Aug,ICM,2010,40%,28%,14%,8%,4%,4%,2%,12
8–9 Aug,YouGov/The Times,1692,38%,31%,13%,8%,7%[c],4%,–,7
5–8 Aug,TNS[permanent dead link],1199,39%,26%,11%,10%,4%,7%,2%,13
1–2 Aug,YouGov/The Times,1722,42%,28%,12%,8%,6%[c],3%,1%,14
25–26 Jul,YouGov/The Times,1680,40%,28%,13%,8%,7%[c],4%,1%,12
22–24 Jul,ICM,2012,43%,27%,13%,8%,4%,4%,1%,16
19–22 Jul,Opinium/Observer,2231,37%,31%,15%,6%,6%,4%,1%,6
17–18 Jul,YouGov,1891,40%,29%,12%,9%,7%[c],3%,1%,11
13–15 Jul,ICM,2027,39%,29%,14%,9%,4%,4%,2%,10
11–13 Jul,Theresa May is elected leader of the Conservative Party and subsequently becomes Prime Minister,Theresa May is elected leader of the Conservative Party and subsequently becomes Prime Minister,Theresa May is elected leader of the Conservative Party and subsequently becomes Prime Minister,Theresa May is elected leader of the Conservative Party and subsequently becomes Prime Minister,Theresa May is elected leader of the Conservative Party and subsequently becomes Prime Minister,Theresa May is elected leader of the Conservative Party and subsequently becomes Prime Minister,Theresa May is elected leader of the Conservative Party and subsequently becomes Prime Minister,Theresa May is elected leader of the Conservative Party and subsequently becomes Prime Minister,Theresa May is elected leader of the Conservative Party and subsequently becomes Prime Minister,Theresa May is elected leader of the Conservative Party and subsequently becomes Prime Minister
9–11 Jul,Ipsos MORI,1021,36%,35%,8%,11%,5%,4%,1%,1
8–10 Jul,ICM,2025,38%,30%,15%,8%,5%,4%,1%,8
4–5 Jul,Survation/Constitutional Research Council,1008,36%,32%,12%,9%,6%,–,7%,4
1–3 Jul,ICM,1979,37%,30%,15%,8%,5%,4%,2%,7
28–30 Jun,Opinium,2006,34%,29%,17%,7%,5%,4%,2%,5
24–26 Jun,ICM/The Guardian,2001,36%,32%,15%,7%,5%,5%,1%,4
24–25 Jun,Survation/Mail on Sunday,1033,32%,32%,16%,9%,4%,4%,2%,Tie
24 Jun,"David Cameron announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","David Cameron announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","David Cameron announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","David Cameron announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","David Cameron announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","David Cameron announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","David Cameron announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","David Cameron announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","David Cameron announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election","David Cameron announces his resignation as leader of the Conservative Party and Prime Minister, triggering a leadership election"
23 Jun,UK European Union membership referendum: the UK votes to leave the EU by 52% to 48%,UK European Union membership referendum: the UK votes to leave the EU by 52% to 48%,UK European Union membership referendum: the UK votes to leave the EU by 52% to 48%,UK European Union membership referendum: the UK votes to leave the EU by 52% to 48%,UK European Union membership referendum: the UK votes to leave the EU by 52% to 48%,UK European Union membership referendum: the UK votes to leave the EU by 52% to 48%,UK European Union membership referendum: the UK votes to leave the EU by 52% to 48%,UK European Union membership referendum: the UK votes to leave the EU by 52% to 48%,UK European Union membership referendum: the UK votes to leave the EU by 52% to 48%,UK European Union membership referendum: the UK votes to leave the EU by 52% to 48%
20–22 Jun,Opinium,3011,34%,30%,19%,6%,6%,4%,2%,4
14–17 Jun,Opinium/Observer,2006,34%,30%,18%,6%,6%,4%,1%,4
16 Jun,Murder of Jo Cox MP; referendum campaigning suspended 16–19 June,Murder of Jo Cox MP; referendum campaigning suspended 16–19 June,Murder of Jo Cox MP; referendum campaigning suspended 16–19 June,Murder of Jo Cox MP; referendum campaigning suspended 16–19 June,Murder of Jo Cox MP; referendum campaigning suspended 16–19 June,Murder of Jo Cox MP; referendum campaigning suspended 16–19 June,Murder of Jo Cox MP; referendum campaigning suspended 16–19 June,Murder of Jo Cox MP; referendum campaigning suspended 16–19 June,Murder of Jo Cox MP; referendum campaigning suspended 16–19 June,Murder of Jo Cox MP; referendum campaigning suspended 16–19 June
16 Jun,Tooting by-election (Lab hold),Tooting by-election (Lab hold),Tooting by-election (Lab hold),Tooting by-election (Lab hold),Tooting by-election (Lab hold),Tooting by-election (Lab hold),Tooting by-election (Lab hold),Tooting by-election (Lab hold),Tooting by-election (Lab hold),Tooting by-election (Lab hold)
15–16 Jun,"ComRes/Sunday Mirror, Independent on Sunday",2046,34%,29%,19%,8%,5%,4%,2%,5
11–14 Jun,Ipsos MORI/Evening Standard,1257,35%,34%,10%,9%,5%,4%,3%,1
10–13 Jun,ICM/The Guardian,2001,34%,30%,19%,8%,4%,4%,1%,4
10–13 Jun,ICM/The Guardian,1000,34%,33%,14%,9%,4%,5%,2%,1
7–10 Jun,Opinium/Observer,2009,35%,32%,18%,4%,5%,4%,1%,3
31 May – 3 Jun,Opinium/Observer,2007,34%,30%,18%,6%,6%,4%,2%,4
27–29 May,ICM/The Guardian,2052,36%,31%,17%,7%,4%,4%,2%,5
27–29 May,ICM/The Guardian,1004,36%,32%,15%,7%,4%,3%,2%,4
17–19 May,Opinium/Observer,2008,35%,30%,18%,5%,6%,5%,2%,5
14–16 May,Ipsos MORI/Evening Standard,1002,36%,34%,10%,8%,5%,5%,2%,2
13–15 May,ICM/The Guardian,1002,36%,34%,13%,7%,4%,4%,2%,2
13–15 May,ICM/The Guardian,2048,34%,32%,17%,7%,5%,4%,1%,2
11–12 May,"ComRes/Sunday Mirror, Independent on Sunday",2043,36%,30%,17%,8%,5%,4%,–,6
5 May,Local elections in England; Scottish Parliament election; National Assembly for Wales election; Northern Ireland Assembly election; Ogmore by-election and Sheffield Brightside and Hillsborough by-election (both Lab holds),Local elections in England; Scottish Parliament election; National Assembly for Wales election; Northern Ireland Assembly election; Ogmore by-election and Sheffield Brightside and Hillsborough by-election (both Lab holds),Local elections in England; Scottish Parliament election; National Assembly for Wales election; Northern Ireland Assembly election; Ogmore by-election and Sheffield Brightside and Hillsborough by-election (both Lab holds),Local elections in England; Scottish Parliament election; National Assembly for Wales election; Northern Ireland Assembly election; Ogmore by-election and Sheffield Brightside and Hillsborough by-election (both Lab holds),Local elections in England; Scottish Parliament election; National Assembly for Wales election; Northern Ireland Assembly election; Ogmore by-election and Sheffield Brightside and Hillsborough by-election (both Lab holds),Local elections in England; Scottish Parliament election; National Assembly for Wales election; Northern Ireland Assembly election; Ogmore by-election and Sheffield Brightside and Hillsborough by-election (both Lab holds),Local elections in England; Scottish Parliament election; National Assembly for Wales election; Northern Ireland Assembly election; Ogmore by-election and Sheffield Brightside and Hillsborough by-election (both Lab holds),Local elections in England; Scottish Parliament election; National Assembly for Wales election; Northern Ireland Assembly election; Ogmore by-election and Sheffield Brightside and Hillsborough by-election (both Lab holds),Local elections in England; Scottish Parliament election; National Assembly for Wales election; Northern Ireland Assembly election; Ogmore by-election and Sheffield Brightside and Hillsborough by-election (both Lab holds),Local elections in England; Scottish Parliament election; National Assembly for Wales election; Northern Ireland Assembly election; Ogmore by-election and Sheffield Brightside and Hillsborough by-election (both Lab holds)
26–29 Apr,Opinium/Observer,2005,38%,30%,15%,5%,5%,5%,2%,8
25–26 Apr,YouGov/The Times,1650,30%,33%,20%,6%,8%[c],3%,–,3
22–26 Apr,BMG Research,1375,33%,32%,18%,6%,5%,4%,2%,1
16–18 Apr,Ipsos MORI/Evening Standard,1026,38%,35%,11%,6%,6%,3%,1%,3
15–17 Apr,ICM/The Guardian,1003,38%,33%,13%,7%,5%,3%,1%,5
15–17 Apr,ICM/The Guardian,2008,36%,31%,16%,7%,4%,4%,2%,5
13–14 Apr,"ComRes/Sunday Mirror, Independent on Sunday",2036,35%,30%,16%,8%,5%,4%,1%,5
11–12 Apr,YouGov/The Times,1639,31%,34%,17%,8%,7%[c],3%,–,3
29 Mar – 1 Apr,Opinium/Observer,1966,33%,32%,17%,5%,6%,4%,2%,1
24–29 Mar,BMG Research,1298,36%,31%,16%,7%,5%,5%,2%,5
19–22 Mar,Ipsos MORI,1023,36%,34%,11%,10%,5%,3%,2%,2
18–20 Mar,ComRes/Daily Mail,1002,37%,35%,9%,7%,5%,4%,2%,2
16–17 Mar,YouGov/The Times,1691,33%,34%,16%,6%,6%[c],3%,2%,1
11–13 Mar,ICM/The Guardian,1001,36%,36%,11%,8%,3%,3%,1%,Tie
9–10 Mar,"ComRes/Sunday Mirror, Independent on Sunday",2059,38%,29%,16%,7%,4%,4%,1%,9
21–23 Feb,YouGov/The Times,3482,37%,30%,16%,8%,6%[c],3%,–,7
17–23 Feb,BMG Research,1268,38%,30%,16%,5%,5%,5%,2%,8
19–22 Feb,ComRes/Daily Mail,1000,38%,31%,12%,8%,4%,3%,3%,7
13–16 Feb,Ipsos MORI,1001,39%,33%,12%,6%,6%,3%,2%,6
12–14 Feb,ICM/The Guardian,1004,39%,32%,11%,7%,4%,4%,3%,7
10–12 Feb,"ComRes/Sunday Mirror, Independent on Sunday",2018,41%,27%,15%,9%,5%,3%,1%,14
3–4 Feb,YouGov/The Times,1675,39%,29%,18%,6%,4%[c],3%,1%,10
27–28 Jan,YouGov,1735,39%,30%,17%,6%,4%[c],3%,1%,9
23–25 Jan,Ipsos MORI,1027,40%,31%,11%,7%,5%,4%,1%,9
22–24 Jan,ComRes/Daily Mail,1006,37%,32%,12%,6%,4%,4%,4%,5
15–17 Jan,ICM/The Guardian,1001,40%,35%,10%,6%,4%,3%,2%,5
15–16 Jan,Survation/Mail on Sunday,1017,37%,30%,16%,7%,5%,3%,3%,7
13–15 Jan,"ComRes/Sunday Mirror, Independent on Sunday",2004,40%,29%,16%,7%,4%,3%,1%,11
8–14 Jan,Panelbase/Sunday Times Archived 19 May 2016 at the Wayback Machine,2087,39%,31%,14%,6%,5%,5%,–,8
