Date,Brand,Interview mode,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote[a],2pp vote[a]
16–22 Sep 2024,Roy Morgan[102],Online,1662,37.5%,32%,12.5%,5%,—N/a,13%,—N/a,50.5%,49.5%
16–20 Sep 2024,Newspoll[103],Online,1249,38%,31%,13%,6%,—N/a,12%,—N/a,50%,50%
13–19 Sep 2024,YouGov[104],Online,1619,39%,30%,14%,7%,—N/a,10%,—N/a,50%,50%
13–15 Sep 2024,Freshwater Strategy[105],Online,1057,42%,30%,13%,—N/a,—N/a,15%,—N/a,48%,52%
9–15 Sep 2024,Roy Morgan[106],Online,1634,37.5%,30.5%,12.5%,5.5%,—N/a,14%,—N/a,50.5%,49.5%
2–8 Sep 2024,Roy Morgan[107],Online,1703,36.5%,30%,14.5%,6%,—N/a,13%,—N/a,51%,49%
3–7 Sep 2024,Essential[53],Online,1132,35%,30%,13%,8%,1%,8%,5%,48%,48%
3–7 Sep 2024,Resolve Strategic[108],Online,1614,37%,28%,13%,6%,1%,15%,—N/a,50%,50%
26 Aug – 1 Sep 2024,Roy Morgan[109],Online,1697,36%,30.5%,13%,6%,—N/a,14.5%,—N/a,50.5%,49.5%
26–30 Aug 2024,Newspoll[110],Online,1263,38%,32%,12%,7%,—N/a,11%,—N/a,50%,50%
6–29 Aug 2024,Wolf & Smith[111][112][113],Online,10239,36%,29%,13%,6%,—N/a,15%,—N/a,51%,49%
23–28 Aug 2024,YouGov[114],Online,1543,37%,32%,13%,8%,—N/a,10%,—N/a,50%,50%
20–27 Aug 2024,RedBridge Group[115],Online,2017,38%,33%,12%,—N/a,—N/a,17%,—N/a,50.5%,49.5%
10 Jul – 27 Aug 2024,RedBridge Group[112][116][117],Online,5976,38%,32%,12%,—N/a,—N/a,18%,—N/a,50%,50%
19–25 Aug 2024,Roy Morgan[118],Online,1701,39.5%,29.5%,13%,4%,—N/a,14%,—N/a,49.5%,50.5%
20–24 Aug 2024,Essential[53],Online,1129,33%,29%,13%,7%,1%,11%,6%,48%,46%
16–18 Aug 2024,Freshwater Strategy[119],Online,1061,41%,32%,12%,—N/a,—N/a,15%,—N/a,49%,51%
12–18 Aug 2024,Roy Morgan[120],Online,1698,38.5%,30.5%,13.5%,4%,—N/a,13.5%,—N/a,50.5%,49.5%
8–11 Aug 2024,Essential[53],Online,1132,34%,28%,14%,7%,1%,9%,6%,47%,47%
7–11 Aug 2024,Resolve Strategic[121],Online,1607,37%,29%,13%,6%,2%,13%,—N/a,50%,50%
5–11 Aug 2024,Roy Morgan[122],Online,1671,38%,29.5%,14%,5%,—N/a,13.5%,—N/a,50%,50%
5–9 Aug 2024,Newspoll[123],Online,1266,39%,32%,12%,6%,—N/a,11%,—N/a,50%,50%
29 Jul – 4 Aug 2024,Roy Morgan[124],Online,1655,37%,30.5%,12%,5.5%,—N/a,15%,—N/a,51.5%,48.5%
24–28 Jul 2024,Essential[53],Online,1137,34%,32%,11%,7%,2%,9%,6%,47%,46%
22–28 Jul 2024,Roy Morgan[125],Online,1652,37.5%,30.5%,13%,6.5%,—N/a,12.5%,—N/a,50.5%,49.5%
19–21 Jul 2024,Freshwater Strategy[126],Online,1060,40%,31%,13%,—N/a,—N/a,16%,—N/a,49%,51%
15–21 Jul 2024,Roy Morgan[127],Online,1752,39.5%,31.5%,13%,5%,—N/a,11%,—N/a,49%,51%
15–19 Jul 2024,Newspoll[128],Online,1258,38%,33%,13%,6%,—N/a,10%,—N/a,51%,49%
10–19 Jul 2024,RedBridge Group[129],Online,1505,41%,32%,11%,—N/a,—N/a,16%,—N/a,48.5%,51.5%
12–17 Jul 2024,YouGov[130],Online,1528,38%,31%,13%,7%,—N/a,11%,—N/a,51%,49%
10–14 Jul 2024,Essential[53],Online,1122,33%,29%,13%,8%,3%,9%,6%,46%,48%
8–14 Jul 2024,Roy Morgan[131],Online,1758,37.5%,31%,12.5%,5%,—N/a,14%,—N/a,49.5%,50.5%
10–13 Jul 2024,Resolve Strategic[132],Online,1603,38%,28%,13%,6%,1%,13%,—N/a,50%,50%
1–7 Jul 2024,Roy Morgan[133],Online,1723,39.5%,28.5%,13.5%,5%,—N/a,13.5%,—N/a,48%,52%
26–30 Jun 2024,Essential[53],Online,1141,33%,30%,12%,7%,1%,10%,7%,46%,47%
24–30 Jun 2024,Roy Morgan[134],Online,1708,36.5%,31.5%,13%,4.5%,—N/a,14.5%,—N/a,51%,49%
24–28 Jun 2024,Newspoll[135],Online,1260,36%,32%,13%,7%,—N/a,12%,—N/a,51%,49%
17–23 Jun 2024,Roy Morgan[136],Online,1696,37%,31.5%,13%,6%,—N/a,12.5%,—N/a,51%,49%
14–16 Jun 2024,Freshwater Strategy[137],Online,1060,40%,32%,13%,—N/a,—N/a,15%,—N/a,50%,50%
12–16 Jun 2024,Essential[53],Online,1181,32%,31%,13%,8%,1%,9%,6%,48%,46%
10–16 Jun 2024,Roy Morgan[138],Online,1724,38%,29.5%,13.5%,5%,—N/a,14%,—N/a,50%,50%
11–15 Jun 2024,Resolve Strategic[139],Online,1607,36%,28%,14%,6%,1%,15%,—N/a,51%,49%
3–9 Jun 2024,Roy Morgan[140],Online,1687,35%,30.5%,15.5%,5.5%,—N/a,13.5%,—N/a,53.5%,46.5%
3–7 Jun 2024,Newspoll[141],Online,1232,39%,33%,11%,7%,—N/a,10%,—N/a,50%,50%
31 May – 4 Jun 2024,YouGov[142],Online,1500,38%,30%,14%,8%,—N/a,10%,—N/a,50%,50%
29 May – 2 Jun 2024,Essential[53],Online,1160,36%,32%,13%,5%,3%,8%,4%,48%,48%
27 May – 2 Jun 2024,Roy Morgan[143],Online,1579,36%,31%,14%,4.5%,—N/a,14.5%,—N/a,52%,48%
20–26 May 2024,Roy Morgan[144],Online,1488,37%,28.5%,15%,6%,—N/a,13.5%,—N/a,48.5%,51.5%
17–19 May 2024,Freshwater Strategy[145],Online,1056,40%,32%,14%,—N/a,—N/a,14%,—N/a,50%,50%
16–19 May 2024,Essential[53],Online,1149,34%,31%,10%,8%,1%,8%,6%,46%,47%
15–19 May 2024,Resolve Strategic[146],Online,1602,36%,29%,12%,7%,2%,14%,—N/a,50%,50%
13–19 May 2024,Roy Morgan[147],Online,1674,37%,30.5%,14.5%,5.5%,—N/a,12.5%,—N/a,50.5%,49.5%
16–18 May 2024,Newspoll[148],Online,1280,37%,34%,13%,7%,—N/a,9%,—N/a,52%,48%
10–14 May 2024,YouGov[149],Online,1506,38%,30%,13%,8%,—N/a,11%,—N/a,50%,50%
6–12 May 2024,Roy Morgan[150],Online,1654,37%,32%,13.5%,5.5%,—N/a,12%,—N/a,52%,48%
1–5 May 2024,Essential[53],Online,1150,34%,31%,13%,7%,1%,7%,7%,46%,47%
29 Apr – 5 May 2024,Roy Morgan[151],Online,1666,37%,30%,13%,6%,—N/a,14%,—N/a,52%,48%
22–28 Apr 2024,Roy Morgan[152],Online,1719,36.5%,31.5%,14%,5.5%,—N/a,12.5%,—N/a,52%,48%
19–23 Apr 2024,YouGov[153],Online,1514,36%,33%,13%,8%,—N/a,10%,—N/a,52%,48%
17–21 Apr 2024,Essential[53],Online,1145,35%,31%,11%,9%,1%,9%,4%,47%,49%
17–21 Apr 2024,Resolve Strategic[154],Online,1610,36%,30%,13%,5%,2%,14%,—N/a,50%,50%
15–21 Apr 2024,Roy Morgan[155],Online,1617,35.5%,30.5%,16%,5.5%,—N/a,12.5%,—N/a,52%,48%
12–21 Apr 2024,RedBridge Group[156],Online,1529,37%,33%,12%,7%,—N/a,11%,—N/a,52%,48%
15–18 Apr 2024,Newspoll[157],Online,1236,38%,33%,12%,7%,—N/a,10%,—N/a,51%,49%
12–14 Apr 2024,Freshwater Strategy[158],Online,1055,40%,31%,13%,—N/a,—N/a,16%,—N/a,50%,50%
8–14 Apr 2024,Roy Morgan[159],Online,1706,38.5%,30%,13.5%,5.5%,—N/a,12.5%,—N/a,49%,51%
13 Apr 2024,The Liberals are re-elected in the 2024 Cook by-election,The Liberals are re-elected in the 2024 Cook by-election,The Liberals are re-elected in the 2024 Cook by-election,The Liberals are re-elected in the 2024 Cook by-election,The Liberals are re-elected in the 2024 Cook by-election,The Liberals are re-elected in the 2024 Cook by-election,The Liberals are re-elected in the 2024 Cook by-election,The Liberals are re-elected in the 2024 Cook by-election,The Liberals are re-elected in the 2024 Cook by-election,The Liberals are re-elected in the 2024 Cook by-election,The Liberals are re-elected in the 2024 Cook by-election,The Liberals are re-elected in the 2024 Cook by-election
3–7 Apr 2024,Essential[53],Online,1165,34%,29%,14%,6%,2%,8%,6%,48%,46%
1–7 Apr 2024,Roy Morgan[160],Online,1731,38%,29.5%,13.5%,6%,—N/a,13%,—N/a,49.5%,50.5%
25–31 Mar 2024,Roy Morgan[161],Online,1677,37.5%,30%,15.5%,3.5%,—N/a,13.5%,—N/a,51%,49%
22–27 Mar 2024,YouGov[162],Online,1513,38%,32%,13%,7%,—N/a,10%,—N/a,51%,49%
21–24 Mar 2024,Resolve Strategic[163],Online,1610,35%,32%,13%,5%,2%,13%,—N/a,53%,47%
20–24 Mar 2024,Essential[53],Online,1150,36%,29%,11%,7%,3%,7%,6%,44%,50%
18–24 Mar 2024,Roy Morgan[164],Online,1633,38%,31.5%,14%,4.5%,—N/a,12%,—N/a,50%,50%
18–22 Mar 2024,Newspoll[165],Online,1223,37%,32%,13%,7%,—N/a,11%,—N/a,51%,49%
11–17 Mar 2024,Roy Morgan[166],Online,1710,37%,31.5%,12.5%,5.5%,—N/a,13.5%,—N/a,51.5%,48.5%
8–10 Mar 2024,Freshwater Strategy[167],Online,1051,39%,31%,14%,—N/a,—N/a,16%,—N/a,51%,49%
4–10 Mar 2024,Roy Morgan[168],Online,1714,38%,32%,13%,4%,—N/a,13%,—N/a,51.5%,48.5%
5–9 Mar 2024,Essential[53],Online,1126,35%,32%,11%,8%,2%,8%,5%,48%,47%
24 Feb – 5 Mar 2024,YouGov[169],Online,1539,37%,32%,15%,6%,—N/a,10%,—N/a,52%,48%
26 Feb – 3 Mar 2024,Roy Morgan[170],Online,1679,36.5%,34%,13.5%,3.5%,—N/a,12.5%,—N/a,53.5%,46.5%
,,,,,,,,,,,,
2 Mar 2024,Labor is re-elected in the 2024 Dunkley by-election,Labor is re-elected in the 2024 Dunkley by-election,Labor is re-elected in the 2024 Dunkley by-election,Labor is re-elected in the 2024 Dunkley by-election,Labor is re-elected in the 2024 Dunkley by-election,Labor is re-elected in the 2024 Dunkley by-election,Labor is re-elected in the 2024 Dunkley by-election,Labor is re-elected in the 2024 Dunkley by-election,Labor is re-elected in the 2024 Dunkley by-election,Labor is re-elected in the 2024 Dunkley by-election,Labor is re-elected in the 2024 Dunkley by-election,Labor is re-elected in the 2024 Dunkley by-election
21–25 Feb 2024,Essential[53],Online,1145,35%,30%,13%,7%,2%,8%,4%,47%,48%
19–25 Feb 2024,Roy Morgan[171],Online,1682,38%,31.5%,12%,5%,—N/a,13.5%,—N/a,50%,50%
21–24 Feb 2024,Resolve Strategic[172],Online,1603,37%,34%,11%,6%,1%,13%,—N/a,52%,48%
19–23 Feb 2024,Newspoll[173],Online,1245,36%,33%,12%,6%,—N/a,13%,—N/a,52%,48%
16–18 Feb 2024,Freshwater Strategy[174],Online,1049,38%,31%,14%,—N/a,—N/a,17%,—N/a,51%,49%
12–18 Feb 2024,Roy Morgan[175],Online,1706,37%,34%,13%,4%,—N/a,12%,—N/a,52.5%,47.5%
7–11 Feb 2024,Essential[53],Online,1148,34%,31%,14%,7%,1%,9%,5%,50%,46%
5–11 Feb 2024,Roy Morgan[176],Online,1699,37%,34.5%,12%,4.5%,—N/a,12%,—N/a,52%,48%
2–7 Feb 2024,YouGov[177],Online,1502,36%,32%,14%,8%,—N/a,10%,—N/a,52%,48%
30 Jan – 7 Feb 2024,RedBridge Group[178],Online,2040,38%,33%,13%,—N/a,—N/a,16%,—N/a,51.2%,48.8%
29 Jan – 4 Feb 2024,Roy Morgan[179],Online,1709,37%,33%,12%,5%,—N/a,13%,—N/a,53%,47%
31 Jan – 3 Feb 2024,Newspoll[180],Online,1245,36%,34%,12%,7%,—N/a,11%,—N/a,52%,48%
24–28 Jan 2024,Essential[53],Online,1201,34%,32%,13%,7%,2%,7%,5%,48%,46%
22–28 Jan 2024,Roy Morgan[181],Online,1688,37.5%,31%,13%,5.5%,—N/a,13%,—N/a,50.5%,49.5%
15–21 Jan 2024,Roy Morgan[182],Online,1675,36%,32.5%,12.5%,5%,—N/a,14%,—N/a,52.5%,47.5%
12–17 Jan 2024,YouGov[183],Online,1532,37%,32%,13%,7%,—N/a,11%,—N/a,52%,48%
8–14 Jan 2024,Roy Morgan[184],Online,1727,37%,31.5%,12%,4.5%,—N/a,15%,—N/a,51.5%,48.5%
10–11 Jan 2024,Freshwater Strategy[185][186][187],Online,1007,39%,31%,13%,—N/a,—N/a,16%,—N/a,50%,50%
2–7 Jan 2024,Roy Morgan[188],Online,1716,39%,29%,13%,5%,—N/a,14%,—N/a,49%,51%
