Date,Brand,Interview mode,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote[a],2pp vote[a]
16 Apr 2025,The second leaders' debate takes place,The second leaders' debate takes place,The second leaders' debate takes place,The second leaders' debate takes place,The second leaders' debate takes place,The second leaders' debate takes place,The second leaders' debate takes place,The second leaders' debate takes place,The second leaders' debate takes place,The second leaders' debate takes place,The second leaders' debate takes place,The second leaders' debate takes place
11–15 Apr 2025,YouGov[25],Online,1506,33%,33%,13%,7%,2%,12%,—N/a,53%,47%
9–14 Apr 2025,Essential[26],Online,2142,32%,31%,13%,9%,2%,9%,4%,50%,45%
9–13 Apr 2025,Resolve Strategic[27],Online,1642,34%,31%,13%,6%,—N/a,17%,—N/a,53.5%,46.5%
7–13 Apr 2025,Roy Morgan[28],Online,1708,33.5%,32%,14.5%,6%,1%,13%,—N/a,54.5%,45.5%
7–10 Apr 2025,Newspoll[29],Online,1271,35%,33%,12%,8%,—N/a,12%,—N/a,52%,48%
4–10 Apr 2025,YouGov[30],Online,1505,33.5%,32.0%,13.0%,8.5%,1.0%,12.0%,—N/a,52.5%,47.5%
,,,,,,,,,,,,
8 Apr 2025,The first leaders' debate takes place,The first leaders' debate takes place,The first leaders' debate takes place,The first leaders' debate takes place,The first leaders' debate takes place,The first leaders' debate takes place,The first leaders' debate takes place,The first leaders' debate takes place,The first leaders' debate takes place,The first leaders' debate takes place,The first leaders' debate takes place,The first leaders' debate takes place
31 Mar – 4 Apr 2025,Newspoll[31],Online,1250,36%,33%,12%,7%,—N/a,12%,—N/a,52%,48%
31 Mar – 4 Apr 2025,Roy Morgan[32],Online,1481,33%,32.5%,13.5%,6%,1.5%,13.5%,—N/a,53.5%,46.5%
28 Mar – 3 Apr 2025,YouGov[33],Online,1622,35%,30%,13%,7%,2%,13%,—N/a,51%,49%
28 Mar – 1 Apr 2025,Redbridge/Accent[34][35],Online,1006,36%,33%,12%,—N/a,—N/a,19%,—N/a,52%,48%
28–30 Mar 2025,Freshwater Strategy[36],Online,1059,39%,32%,12%,—N/a,—N/a,17%,—N/a,49%,51%
26–30 Mar 2025,Resolve Strategic[37],Online,3237,37%,29%,13%,7%,—N/a,14%,—N/a,50%,50%
26–30 Mar 2025,Essential[26],Online,1100,34%,30%,12%,9%,2%,8%,5%,48%,47%
24–30 Mar 2025,Roy Morgan[38],Online,1377,35%,32%,13%,5.5%,—N/a,14.5%,—N/a,53%,47%
27–29 Mar 2025,Newspoll[39],Online,1249,37%,33%,12%,6%,—N/a,12%,—N/a,51%,49%
,,,,,,,,,,,,
28 Mar 2025,The 2025 Australian federal election is called for 3 May,The 2025 Australian federal election is called for 3 May,The 2025 Australian federal election is called for 3 May,The 2025 Australian federal election is called for 3 May,The 2025 Australian federal election is called for 3 May,The 2025 Australian federal election is called for 3 May,The 2025 Australian federal election is called for 3 May,The 2025 Australian federal election is called for 3 May,The 2025 Australian federal election is called for 3 May,The 2025 Australian federal election is called for 3 May,The 2025 Australian federal election is called for 3 May,The 2025 Australian federal election is called for 3 May
27 Feb – 26 Mar 2025,YouGov MRP[40],Online,10217,35.5%,29.8%,13.2%,9.3%,—N/a,12.2%[e],—N/a,50.2%,49.8%
13–24 Mar 2025,Redbridge/Accent[41],Online,2039,38%,34%,11%,—N/a,—N/a,17%,—N/a,51%,49%
17–23 Mar 2025,Roy Morgan[42],Online,1683,35.5%,33.5%,12.5%,4%,—N/a,14.5%,—N/a,53%,47%
14–19 Mar 2025,YouGov[43],Online,1500,37%,31%,13%,7%,1%,11%,—N/a,50%,50%
12–16 Mar 2025,Essential[44],Online,2256,35%,29%,12%,8%,1%[f],9%,6%,47%,47%
10–16 Mar 2025,Roy Morgan[46],Online,2097,34%,32.5%,13.5%,5%,—N/a,15%,—N/a,54.5%,45.5%
13–15 Mar 2025,Freshwater Strategy[47],Online,1051,39%,31%,14%,—N/a,—N/a,16%,—N/a,49%,51%
7–13 Mar 2025,YouGov[48],Online,1526,36%,31%,13.5%,7.5%,1%,11%,—N/a,51%,49%
3–11 Mar 2025,Redbridge/Accent[49],Online,2007,37%,32%,12%,—N/a,—N/a,19%,—N/a,51%,49%
3–9 Mar 2025,Roy Morgan[50],Online,1719,37%,30%,13.5%,5%,—N/a,14.5%,—N/a,51.5%,48.5%
,,,,,,,,,,,,
3–7 Mar 2025,Newspoll[51],Online,1255,39%,32%,12%,7%,—N/a,10%,—N/a,49%,51%
28 Feb – 6 Mar 2025,YouGov[52],Online,1504,36%,31%,13%,7%,1%,12%,—N/a,51%,49%
26 Feb – 2 Mar 2025,Essential[53],Online,1150,35%,29%,13%,8%,1%[f],10%,5%,47%,48%
24 Feb – 2 Mar 2025,Roy Morgan[54],Online,1673,40%,28.5%,13.5%,4%,—N/a,14%,—N/a,49.5%,50.5%
21–27 Feb 2025,YouGov[55],Online,1501,37%,28%,14%,8%,1%,12%,—N/a,49%,51%
20–25 Feb 2025,RedBridge/Accent[56][g],Online,1002,41%,34%,12%,—N/a,—N/a,13%,—N/a,49.5%,50.5%
21–23 Feb 2025,Freshwater Strategy[57],Online,1038,41%,31%,13%,—N/a,—N/a,15%,—N/a,48%,52%
18–23 Feb 2025,Resolve Strategic[58],Online,1506,39%,25%,13%,9%,—N/a,13%,—N/a,45%,55%
17–23 Feb 2025,Roy Morgan[59],Online,1666,36.5%,31.5%,13.5%,5%,—N/a,13.5%,—N/a,51%,49%
12–16 Feb 2025,Essential[53],Online,1146,35%,30%,12%,9%,1%[f],9%,4%,48%,48%
10–16 Feb 2025,Roy Morgan[3],Online,1666,39.5%,28%,12.5%,5.5%,—N/a,14.5%,—N/a,48.5%,51.5%
10–14 Feb 2025,Newspoll[60],Online,1244,38%,31%,12%,7%,—N/a,12%,—N/a,49%,51%
22 Jan – 12 Feb 2025,YouGov MRP[61],Online,8732,37.4%,29.1%,12.7%,9.1%,—N/a,11.7%[h],—N/a,48.9%,51.1%
4–11 Feb 2025,RedBridge/Accent[62][i],Online,1002,43%,33%,12%,—N/a,—N/a,12%,—N/a,48%,52%
3–9 Feb 2025,Roy Morgan[63],Online,1688,40.5%,29%,11%,4%,—N/a,15.5%,—N/a,48.5%,51.5%
3–7 Feb 2025,RedBridge Group[64],Online,1013,40%,31%,11%,—N/a,—N/a,18%,—N/a,48.5%,51.5%
29 Jan – 3 Feb 2025,Essential[53],Online,1150,36%,30%,12%,8%,1%[f],9%,4%,47%,49%
27 Jan – 2 Feb 2025,Roy Morgan[65],Online,1694,38.5%,30%,11.5%,5.5%,—N/a,14.5%,—N/a,50%,50%
28 Jan – 1 Feb 2025,DemosAU[66],Online,1238,38%,33%,12%,7%,—N/a,10%,5%,50%,50%
20–26 Jan 2025,Roy Morgan[67],Online,1567,40.5%,29.5%,11.5%,6%,—N/a,12.5%,—N/a,48%,52%
20–24 Jan 2025,Newspoll[68],Online,1259,39%,31%,12%,7%,—N/a,11%,—N/a,49%,51%
15–21 Jan 2025,Resolve Strategic[69],Online,1616,38%,27%,13%,7%,—N/a,16%,—N/a,48%,52%
17–19 Jan 2025,Freshwater Strategy[70],Online,1063,40%,32%,13%,—N/a,—N/a,15%,—N/a,49%,51%
15–19 Jan 2025,Essential[53],Online,1132,37%,30%,12%,7%,2%[f],7%,5%,47%,48%
13–19 Jan 2025,Roy Morgan[71],Online,1564,42%,28.5%,13%,4%,—N/a,12.5%,—N/a,48%,52%
9–15 Jan 2025,YouGov[72],Online,1504,39%,32%,12%,7%,—N/a,10%,—N/a,49%,51%
6–12 Jan 2025,Roy Morgan[73],Online,1721,40.5%,30%,12.5%,4.5%,—N/a,12.5%,—N/a,48.5%,51.5%
30 Dec – 5 Jan 2025,Roy Morgan[74],Online,1446,40.5%,31%,12%,3.5%,—N/a,13%,—N/a,47%,53%
