Polling firm,Last date of polling[a],Link,CPC,LPC,NDP,BQ,PPC,GPC,Others[b],Margin of error[c],Sample size[d],Polling method[e],Lead
Pallas Data,"April 21, 2025",[35],37.9,42.5,8.5,5.5,2.1,2.5,1.0,±2.7 pp,1306,IVR,4.6
Liaison Strategies,"April 21, 2025",[36],37,43,9,6,2,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),6
Nanos Research,"April 21, 2025",[37],37.1,42.6,10.4,5.9,0.8,3.1,0.1,±2.7 pp,"1,308 (1/3)",telephone (rolling),5.5
Mainstreet Research,"April 21, 2025",[38],40,40,7,6,2,2,1,±2.5 pp,"1,485 (1/3)",IVR (rolling),0
Abacus Data,"April 21, 2025",[39],37,40,11,7,2,2,0,±2.3 pp,2000,online,3
Leger,"April 21, 2025",[40],39,43,8,6,2,2,1,±2.45 pp,1603,online,4
Innovative Research,"April 21, 2025",[28],41,36,11,7,—N/a,3,3,—N/a,"1,305 (0.3/1)",online,5
Angus Reid,"April 21, 2025",[41],39,44,7,7,—N/a,2,1,±1.5 pp,2459,online,5
Research Co.,"April 20, 2025",[42],38,43,8,6,1,2,1,±3.1 pp,1006,online,5
Liaison Strategies,"April 20, 2025",[43],37,43,9,6,2,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),6
Mainstreet Research,"April 20, 2025",[44],41,41,6,6,2,2,2,±2.7 pp,"1,295 (1/3)",IVR (rolling),0
Nanos Research,"April 20, 2025",[45],36.3,43.7,10.7,5.6,0.8,2.9,0.1,±2.7 pp,"1,289 (1/3)",telephone (rolling),7.4
Ekos,"April 20, 2025",[46],40.7,43.4,6.8,4.2,1.3,2.2,1.3,±2.5 pp,"1,672 (4/5)",IVR (rolling),2.7
Innovative Research,"April 20, 2025",[28],38,39,11,7,—N/a,3,3,—N/a,2311,online,1
Kolosowski Strategies,"April 19, 2025",[47],42,42,6,6,1,2,1,±3 pp,1237,online,0
Ipsos,"April 19, 2025",[48],38,41,12,5,2,2,0,±3.8 pp,1001,online,3
MQO Research,"April 19, 2025",[49],36,44,10,5,3,3,0,±2 pp,2383,online,8
Liaison Strategies,"April 19, 2025",[50],38,43,8,6,2,1,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),5
Mainstreet Research,"April 19, 2025",[51],43,39,6,6,3,2,1,±2.7 pp,"1,307 (1/3)",IVR (rolling),4
Nanos Research,"April 19, 2025",[52],37.0,43.2,10.5,5.8,0.8,2.7,0.1,±2.7 pp,"1,293 (1/3)",telephone (rolling),6.2
Pollara,"April 19, 2025",[53],36,44,8,7,2,2,1,±2.1 pp,2195,telephone/online,8
Liaison Strategies,"April 18, 2025",[54],39,44,7,6,1,1,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),5
Mainstreet Research,"April 18, 2025",[55],43,41,5,5,3,2,1,±2.9 pp,"1,124 (1/3)",IVR (rolling),2
,"April 17, 2025",Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate
Liaison Strategies,"April 17, 2025",[56],39,44,7,6,2,1,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),5
Nanos Research,"April 17, 2025",[57],37.1,45.4,8.3,5.6,0.7,2.9,0.1,±2.7 pp,"1,316 (1/3)",telephone (rolling),8.3
Mainstreet Research,"April 17, 2025",[58],41,42,7,6,2,2,1,±2.7 pp,"1,332 (1/3)",IVR (rolling),1
,"April 16, 2025",Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate
Ekos,"April 16, 2025",[59],34.8,44.5,10.1,4.5,2.4,3.4,0.4,±2.8 pp,"1,210 (0.01/1)",telephone/online,9.7
JL Partners,"April 16, 2025",[citation needed],37,39,10,7,3,2,0,±3.4 pp,1000,online,2
Liaison Strategies,"April 16, 2025",[60],41,44,6,6,2,1,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),3
Nanos Research,"April 16, 2025",[61],38.8,43.5,8.7,5.6,0.9,2.3,0.1,±2.7 pp,"1,351 (1/3)",telephone (rolling),4.7
Mainstreet Research,"April 16, 2025",[62],40,44,7,5,2,2,1,±2.7 pp,"1,326 (1/3)",IVR (rolling),4
Ekos,"April 16, 2025",[63],36.3,45.7,8.8,4.3,1.3,2.8,0.9,±2.3 pp,1782,IVR,9.4
Abacus Data,"April 15, 2025",[64],38,40,11,7,2,2,0,±2.9 pp,1200,online,2
Liaison Strategies,"April 15, 2025",[65],39,46,5,5,2,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),7
Nanos Research,"April 15, 2025",[66],37.3,44.7,8.3,6.2,1.1,2.2,0.1,±2.7 pp,"1,359 (1/3)",telephone (rolling),7.4
Mainstreet Research,"April 15, 2025",[67],42,44,6,4,1,2,1,±2.6 pp,"1,376 (1/3)",IVR (rolling),2
Liaison Strategies,"April 14, 2025",[68],39,44,6,5,2,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),5
Nanos Research,"April 14, 2025",[69],38.8,44.1,8.8,5.5,1.5,1.3,0.1,±2.7 pp,"1,367 (1/3)",telephone (rolling),5.3
Mainstreet Research,"April 14, 2025",[70],43,44,5,4,1,2,1,±2.6 pp,"1,378 (1/3)",IVR (rolling),1
Leger,"April 14, 2025",[71],38,43,8,6,2,3,1,±1.79 pp,3005,online,5
Innovative Research,"April 14, 2025",[72],35,40,12,6,—N/a,4,3,—N/a,1455,online,5
Liaison Strategies,"April 13, 2025",[73],38,44,7,6,2,3,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),6
Nanos Research,"April 13, 2025",[74],37.8,44.8,8.8,5.5,1.1,1.9,0.2,±2.7 pp,"1,345 (1/3)",telephone (rolling),7.0
Mainstreet Research,"April 13, 2025",[75],44,42,6,4,1,2,1,±2.6 pp,"1,388 (1/3)",text/online (rolling),2
Angus Reid,"April 13, 2025",[76],39,45,7,7,1,1,1,±2 pp,2216,online,6
Pollara,"April 13, 2025",[77],36,44,9,5,3,2,1,±2.1 pp,2166,telephone/online,8
Pallas Data,"April 12, 2025",[78],36.8,45.1,8.8,5.7,1.7,1.1,0.8,±2.7 pp,1282,IVR,8.3
MQO Research,"April 12, 2025",[79],35,44,12,4,1,4,0,±2.3 pp,2445,online,9
Liaison Strategies,"April 12, 2025",[80],37,45,7,6,2,3,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),8
Nanos Research,"April 12, 2025",[81],38.6,44.3,8.5,5.2,1.1,2.0,0.3,±2.7 pp,"1,300 (1/3)",telephone (rolling),5.7
Mainstreet Research,"April 12, 2025",[82],43,44,6,4,2,1,0,±2.6 pp,"1,370 (1/3)",text/online (rolling),1
Liaison Strategies,"April 11, 2025",[83],39,46,6,5,1,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),7
Nanos Research,"April 11, 2025",[84],37.1,43.3,9.5,5.8,1.1,2.8,0.5,±2.8 pp,"1,250 (1/3)",telephone (rolling),6.2
Mainstreet Research,"April 11, 2025",[85],40,45,7,4,2,2,1,±2.6 pp,"1,445 (1/3)",text/online (rolling),5
Ipsos,"April 10, 2025",[86],36,42,11,6,1,2,1,±3.8 pp,1000,online,6
Liaison Strategies,"April 10, 2025",[87],39,44,8,5,1,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),5
Nanos Research,"April 10, 2025",[88],37.8,43.6,8.7,5.6,1.7,2.4,0.3,±2.8 pp,"1,233 (1/3)",telephone (rolling),5.8
Mainstreet Research,"April 10, 2025",[89],40,45,6,5,2,2,1,±2.5 pp,"1,548 (1/3)",text/online (rolling),5
Abacus Data,"April 10, 2025",[90],38,42,9,6,2,2,1,±2.31 pp,"1,800 (1/2)",online,4
Ekos,"April 10, 2025",[91],36.3,49.3,6.7,3.8,0.9,2.0,1.1,±2.2 pp,1995,IVR,13.0
Deltapoll,"April 9, 2025",[92],37,41,9,7,2,3,0,—N/a,1005,online,4
Liaison Strategies,"April 9, 2025",[93],40,43,8,5,1,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),3
Nanos Research,"April 9, 2025",[94],38.1,43.0,8.9,5.7,1.5,2.6,0.3,±2.8 pp,"1,238 (1/3)",telephone (rolling),4.9
Mainstreet Research,"April 9, 2025",[95],39,46,6,4,2,1,2,±2.5 pp,"1,500 (1/3)",text/online (rolling),7
Liaison Strategies,"April 8, 2025",[96],38,45,8,5,1,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),7
Nanos Research,"April 8, 2025",[97],38.6,42.8,8.5,6.2,1.3,2.3,0.3,±2.8 pp,"1,239 (1/3)",telephone (rolling),4.2
Mainstreet Research,"April 8, 2025",[98],41,44,6,4,2,1,2,±2.7 pp,"1,289 (1/3)",text/online (rolling),3
Abacus Data,"April 8, 2025",[99],36,42,11,5,3,2,0,±2.1 pp,1900,online,6
Liaison Strategies,"April 7, 2025",[100],39,45,7,4,1,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),6
Nanos Research,"April 7, 2025",[101],38.1,42.7,8.1,6.6,1.4,2.8,0.4,±2.8 pp,"1,256 (1/3)",telephone (rolling),4.6
Mainstreet Research,"April 7, 2025",[102],40,45,8,2,1,1,2,±2.9 pp,"1,148 (1/3)",text/online (rolling),5
Angus Reid,"April 7, 2025",[103],36,46,7,7,1,2,1,±2 pp,2184,online,10
Innovative Research,"April 7, 2025",[104],35,41,12,6,—N/a,3,3,—N/a,1341,online,6
Empirical Intelligence,"April 7, 2025",[105],36,44,12,5,—N/a,3,1,±3.4 pp,1001,online,8
Research Co.,"April 6, 2025",[106],36,44,8,5,2,3,1,±3.1 pp,1007,online,8
Leger,"April 6, 2025",[107],37,44,8,5,1,3,1,±2.43 pp,1631,online,7
Liaison Strategies,"April 6, 2025",[108],39,45,7,4,2,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),6
Nanos Research,"April 6, 2025",[109],37.7,42.8,7.9,6.7,1.6,2.8,0.4,±2.8 pp,"1,264 (1/3)",telephone (rolling),5.1
Mainstreet Research,"April 6, 2025",[110],40,44,8,3,3,2,1,±2.8 pp,"1,240 (1/3)",text/online (rolling),4
MQO Research,"April 6, 2025",[111],34,44,11,5,2,4,0,±2.5 pp,1859,online,10
Pollara,"April 6, 2025",[112],36,44,9,6,2,2,1,±2.1 pp,2132,telephone/online,8
Pallas Data,"April 5, 2025",[113],37.8,44.4,8.0,5.9,1.1,1.7,1.0,±2.7 pp,1320,IVR,6.6
Liaison Strategies,"April 5, 2025",[114],39,44,7,4,2,2,2,±2.53 pp,"1,500 (1/3)",IVR (rolling),5
Nanos Research,"April 5, 2025",[115],37.0,43.4,8.2,6.0,1.9,3.3,0.2,±2.8 pp,"1,270 (1/3)",telephone (rolling),6.4
Mainstreet Research,"April 5, 2025",[116],40,42,8,4,2,2,1,±2.6 pp,"1,388 (1/3)",text/online (rolling),2
Kolosowski Strategies,"April 4, 2025",[117],41,39,11,6,1,2,0,±3 pp,1448,online,2
Liaison Strategies,"April 4, 2025",[118],38,46,6,4,2,2,2,±2.53 pp,"1,500 (1/3)",IVR (rolling),8
Nanos Research,"April 4, 2025",[119],34.9,45.9,9.2,5.2,1.4,2.9,0.5,±2.8 pp,"1,248 (1/3)",telephone (rolling),11.0
Mainstreet Research,"April 4, 2025",[120],40,43,6,6,2,1,1,±2.4 pp,"1,625 (1/3)",text/online (rolling),3
Ipsos,"April 3, 2025",[121],34,46,10,6,1,3,0,±3.8 pp,1000,online,12
Liaison Strategies,"April 3, 2025",[122],38,46,6,4,3,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),8
Nanos Research,"April 3, 2025",[123],35.9,45.5,9.4,5.2,1.4,2.2,0.4,±2.8 pp,"1,241 (1/3)",telephone (rolling),9.6
Mainstreet Research,"April 3, 2025",[124],40,43,7,6,2,1,1,±2.4 pp,"1,665 (1/3)",text/online (rolling),3
Abacus Data,"April 3, 2025",[125],39,39,11,6,2,3,0,±2.3 pp,1800,online,0
Ekos,"April 3, 2025",[126],34.4,49.0,7.0,4.5,1.2,2.8,1.2,±2.45 pp,"1,685 (4/5)",IVR (rolling),14.6
Liaison Strategies,"April 2, 2025",[127],37,45,6,5,3,2,1,±2.53 pp,"1,500 (1/3)",,8
Nanos Research,"April 2, 2025",[128],36.7,45.8,8.8,5.5,1.1,1.7,0.3,±2.8 pp,"1,248 (1/3)",telephone (rolling),9.1
Mainstreet Research,"April 2, 2025",[129],40,44,7,6,2,1,0,±2.3 pp,"1,756 (1/3)",text/online (rolling),4
Ekos,"April 2, 2025",[130],32.7,47.1,10.2,4.4,2.8,2.1,0.7,±2.59 pp,"1,513 (0.01/1)",telephone/online,14.4
Liaison Strategies,"April 1, 2025",[131],39,44,6,5,3,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),5
Nanos Research,"April 1, 2025",[132],37.2,45.1,9.2,5.3,1.1,1.6,0.4,±2.8 pp,"1,256 (1/3)",telephone (rolling),7.9
Mainstreet Research,"April 1, 2025",[133],40,43,9,5,2,1,0,±2.4 pp,"1,651 (1/3)",text/online (rolling),3
Pallas Data,"March 31, 2025",[134],35.7,44.6,8.5,5.6,2.2,2.8,0.6,±2.8 pp,1267,IVR,8.9
Liaison Strategies,"March 31, 2025",[135],38,44,6,5,3,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),6
Nanos Research,"March 31, 2025",[136],36.6,44.7,10.1,5.6,1.3,1.6,0.3,±2.8 pp,"1,262 (1/3)",telephone (rolling),8.1
Mainstreet Research,"March 31, 2025",[137],41,44,7,5,2,1,0,±2.4 pp,"1,628 (1/3)",text/online (rolling),3
Angus Reid,"March 31, 2025",[138],38,46,7,7,1,1,1,±2 pp,2131,online,8
Innovative Research,"March 31, 2025",[139],38,37,12,6,2,3,1,—N/a,1742,online,1
Leger,"March 31, 2025",[140],38,44,7,5,2,3,1,±1.79 pp,3002,online,6
Liaison Strategies,"March 30, 2025",[141],38,43,7,5,3,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),5
Nanos Research,"March 30, 2025",[142],36.1,43.6,10.5,5.3,1.9,2.4,0.2,±2.8 pp,"1,264 (1/3)",telephone (rolling),7.5
Mainstreet Research,"March 30, 2025",[143],40,43,6,5,3,2,1,±2.5 pp,"1,589 (1/3)",text/online (rolling),3
Ekos,"March 30, 2025",[144],35.6,47.5,6.3,4.8,2.1,2.4,1.3,±2.5 pp,1517,IVR,11.9
Pollara,"March 30, 2025",[145],35,44,10,5,2,3,1,—N/a,1734,telephone/online,9
Liaison Strategies,"March 29, 2025",[146],38,42,7,6,3,3,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),4
Nanos Research,"March 29, 2025",[147],37.0,41.9,10.6,5.3,1.9,2.6,0.7,±2.7 pp,1285,telephone,4.9
Mainstreet Research,"March 29, 2025",[148],40,42,7,5,3,2,1,±2.4 pp,"1,704 (1/3)",text/online (rolling),2
MQO Research,"March 29, 2025",[149],34,45,11,4,2,4,1,±2.4 pp,1938,online,11
Liaison Strategies,"March 28, 2025",[150],36,44,8,6,2,3,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),8
Mainstreet Research,"March 28, 2025",[151],40,43,6,5,2,2,1,±2.4 pp,"1,621 (1/3)",text/online (rolling),3
Liaison Strategies,"March 27, 2025",[152],38,43,7,6,2,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),5
Mainstreet Research,"March 27, 2025",[153],41,44,7,5,1,2,1,±2.4 pp,"1,657 (1/3)",text/online (rolling),3
Abacus Data,"March 27, 2025",[154],39,39,11,5,3,3,0,±2.3 pp,"1,800 (1/2)",online,0
Ipsos,"March 26, 2025",[155],38,44,9,5,1,2,1,±3.1 pp,1500,telephone/online,6
Liaison Strategies,"March 26, 2025",[156],37,44,6,6,3,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),7
Mainstreet Research,"March 26, 2025",[157],41,45,6,5,1,1,1,±2.6 pp,"1,380 (1/3)",text/online (rolling),4
Liaison Strategies,"March 25, 2025",[158],38,42,7,6,3,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),4
Mainstreet Research,"March 25, 2025",[159],40,44,7,5,1,2,1,±2.8 pp,"1,230 (1/3)",text/online (rolling),4
Ekos,"March 25, 2025",[160],34.6,49.6,7.2,3.9,1.5,1.6,1.6,±2.4 pp,1621,IVR,15.0
Abacus Data,"March 25, 2025",[161],37,38,11,6,3,4,1,±2.2 pp,2000,online,1
Research Co.,"March 24, 2025",[162],37,41,9,7,2,3,1,±3.1 pp,1003,online,4
Liaison Strategies,"March 24, 2025",[163],37,42,7,6,4,3,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),5
Mainstreet Research,"March 24, 2025",[164],39,44,7,6,2,2,1,±2.3 pp,"1,745 (1/3)",text/online (rolling),5
Angus Reid,"March 24, 2025",[165],38,46,7,6,1,1,0,±2 pp,2400,online,8
,,,,,,,,,,,,,
