Polling firm,Last date of polling[1],Link,LPC,CPC,NDP,BQ,GPC,PPC,Margin of error[2],Sample size[3],Polling method[4],Lead
EKOS,"October 15, 2019",[27],31.2,31.8,18.4,6.4,6.8,3.4,±2.3 pp,1904,telephone/IVR,0.6
Mainstreet Research,"October 14, 2019",[28],30.7,31.1,17.2,8.1,8.5,3.6,±2.15 pp,"2,076 (1/3)",IVR (rolling),0.4
Ipsos,"October 13, 2019",[29],30.0,32.0,20.0,7.0,8.0,2.0,±2.4 pp,2204,online/telephone,2.0
Mainstreet Research,"October 13, 2019",[30],30.7,32.3,16.6,7.8,8.3,3.4,±2.11 pp,2150,IVR (rolling),1.6
Nanos Research,"October 13, 2019",[31],32.3,32.1,19.2,5.9,9.3,1.0,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.2
Nanos Research,"October 12, 2019",[32],31.5,32.3,19.7,6.2,9.0,1.1,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.8
Nanos Research,"October 11, 2019",[33],33.2,32.1,18.1,5.9,8.9,1.4,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.1
Abacus Data,"October 10, 2019",[34],32.0,32.0,18.0,6.0,9.0,2.0,±1.9 pp,3000,online,0.0
Campaign Research,"October 10, 2019",[35],29.0,31.0,19.0,7.0,10.0,3.0,±1.54 pp,4037,online,2.0
Mainstreet Research,"October 10, 2019",[36],28.9,31.7,16.6,7.6,9.4,4.2,±2 pp,"2,274 (1/3)",IVR (rolling),2.8
Nanos Research,"October 10, 2019",[37],35.4,33.2,15.3,5.3,8.8,1.4,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.2
Innovative Research,"October 10, 2019",[38],35.0,31.0,15.0,6.0,10.0,3.0,,2394,online,4.0
Angus Reid,"October 10, 2019",[39],29.0,34.0,17.0,7.0,9.0,3.0,±1.8 pp,3031,online,5.0
EKOS,"October 10, 2019",[40],30.5,31.7,13.1,5.4,12.8,4.7,±2.2 pp,1947,telephone/IVR,1.2
DART/Maru,"October 9, 2019",[41],28.0,33.0,20.0,9.0,7.0,2.0,±3.1 pp,1510,online,5.0
Mainstreet Research,"October 9, 2019",[42],30.2,32.2,15.1,7.2,9.8,4.0,±2.04 pp,"2,309 (1/3)",IVR (rolling),2.0
Nanos Research,"October 9, 2019",[43],36.9,33.2,14.1,5.1,8.2,1.6,±2.8 pp,"1,200 (1/3)",telephone (rolling),3.7
Leger,"October 8, 2019",[44],31.0,31.0,18.0,7.0,11.0,3.0,±2.11 pp,2150,online,0.0
Forum Research,"October 8, 2019",[45],28.0,35.0,13.0,7.0,12.0,3.0,±3 pp,1013,IVR,7.0
Mainstreet Research,"October 8, 2019",[46],31.7,32.0,14.3,6.1,10.3,4.2,±2 pp,"2,445 (1/3)",IVR (rolling),0.3
Nanos Research,"October 8, 2019",[47],35.6,34.8,13.4,5.2,9.1,1.2,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.8
Mainstreet Research,"October 7, 2019",[48],32.6,33.1,13.2,6.5,10.1,3.4,±2.11 pp,"2,108 (1/3)",IVR (rolling),0.5
Nanos Research,"October 7, 2019",[49],34.6,34.8,13.5,5.1,9.8,1.1,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.2
Ipsos,"October 7, 2019",[50],35.0,34.0,15.0,7.0,7.0,2.0,±2.9 pp,1502,online,1.0
Innovative Research,"October 7, 2019",[51],35.0,33.0,13.0,5.0,10.0,4.0,,2835,online,2.0
Mainstreet Research,"October 6, 2019",[52],33.1,33.3,13.3,6.3,9.7,2.9,±2.13 pp,2108,IVR (rolling),0.2
Nanos Research,"October 6, 2019",[53],34.3,33.4,15.0,5.1,9.6,1.5,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.9
Abacus Data,"October 5, 2019",[54],35.0,33.0,16.0,5.0,8.0,1.0,±2 pp,1556,online,2.0
Nanos Research,"October 5, 2019",[55],36.7,32.7,15.0,4.9,8.0,1.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),4.0
Nanos Research,"October 4, 2019",[56],36.2,32.6,15.6,5.8,7.4,1.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),3.6
Mainstreet Research,"October 3, 2019",[57],34.3,34.8,11.4,5.8,9.1,3.2,±2.07 pp,"2,207 (1/3)",IVR (rolling),0.5
Nanos Research,"October 3, 2019",[58],36.3,34.3,13.8,5.9,8.2,1.2,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.0
Campaign Research,"October 2, 2019",[59],32.0,34.0,14.0,5.0,11.0,3.0,±1.4 pp,4755,online,2.0
Mainstreet Research,"October 2, 2019",[60],33.4,36.4,11.9,5.7,9.0,2.5,±2.07 pp,"2,234 (1/3)",IVR (rolling),3.0
Nanos Research,"October 2, 2019",[61],32.9,35.2,14.9,5.5,9.9,1.4,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.3
Forum Research,"October 1, 2019",[62],34.0,31.0,12.0,6.0,12.0,4.0,±3 pp,1853,IVR,3.0
Mainstreet Research,"October 1, 2019",[63],33.5,36.0,11.6,5.3,10.0,2.8,±2.06 pp,"2,259 (1/3)",IVR (rolling),2.5
Nanos Research,"October 1, 2019",[64],34.2,33.9,15.2,4.5,10.2,1.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.3
Mainstreet Research,"September 30, 2019",[65],33.3,36.1,11.6,5.3,10.0,2.9,±2.1 pp,"2,183 (1/3)",IVR (rolling),2.8
Nanos Research,"September 30, 2019",[66],32.2,34.5,14.3,4.4,11.1,3.0,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.3
Leger,"September 30, 2019",[67],34.0,34.0,14.0,5.0,11.0,2.0,±2.48 pp,1558,online,0.0
Angus Reid,"September 30, 2019",[68],30.0,37.0,14.0,7.0,8.0,3.0,±3 pp,1522,online,7.0
Ipsos,"September 30, 2019",[69],34.0,37.0,15.0,5.0,7.0,2.0,±2.9 pp,1489,online,3.0
Mainstreet Research,"September 29, 2019",[70],34.4,34.1,10.9,5.6,10.5,3.4,±2.12 pp,"2,140 (1/3)",IVR (rolling),0.3
Nanos Research,"September 29, 2019",[71],32.7,34.0,13.2,4.1,12.6,2.5,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.3
EKOS,"September 29, 2019",[72],33.4,31.1,11.4,3.0,13.4,5.1,±2.5 pp,1492,telephone/IVR,2.3
Mainstreet Research,"September 28, 2019",[73],34.0,33.7,11.7,5.8,10.1,3.7,±2.06 pp,"2,270 (2/3)",IVR (rolling),0.3
Nanos Research,"September 28, 2019",[74],32.5,34.2,13.0,4.6,12.6,2.1,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.7
Nanos Research,"September 27, 2019",[75],32.6,34.1,14.4,3.8,13.2,1.3,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.5
Research Co.,"September 26, 2019",[76],36.0,33.0,15.0,5.0,9.0,2.0,±3.1 pp,1000,online,3.0
Mainstreet Research,"September 26, 2019",[77],33.4,35.6,10.7,5.6,9.7,3.7,±1.98 pp,"2,436 (1/3)",IVR (rolling),2.2
Nanos Research,"September 26, 2019",[78],34.4,33.7,15.0,4.4,10.5,1.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.7
Abacus Data,"September 26, 2019",[79],35.0,33.0,15.0,5.0,10.0,2.0,±2.3 pp,1975,online,2.0
Mainstreet Research,"September 25, 2019",[80],34.4,35.8,10.7,5.5,9.2,3.4,±2.1 pp,"2,425 (1/3)",IVR (rolling),1.4
Nanos Research,"September 25, 2019",[81],35.5,33.6,14.5,4.7,9.5,2.0,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.9
Innovative Research,"September 25, 2019",[82],35.0,31.0,14.0,5.0,10.0,5.0,,2302,online,4.0
Mainstreet Research,"September 24, 2019",[83],35.2,35.5,10.8,5.2,9.3,2.9,±2.1 pp,"2,389 (1/3)",IVR (rolling),0.3
Nanos Research,"September 24, 2019",[84],35.3,35.4,12.7,5.5,8.8,2.1,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.1
Leger,"September 24, 2019",[85],34.0,33.0,13.0,5.0,11.0,4.0,±2.11 pp,2153,online,1.0
Innovative Research,"September 24, 2019",[86],35.0,34.0,12.0,5.0,10.0,4.0,,2496,online,1.0
Mainstreet Research,"September 23, 2019",[87],34.4,35.9,11.2,4.8,9.6,,±2.03 pp,"2,333 (1/3)",IVR (rolling),1.5
Nanos Research,"September 23, 2019",[88],35.1,33.5,12.9,5.7,10.1,2.4,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.6
Angus Reid,"September 23, 2019",[89],30.0,35.0,15.0,6.0,11.0,3.0,±2.5 pp,1523,online,5.0
Ipsos,"September 23, 2019",[90],32.0,36.0,15.0,4.0,11.0,2.0,±2.9 pp,1500,online,4.0
Mainstreet Research,"September 22, 2019",[91],33.7,35.8,,,,,±2.1 pp,"2,168 (1/3)",IVR (rolling),2.1
Nanos Research,"September 22, 2019",[92],33.1,34.3,12.8,5.8,10.6,2.9,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.2
EKOS,"September 22, 2019",[93],32.0,35.3,10.9,4.9,10.3,4.1,±2.8 pp,1272,IVR,3.3
Abacus Data,"September 22, 2019",[94],32.0,34.0,15.0,4.0,10.0,3.0,±2.3 pp,1929,online,2.0
Mainstreet Research,"September 21, 2019",[95],33.9,34.8,11.4,4.9,10.7,3.6,±2.13 pp,"2,124 (1/3)",IVR (rolling),0.9
Forum Research,"September 21, 2019",[96],33.0,33.0,11.0,6.0,11.0,5.0,±3 pp,2449,IVR,0.0
Nanos Research,"September 21, 2019",[97],32.9,35.5,14.0,5.3,9.5,2.2,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.6
DART/Maru,"September 20, 2019",[98],30.0,37.0,15.0,6.0,8.0,3.0,±2.9 pp,1520,online,7.0
Mainstreet Research,"September 20, 2019",[99],35.9,34.2,10.9,4.8,10.4,3.1,±2.14 pp,"2,087 (1/3)",IVR (rolling),1.7
Nanos Research,"September 20, 2019",[100],32.0,36.8,13.7,5.4,9.0,2.4,±2.8 pp,"1,200 (1/3)",telephone (rolling),4.8
Mainstreet Research,"September 19, 2019",[101],36.8,34.2,10.1,4.7,9.8,3.7,±2.14 pp,"2,087 (1/3)",IVR (rolling),2.6
Nanos Research,"September 19, 2019",[102],34.2,37.4,12.8,3.5,9.3,2.4,±2.8 pp,"1,200 (1/3)",telephone (rolling),3.2
Mainstreet Research,"September 18, 2019",[103],37.2,34.4,9.8,4.4,10.1,3.3,±2.21 pp,"1,935 (2/3)",IVR (rolling),2.8
Nanos Research,"September 18, 2019",[104],35.0,37.8,11.8,4.0,7.7,2.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.8
Nanos Research,"September 17, 2019",[105],35.5,37.2,13.6,4.0,7.0,1.7,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.7
Leger,"September 17, 2019",[106],34.0,33.0,12.0,5.0,11.0,4.0,±2.45 pp,1598,online,1.0
Mainstreet Research,"September 16, 2019",[107],36.8,34.8,9.7,4.5,9.4,3.8,±2.23 pp,"1,935 (1/3)",IVR (rolling),2.0
Nanos Research,"September 16, 2019",[108],34.9,35.9,15.4,4.7,6.5,1.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.0
Angus Reid,"September 16, 2019",[109],33.0,36.0,13.0,5.0,9.0,4.0,±2.0 pp,2154,online,3.0
Mainstreet Research,"September 15, 2019",[110][111],36.5,35.0,9.6,4.3,9.9,3.5,±2.23 pp,1935,IVR (rolling),1.5
Nanos Research,"September 15, 2019",[112],34.0,34.4,16.4,4.4,7.8,2.3,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.4
Innovative Research,"September 15, 2019",[113],35.0,32.0,14.0,4.0,11.0,4.0,,1622,online,3.0
Nanos Research,"September 14, 2019",[114],35.2,32.3,16.6,3.8,9.6,2.0,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.9
Ipsos,"September 13, 2019",[115],35.0,35.0,14.0,4.0,9.0,2.0,±2.2 pp,2562,online/telephone,0.0
Nanos Research,"September 13, 2019",[116],35.4,32.8,15.7,3.6,9.5,2.4,±2.8 pp,1200,telephone (rolling),2.6
DART/Maru,"September 11, 2019",[117],32.0,35.0,15.0,6.0,8.0,2.0,±2.9 pp,1517,online,3.0
Forum Research,"September 11, 2019",[118],32.4,36.3,8.6,4.1,11.6,4.9,±3 pp,1001,IVR,3.9
