Polling firm,Last date of polling,Source,CPC,LPC,NDP,BQ,GPC,Unnamed: 8_level_0
Nanos Research,"September 18, 2008",PDF,39.0,28.0,18.0,7,7,
Harris-Decima,"September 18, 2008",PDF,38.0,25.0,15.0,8,12,
Nanos Research,"September 17, 2008",PDF,39.0,30.0,18.0,7,6,
Harris-Decima,"September 17, 2008",PDF,36.0,27.0,16.0,8,11,
EKOS Research Associates,"September 17, 2008",HTML,38.0,24.0,18.0,8,12,
Nanos Research,"September 16, 2008",PDF,38.0,31.0,17.0,7,7,
Harris-Decima,"September 16, 2008",PDF,38.0,28.0,15.0,8,10,
EKOS Research Associates,"September 16, 2008",HTML,38.0,24.0,19.0,8,11,
Nanos Research,"September 15, 2008",PDF,38.0,31.0,17.0,6,8,
Harris-Decima,"September 15, 2008",PDF,38.0,27.0,16.0,8,10,
EKOS Research Associates,"September 15, 2008",HTML,38.0,23.0,19.0,9,11,
Segma,"September 15, 2008",PDF,42.0,23.0,16.0,7,10,
Nanos Research,"September 14, 2008",PDF,37.0,31.0,18.0,6,9,
Harris-Decima,"September 14, 2008",PDF,38.0,27.0,16.0,8,9,
EKOS Research Associates,"September 14, 2008",HTML,35.0,25.0,19.0,9,11,
Ipsos Reid,"September 13, 2008",HTML,38.0,29.0,13.0,8,11,
Harris-Decima,"September 13, 2008",PDF,40.0,26.0,15.0,8,9,
Nanos Research,"September 13, 2008",PDF,38.0,30.0,17.0,6,9,
Angus Reid Strategies,"September 12, 2008",PDF,39.0,23.0,18.0,9,10,
Nanos Research,"September 12, 2008",PDF,38.0,30.0,15.0,9,9,
EKOS Research Associates,"September 11, 2008",HTML,36.0,26.0,19.0,8,11,
Ipsos Reid,"September 11, 2008",HTML,38.0,29.0,13.0,8,11,
Nanos Research,"September 11, 2008",HTML,38.0,31.0,14.0,9,9,
Harris-Decima,"September 11, 2008",HTML,41.0,26.0,14.0,8,9,
Nanos Research,"September 10, 2008",HTML,37.0,32.0,13.0,9,9,
EKOS Research Associates,"September 9, 2008",HTML,37.0,26.0,19.0,8,10,
Angus Reid Strategies,"September 9, 2008",PDF,38.0,24.0,21.0,9,7,
Harris-Decima,"September 8, 2008",PDF[permanent dead link],36.0,28.0,15.0,9,9,
Segma,"September 6, 2008",PDF,43.0,25.0,15.0,8,7,
EKOS Research Associates,"September 4, 2008",HTML,38.0,26.0,15.0,10,11,
EKOS Research Associates,"September 3, 2008",HTML,37.0,24.0,19.0,6,10,
Environics,"September 2, 2008",HTML,38.0,28.0,19.0,8,7,
Strategic Counsel,"August 31, 2008",PDF Archived 2008-09-12 at the Wayback Machine,37.0,29.0,17.0,8,9,
Ipsos Reid,"August 28, 2008",HTML,34.0,31.0,14.0,-,10,
Angus Reid Strategies,"August 28, 2008",PDF,36.0,28.0,18.0,9,8,
Ipsos Reid,"August 28, 2008",HTML,33.0,31.0,16.0,9,10,
Nanos Research,"August 27, 2008",PDF,33.0,35.0,17.0,8,7,
Harris-Decima,"August 24, 2008",PDF,33.0,34.0,15.0,7,9,
Ipsos Reid,"August 14, 2008",HTML,36.0,30.0,14.0,9,10,
Harris-Decima,"August 10, 2008",PDF,32.0,33.0,15.0,6,13,
Ipsos Reid,"July 31, 2008",HTML,34.0,30.0,14.0,9,11,
Angus Reid Strategies,"July 30, 2008",PDF,35.0,30.0,17.0,9,8,
Ipsos Reid,"July 10, 2008",HTML,33.0,32.0,13.0,11,10,
Environics,"July 5, 2008",HTML,35.0,30.0,17.0,10,8,
Harris-Decima,"June 29, 2008",PDF,30.0,31.0,16.0,10,12,
Angus Reid Strategies,"June 24, 2008",PDF,33.0,30.0,19.0,9,7,
Strategic Counsel,"June 9, 2008",HTML,32.0,30.0,18.0,10,10,
Harris-Decima,"June 8, 2008",HTML,32.0,31.0,15.0,6,12,
Ipsos-Reid,"May 29, 2008",HTML,36.0,29.0,14.0,9,11,
Angus Reid Strategies,"May 19, 2008",HTML,34.0,27.0,18.0,11,8,
Nanos Research,"May 11, 2008",PDF,33.0,34.0,15.0,11,8,
Strategic Counsel,"May 11, 2008",HTML,34.0,31.0,16.0,9,10,
Ipsos-Reid,"May 8, 2008",HTML,35.0,32.0,14.0,-,9,
Ipsos-Reid,"May 1, 2008",HTML[dead link],34.0,29.0,17.0,-,11,
Angus Reid Strategies,"April 23, 2008",PDF,33.0,30.0,20.0,8,8,
Harris-Decima,"April 21, 2008",HTML,32.0,33.0,14.0,-,-,
Harris-Decima,"April 13, 2008",HTML,30.0,33.0,16.0,9,11,
Strategic Counsel,"April 13, 2008",HTML,36.0,30.0,15.0,8,10,
Ipsos-Reid,"April 10, 2008",HTML,35.0,30.0,16.0,-,10,
Segma,"April 9, 2008",HTML,36.0,30.0,15.0,9,9,
Nanos Research,"April 9, 2008",PDF,36.0,36.0,14.0,8,6,
Environics,"April 7, 2008",HTML,35.0,28.0,17.0,13,7,
Harris-Decima,"April 6, 2008",HTML[permanent dead link],31.0,32.0,15.0,9,12,
Harris-Decima,"March 30, 2008",HTML[dead link],32.0,30.0,13.0,9,12,
Angus Reid Strategies,"March 28, 2008",HTML,36.0,26.0,18.0,9,9,
Ipsos-Reid,"March 20, 2008",HTML,35.0,33.0,13.0,10,8,
Harris-Decima,"March 16, 2008",HTML,32.0,32.0,17.0,9,8,
Strategic Counsel,"March 16, 2008",HTML,38.0,27.0,14.0,10,12,
Ipsos-Reid,"March 6, 2008",HTML[permanent dead link],35.0,31.0,15.0,9,9,
Harris-Decima,"March 2, 2008",HTML[permanent dead link],31.0,30.0,17.0,8,13,
Angus Reid Strategies,"March 2, 2008",HTML,34.0,28.0,18.0,10,9,
Nanos Research,"February 20, 2008",PDF,34.0,34.0,14.0,10,8,
Angus Reid Strategies,"February 18, 2008",HTML[permanent dead link],34.0,31.0,17.0,9,8,
Harris-Decima,"February 17, 2008",PDF,35.0,33.0,13.0,8,9,
Strategic Counsel,"February 17, 2008",HTML,39.0,27.0,12.0,10,12,
Ipsos-Reid,"February 14, 2008",HTML,36.0,29.0,13.0,9,10,
Léger Marketing,"February 10, 2008",PDF,37.0,32.0,16.0,8,7,
Nanos Research,"February 4, 2008",PDF,31.0,33.0,19.0,10,8,
UniMarketing,"January 31, 2008",HTML,33.0,33.0,18.0,8,8,
Harris-Decima,"January 27, 2008",HTML[permanent dead link],29.0,32.0,16.0,9,12,
Ipsos-Reid,"January 24, 2008",HTML[dead link],37.0,29.0,14.0,-,10,
Strategic Counsel,"January 13, 2008",PDF,36.0,30.0,14.0,11,10,
Ipsos-Reid,"January 10, 2008",HTML,33.0,35.0,13.0,9,9,
Harris-Decima,"January 6, 2008",PDF,37.0,30.0,13.0,10,9,
Environics,"January 3, 2008",HTML,36.0,22.0,17.0,13,7,
Ipsos-Reid,"December 20, 2007",HTML,35.0,33.0,15.0,8,8,
Harris-Decima,"December 17, 2007",HTML,30.0,32.0,15.0,11,12,
Angus Reid Strategies,"December 14, 2007",PDF,33.0,28.0,17.0,10,10,
Strategic Counsel,"December 9, 2007",PDF,32.0,29.0,16.0,10,13,
Ipsos-Reid,"December 6, 2007",HTML,35.0,29.0,16.0,10,9,
Harris-Decima,"December 2, 2007",HTML,36.0,28.0,17.0,8,11,
Ipsos-Reid,"November 22, 2007",HTML,39.0,29.0,15.0,8,8,
Harris-Decima,"November 19, 2007",PDF,36.0,28.0,17.0,8,9,
Strategic Counsel,"November 13, 2007",PDF,34.0,31.0,16.0,11,8,
Harris-Decima,"November 12, 2007",HTML[dead link],33.0,29.0,17.0,8,12,
Strategic Counsel,"November 11, 2007",PDF,32.0,32.0,12.0,11,13,
SES Research,"November 8, 2007",PDF,35.0,34.0,17.0,9,6,
Ipsos-Reid,"November 8, 2007",HTML,42.0,28.0,15.0,8,7,
Ipsos-Reid,"November 1, 2007",HTML,39.0,28.0,13.0,12,7,
Harris-Decima,"October 29, 2007",HTML,33.0,29.0,17.0,9,10,
Ipsos-Reid,"October 25, 2007",HTML,39.0,27.0,17.0,9,8,
Unimarketing,"October 18, 2007",HTML,36.0,25.0,19.0,10,9,
Ipsos-Reid,"October 18, 2007",HTML,40.0,27.0,14.0,9,8,
Angus Reid Strategies,"October 17, 2007",HTML,34.0,29.0,17.0,9,9,
Environics,"October 14, 2007",HTML,33.0,29.0,19.0,7,11,
Strategic Counsel,"October 14, 2007",HTML,34.0,29.0,15.0,10,12,
Ipsos-Reid,"October 13, 2007",HTML,40.0,28.0,16.0,8,7,
Harris-Decima,"October 9, 2007",HTML,35.0,28.0,17.0,8,10,
Harris-Decima,"October 3, 2007",HTML,33.0,31.0,16.0,7,10,
Harris-Decima,"September 18, 2007",HTML,32.0,29.0,17.0,5,14,
Angus Reid Strategies,"August 23, 2007",HTML,33.0,29.0,19.0,9,9,
SES Research,"August 14, 2007",PDF,36.0,33.0,13.0,10,8,
Strategic Counsel,"August 12, 2007",PDF,33.0,33.0,17.0,10,8,
Ipsos-Reid,"July 27, 2007",HTML,34.0,32.0,17.0,8,8,
Angus Reid Strategies,"July 18, 2007",PDF,33.0,28.0,19.0,9,8,
Strategic Counsel,"July 15, 2007",HTML,31.0,31.0,17.0,10,10,
Environics,"June 30, 2007",HTML,37.0,28.0,17.0,7,11,
Angus Reid Strategies,"June 18, 2007",PDF,34.0,27.0,19.0,10,8,
Decima,"June 11, 2007",HTML,29.0,32.0,18.0,9,9,
Ipsos Reid,"May 31, 2007",HTML,34.0,31.0,16.0,10,9,
Léger Marketing,"May 27, 2007",PDF,37.0,30.0,14.0,8,9,
Ipsos Reid,"May 24, 2007",HTML,37.0,31.0,16.0,7,9,
Angus Reid Strategies,"May 23, 2007",HTML,35.0,28.0,18.0,9,9,
Decima,"May 20, 2007",HTML,33.0,31.0,17.0,8,10,
Strategic Counsel,"May 17, 2007",HTML,34.0,31.0,16.0,10,9,
Ipsos Reid,"May 17, 2007",HTML,36.0,32.0,14.0,9,7,
Ipsos Reid,"May 10, 2007",HTML,31.0,32.0,17.0,9,9,
SES Research,"May 3, 2007",HTML,32.0,33.0,17.0,9,10,
Ipsos Reid,"May 3, 2007",HTML,35.0,34.0,14.0,9,7,
Decima,"April 29, 2007",HTML,30.0,31.0,15.0,9,13,
Ipsos Reid,"April 26, 2007",HTML,38.0,31.0,14.0,8,8,
Strategic Counsel,"April 24, 2007",PDF,36.0,30.0,13.0,9,12,
Decima Research,"April 21, 2007",HTML[dead link],30.0,29.0,18.0,8,11,
Ipsos Reid,"April 19, 2007",HTML,39.0,29.0,16.0,9,7,
Decima Research,"April 15, 2007",HTML,34.0,31.0,15.0,7,11,
Ipsos Reid,"April 12, 2007",HTML,38.0,32.0,14.0,8,8,
SES Research,"April 5, 2007",PDF,36.0,33.0,16.0,10,6,
Decima Research,"April 5, 2007",HTML,39.0,30.0,13.0,8,8,
Environics,"April 3, 2007",HTML,36.0,28.0,16.0,8,12,
Ipsos Reid,"March 28, 2007",HTML,36.0,31.0,15.0,8,9,
Angus Reid Strategies,"March 28, 2007",PDF,39.0,22.0,17.0,10,11,
Decima Research,"March 25, 2007",HTML,35.0,31.0,13.0,8,10,
Léger Marketing,"March 25, 2007",HTML,41.0,27.0,14.0,9,6,
Ipsos-Reid,"March 22, 2007",HTML,40.0,29.0,14.0,9,7,
Strategic Counsel,"March 21, 2007",HTML,39.0,31.0,13.0,8,9,
Ipsos-Reid,"March 15, 2007",HTML,36.0,34.0,12.0,9,8,
Strategic Counsel,"March 13, 2007",HTML,36.0,31.0,15.0,9,10,
Angus Reid Strategies,"March 7, 2007",HTML,38.0,28.0,15.0,10,8,
Decima Research,"March 4, 2007",HTML Archived 2007-09-27 at the Wayback Machine,35.0,29.0,15.0,7,11,
Ipsos-Reid,"March 3, 2007",HTML,36.0,32.0,15.0,8,8,
Angus Reid Strategies,"February 27, 2007",HTML,40.0,26.0,15.0,10,8,
Decima Research,"February 26, 2007",HTML,36.0,27.0,13.0,8,13,
Ipsos-Reid,"February 24, 2007",HTML,36.0,34.0,13.0,9,8,
Decima Research,"February 18, 2007",HTML,32.0,30.0,15.0,9,11,
Strategic Counsel,"February 18, 2007",HTML,34.0,29.0,14.0,11,12,
Decima Research,"February 12, 2007",HTML,32.0,33.0,15.0,9,8,
SES Research,"February 8, 2007",PDF,33.0,33.0,17.0,10,7,
Léger Marketing,"February 4, 2007",PDF,38.0,31.0,14.0,8,7,
Decima Research,"January 22, 2007",HTML,32.0,33.0,13.0,13,9,
Léger Marketing,"January 21, 2007",HTML,35.0,32.0,13.0,8,9,
Ipsos-Reid,"January 18, 2007",HTML,33.0,37.0,13.0,-,-,
Decima Research,"January 15, 2007",HTML,32.0,33.0,13.0,10,9,
Strategic Counsel,"January 14, 2007",HTML,31.0,35.0,15.0,11,8,
Environics,"December 30, 2006",HTML,34.0,32.0,14.0,8,11,
Decima Research,"December 30, 2006",HTML,34.0,31.0,15.0,10,8,
Ipsos-Reid,"December 14, 2006",HTML,34.0,36.0,13.0,10,5,
Decima Research,"December 13, 2006",HTML,32.0,35.0,12.0,11,7,
EKOS,"December 9, 2006",HTML[permanent dead link],33.0,40.0,10.0,9,8,
Ipsos-Reid,"December 7, 2006",HTML,32.0,38.0,13.0,11,5,
Decima Research,"December 3, 2006",PDF,31.0,35.0,12.0,10,11,
Strategic Counsel,"December 3, 2006",HTML,31.0,37.0,14.0,11,7,
Léger Marketing,"November 26, 2006",HTML[permanent dead link],34.0,32.0,15.0,10,6,
Decima Research,"November 13, 2006",HTML,31.0,33.0,15.0,10,10,
SES Research,"November 9, 2006",PDF,34.0,32.0,16.0,13,5,
Environics,"November 6, 2006",HTML,33.0,32.0,19.0,9,5,
Decima Research,"November 5, 2006",HTML,31.0,28.0,18.0,10,9,
Ipsos-Reid,"November 2, 2006",HTML,37.0,29.0,19.0,9,5,
Decima Research,"October 16, 2006",HTML[dead link],32.0,30.0,15.0,11,10,
Strategic Counsel,"October 15, 2006",HTML,32.0,32.0,17.0,11,9,
EKOS,"October 12, 2006",HTML,36.0,31.7,16.2,9.9,6.2,
Environics,"October 12, 2006",,37.0,28.0,18.0,9,7,
Strategic Counsel,"September 17, 2006",HTML,35.0,26.0,19.0,12,8,
EKOS,"September 14, 2006",PDF,38.7,28.8,17.0,8.4,7.0,
Decima Research,"September 4, 2006",,34.0,30.0,14.0,11,10,
Decima Research,"August 28, 2006",PDF,33.0,28.0,19.0,10,8,
Ipsos-Reid,"August 24, 2006",,38.0,29.0,17.0,10,5,
SES Research,"August 23, 2006",PDF,36.0,30.0,18.0,11,5,
Decima Research,"August 13, 2006",PDF,36.0,29.0,15.0,10,7,
Decima Research,"July 31, 2006",PDF,32.0,31.0,16.0,11,8,
Strategic Counsel,"July 30, 2006",HTML,38.0,29.0,15.0,11,8,
Ipsos-Reid,"July 27, 2006",HTML,39.0,27.0,17.0,10,7,
Decima Research,"July 23, 2006",HTML,36.0,30.0,17.0,-,-,
Decima Research (without Greens),"July 16, 2006",PDF,36.0,30.0,19.0,11,-,
Decima Research (with Greens),"July 16, 2006",PDF,36.0,29.0,16.0,10,8,
Strategic Counsel,"July 16, 2006",HTML,37.0,26.0,18.0,11,8,
Environics,"June 23, 2006",HTML,39.0,25.0,21.0,9,4,
Decima Research,"June 18, 2006",HTML,38.0,28.0,19.0,10,-,
Strategic Counsel,"June 8, 2006",PDF Archived 2008-09-12 at the Wayback Machine,36.0,27.0,19.0,9,9,
Decima Research,"May 28, 2006",PDF,38.0,29.0,21.0,8,-,
Ipsos-Reid,"May 18, 2006",HTML,43.0,25.0,15.0,9,5,
SES Research,"May 9, 2006",PDF,38.0,28.0,19.0,9,6,
Strategic Counsel,"May 3, 2006",HTML,35.0,31.0,16.0,10,9,
Decima Research,"April 23, 2006",HTML,41.0,26.0,19.0,10,-,
Strategic Counsel,"April 9, 2006",HTML,39.0,29.0,14.0,11,5,
Environics,"March 31, 2006",HTML,41.0,22.0,21.0,10,5,
Decima Research,"March 26, 2006",HTML,39.0,28.0,19.0,11,-,
Ipsos-Reid,"March 23, 2006",HTML,38.0,28.0,19.0,9,5,
Decima Research,"March 13, 2006",HTML,37.0,28.0,19.0,10,-,
Decima Research,"February 27, 2006",HTML,35.0,28.0,21.0,10,-,
Ipsos-Reid,"February 23, 2006",HTML,39.0,27.0,20.0,8,5,
Strategic Counsel,"February 21, 2006",HTML,39.0,28.0,19.0,8,-,
Decima Research,"February 13, 2006",PDF,35.0,25.0,24.0,8,-,
SES Research,"February 9, 2006",PDF,33.0,34.0,18.0,9,7,
,,,,,,,,
Election 2006,"January 23, 2006",HTML,36.3,30.2,17.5,10.5,4.5,
