Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
22 Jul,Eddisbury by-election (Con hold)[20],Eddisbury by-election (Con hold)[20],Eddisbury by-election (Con hold)[20],Eddisbury by-election (Con hold)[20],Eddisbury by-election (Con hold)[20],Eddisbury by-election (Con hold)[20],Eddisbury by-election (Con hold)[20],Eddisbury by-election (Con hold)[20]
9–11 Jul,ICM,The Guardian,1200,48%,31%,16%,5%,17
18–21 Jun,MORI,The Times,2028,51%,28%,13%,8%,23
10 Jun,European Parliament election; Leeds Central by-election (Lab hold)[21][22],European Parliament election; Leeds Central by-election (Lab hold)[21][22],European Parliament election; Leeds Central by-election (Lab hold)[21][22],European Parliament election; Leeds Central by-election (Lab hold)[21][22],European Parliament election; Leeds Central by-election (Lab hold)[21][22],European Parliament election; Leeds Central by-election (Lab hold)[21][22],European Parliament election; Leeds Central by-election (Lab hold)[21][22],European Parliament election; Leeds Central by-election (Lab hold)[21][22]
4–5 Jun,ICM,The Guardian,1205,46%,29%,19%,7%,17
26 May – 1 Jun,Gallup,The Daily Telegraph,1000,52%,24%,16%,8%,28
21–24 May,MORI,The Times,2046,52%,28%,14%,6%,24
7–8 May,ICM,The Guardian,1205,51%,28%,16%,6%,23
6 May,Local elections in England and Wales; Scottish Parliament election; Welsh Assembly election[23][24][25],Local elections in England and Wales; Scottish Parliament election; Welsh Assembly election[23][24][25],Local elections in England and Wales; Scottish Parliament election; Welsh Assembly election[23][24][25],Local elections in England and Wales; Scottish Parliament election; Welsh Assembly election[23][24][25],Local elections in England and Wales; Scottish Parliament election; Welsh Assembly election[23][24][25],Local elections in England and Wales; Scottish Parliament election; Welsh Assembly election[23][24][25],Local elections in England and Wales; Scottish Parliament election; Welsh Assembly election[23][24][25],Local elections in England and Wales; Scottish Parliament election; Welsh Assembly election[23][24][25]
30 Apr – 1 May,MORI,Mail on Sunday,1008,50%,30%,14%,6%,20
21–28 Apr,Gallup,The Daily Telegraph,1006,52%,29%,13%,7%,23
23–26 Apr,MORI,The Times,1966,56%,25%,13%,6%,31
16–17 Apr,ICM,The Guardian,1205,52%,29%,16%,4%,23
30 Mar – 7 Apr,Gallup,The Daily Telegraph,1014,54%,27%,13%,7%,27
19–22 Mar,MORI,The Times,1907,54%,27%,13%,6%,27
5–7 Mar,ICM,The Guardian,1217,52%,29%,16%,4%,23
26 Feb – 4 Mar,Gallup,The Daily Telegraph,1002,52%,30%,11%,6%,22
19–22 Feb,MORI,The Times,1907,51%,30%,14%,6%,21
5–7 Feb,ICM,The Guardian,1211,49%,28%,16%,6%,21
28 Jan – 3 Feb,Gallup,The Daily Telegraph,1069,53%,29%,13%,5%,24
22–25 Jan,MORI,The Times,1930,56%,24%,14%,6%,32
6–12 Jan,NOP,Evening Standard,1600,57%,25%,12%,6%,32
4–6 Jan,Gallup,The Daily Telegraph,1017,52%,29%,13%,5%,23
30 Dec 1998 – 3 Jan 1999,ICM,The Guardian,1209,50%,30%,15%,5%,20
