Polling firm,Last date of polling[1],Link,CPC,NDP,LPC,BQ,GPC,Margin of error[2],Sample size[3],Polling method[4],Lead
Nanos Research,"September 18, 2015",[74],30.4,28.9,30.8,3.0,6.0,±2.8 pp,1200.0,telephone – rolling (1/3),0.4
Nanos Research,"September 17, 2015",[75],29.1,31.3,31.0,2.3,5.8,±2.8 pp,1200.0,telephone – rolling (1/3),0.3
Nanos Research,"September 16, 2015",[76],30.1,30.4,30.9,2.5,5.8,±2.8 pp,1200.0,telephone – rolling (1/3),0.5
Forum Research,"September 15, 2015",[77],32.0,30.0,28.0,4.0,6.0,±3 pp,1402.0,IVR,2
Nanos Research,"September 15, 2015",[78],29.0,31.6,30.1,2.8,5.3,±2.8 pp,1200.0,telephone – rolling (1/3),1.5
Environics,"September 15, 2015",[79],26.0,34.0,29.0,4.0,8.0,±3.6 pp,1001.0,telephone,5
EKOS,"September 15, 2015",[80],29.6,29.9,27.4,3.7,7.6,±1.9 pp,2704.0,IVR,0.3
Nanos Research,"September 14, 2015",[81],31.0,30.4,29.6,2.9,4.8,±2.8 pp,1200.0,telephone – rolling (1/3),0.6
Ipsos Reid,"September 13, 2015",[82],29.0,32.0,31.0,4.0,4.0,±3.6 pp,980.0,online,1
Nanos Research,"September 13, 2015",[83],30.2,31.3,30.3,2.6,4.3,±2.8 pp,1200.0,telephone – rolling (1/3),1.0
Nanos Research,"September 12, 2015",[84],31.7,30.8,30.5,2.5,4.1,±2.8 pp,1200.0,telephone – rolling (1/3),0.9
Abacus Data,"September 11, 2015",[85],29.0,31.0,29.0,4.0,6.0,±2.6 pp,1500.0,online,2
Nanos Research,"September 11, 2015",[86],30.9,30.1,31.7,2.8,4.0,±2.8 pp,1200.0,telephone – rolling (1/3),0.8
Forum Research,"September 10, 2015",[87],28.0,36.0,29.0,3.0,3.0,±3 pp,1308.0,IVR,7
Nanos Research,"September 10, 2015",[88],30.8,29.9,30.9,3.2,4.6,±2.8 pp,1200.0,telephone – rolling (1/3),0.1
Innovative Research,"September 10, 2015",[89],28.0,31.0,30.0,4.0,6.0,±2.2 pp,2121.0,online,1
Nanos Research,"September 9, 2015",[90],28.6,30.6,32.1,3.6,4.8,±2.8 pp,1200.0,telephone – rolling (1/3),1.5
Nanos Research,"September 8, 2015",[91],25.9,31.2,32.5,3.7,6.1,±2.8 pp,1200.0,telephone – rolling (1/3),1.3
Ipsos Reid,"September 8, 2015",[92],29.0,34.0,30.0,3.0,3.0,±3.6 pp,949.0,online,4
EKOS,"September 8, 2015",[93],31.8,29.6,26.9,4.6,5.9,±1.9 pp,2677.0,IVR,2.2
Nanos Research,"September 6, 2015",[94],26.2,32.7,30.8,3.7,6.0,±2.8 pp,1200.0,telephone – rolling,1.9
Léger Marketing,"September 2, 2015",[95],28.0,31.0,30.0,4.0,5.0,±2.1 pp,2119.0,online,1
Forum Research,"September 1, 2015",[96],24.0,36.0,32.0,4.0,4.0,±3 pp,1384.0,IVR,4
EKOS,"September 1, 2015",[97],29.5,30.2,27.7,4.2,6.4,±1.7 pp,3243.0,IVR,0.7
Abacus Data,"August 28, 2015",[98],30.0,31.0,28.0,3.0,7.0,±2.6 pp,1500.0,online,1
Nanos Research,"August 28, 2015",[99],28.8,30.8,29.7,4.2,5.4,±3.1 pp,1000.0,telephone – rolling (1/4),1.1
Innovative Research,"August 26, 2015",[100],30.0,32.0,27.0,4.0,6.0,±1.7 pp,3274.0,online,2
Ipsos Reid,"August 26, 2015",[101],29.0,33.0,30.0,4.0,4.0,±3.5 pp,1000.0,online,3
EKOS,"August 25, 2015",[102],28.1,33.6,26.7,4.1,5.8,±1.7 pp,3524.0,IVR,5.5
Forum Research,"August 24, 2015",[103],23.0,40.0,30.0,3.0,3.0,±3 pp,1440.0,IVR,10
Angus Reid[LV],"August 24, 2015",[104],32.0,36.0,23.0,4.0,4.0,±1.2 pp,6226.0,online,4
Nanos Research,"August 21, 2015",[105],30.1,29.1,29.9,4.7,5.2,±3.1 pp,1000.0,telephone – rolling (1/4),0.2
Forum Research,"August 19, 2015",[106],29.0,34.0,28.0,4.0,4.0,±3 pp,1473.0,IVR,5
Abacus Data,"August 17, 2015",[107],29.0,35.0,26.0,3.0,6.0,±2.6 pp,1439.0,online,6
Nanos Research,"August 14, 2015",[108],31.8,29.0,28.7,4.5,5.3,±3.1 pp,1000.0,telephone – rolling (1/4),2.8
Léger Marketing,"August 12, 2015",[109],27.0,33.0,28.0,5.0,6.0,±2.1 pp,2095.0,online,5
Mainstreet Research,"August 11, 2015",[110],31.0,30.0,29.0,4.0,6.0,±1.35 pp,5401.0,IVR,1
Forum Research,"August 11, 2015",[111],28.0,34.0,27.0,6.0,4.0,±3 pp,1392.0,IVR,6
EKOS,"August 11, 2015",[112],30.4,31.8,24.2,4.2,7.3,±1.8 pp,3055.0,IVR,1.4
Ipsos Reid,"August 10, 2015",[113],30.8,33.0,27.8,3.9,4.0,±2.38 pp,2022.0,telephone/online,2.2
Nanos Research,"August 7, 2015",[114],31.2,30.4,28.6,4.2,5.0,±3.1 pp,1000.0,telephone – rolling (1/4),0.8
Forum Research,"August 2, 2015",[115],28.0,39.0,25.0,5.0,3.0,±3 pp,1399.0,IVR,11
,,,,,,,,,,,
,,,,,,,,,,,
