Date(s) Conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
19 Jul,Ealing Southall by-election and Sedgefield by-election (both Lab holds),Ealing Southall by-election and Sedgefield by-election (both Lab holds),Ealing Southall by-election and Sedgefield by-election (both Lab holds),Ealing Southall by-election and Sedgefield by-election (both Lab holds),Ealing Southall by-election and Sedgefield by-election (both Lab holds),Ealing Southall by-election and Sedgefield by-election (both Lab holds),Ealing Southall by-election and Sedgefield by-election (both Lab holds),Ealing Southall by-election and Sedgefield by-election (both Lab holds)
12–17 Jul,Ipsos MORI,The Observer,1919,41%,35%,15%,9%,6
4–5 Jul,ICM,Sunday Mirror,1006,37%,35%,17%,10%,2
1 Jul,Populus,The Times,1504,37%,34%,18%,11%,3
28–29 Jun,YouGov,The Daily Telegraph,1886,38%,35%,15%,12%,3
27–28 Jun,ICM,The Guardian,1005,39%,35%,18%,8%,4
24–27 Jun,Gordon Brown is elected leader of the Labour Party and subsequently becomes Prime Minister,Gordon Brown is elected leader of the Labour Party and subsequently becomes Prime Minister,Gordon Brown is elected leader of the Labour Party and subsequently becomes Prime Minister,Gordon Brown is elected leader of the Labour Party and subsequently becomes Prime Minister,Gordon Brown is elected leader of the Labour Party and subsequently becomes Prime Minister,Gordon Brown is elected leader of the Labour Party and subsequently becomes Prime Minister,Gordon Brown is elected leader of the Labour Party and subsequently becomes Prime Minister,Gordon Brown is elected leader of the Labour Party and subsequently becomes Prime Minister
22–24 Jun,Communicate[permanent dead link],The Independent,1005,32%,37%,18%,13%,5
14–20 Jun,Ipsos MORI,The Observer,1970,39%,36%,15%,10%,3
14–15 Jun,YouGov,The Sunday Times,1753,35%,37%,14%,14%,2
1–3 Jun,Populus,,1503,33%,36%,17%,14%,3
30–31 May,ICM,The Sunday Telegraph,1014,32%,37%,21%,10%,5
25–28 May,Communicate[permanent dead link],The Independent,1003,31%,35%,19%,15%,4
21–23 May,YouGov,The Daily Telegraph,2050,33%,39%,15%,13%,6
18–20 May,ICM,The Guardian,1003,32%,34%,21%,12%,2
11–13 May,Populus,The Times,1504,33%,37%,17%,13%,4
10–11 May,YouGov,The Sunday Times,1962,34%,38%,15%,14%,4
10 May,"Tony Blair announces his resignation as leader of the Labour Party and Prime Minister, triggering a leadership election","Tony Blair announces his resignation as leader of the Labour Party and Prime Minister, triggering a leadership election","Tony Blair announces his resignation as leader of the Labour Party and Prime Minister, triggering a leadership election","Tony Blair announces his resignation as leader of the Labour Party and Prime Minister, triggering a leadership election","Tony Blair announces his resignation as leader of the Labour Party and Prime Minister, triggering a leadership election","Tony Blair announces his resignation as leader of the Labour Party and Prime Minister, triggering a leadership election","Tony Blair announces his resignation as leader of the Labour Party and Prime Minister, triggering a leadership election","Tony Blair announces his resignation as leader of the Labour Party and Prime Minister, triggering a leadership election"
3 May,Local elections in England and Scotland; Scottish Parliament election; National Assembly for Wales election,Local elections in England and Scotland; Scottish Parliament election; National Assembly for Wales election,Local elections in England and Scotland; Scottish Parliament election; National Assembly for Wales election,Local elections in England and Scotland; Scottish Parliament election; National Assembly for Wales election,Local elections in England and Scotland; Scottish Parliament election; National Assembly for Wales election,Local elections in England and Scotland; Scottish Parliament election; National Assembly for Wales election,Local elections in England and Scotland; Scottish Parliament election; National Assembly for Wales election,Local elections in England and Scotland; Scottish Parliament election; National Assembly for Wales election
23–25 Apr,YouGov,The Daily Telegraph,2019,32%,37%,18%,14%,5
19–25 Apr,Ipsos MORI,The Observer,1163,31%,38%,20%,11%,7
20–22 Apr,ICM,The Guardian,1005,30%,37%,21%,12%,7
13–15 Apr,Populus,The Times,1503,29%,37%,20%,14%,8
4–5 Apr,YouGov,The Sunday Times,2218,31%,39%,16%,14%,8
26–28 Mar,YouGov,The Daily Telegraph,2042,32%,39%,17%,13%,7
23–25 Mar,Communicate[permanent dead link],,1002,31%,35%,20%,14%,4
21–22 Mar,YouGov,The Daily Telegraph,2752,31%,39%,16%,14%,8
16–18 Mar,ICM,The Guardian,1011,31%,41%,18%,10%,10
15–16 Mar,YouGov,The Sunday Times,1897,32%,38%,16%,14%,6
9–15 Mar,Ipsos MORI,,1983,33%,41%,17%,9%,8
2–4 Mar,Populus,The Times,1509,30%,38%,18%,14%,8
23–25 Feb,Communicate[permanent dead link],,1001,29%,40%,17%,14%,11
19–21 Feb,YouGov,The Daily Telegraph,2292,32%,37%,17%,14%,5
16–18 Feb,ICM,The Guardian,1000,31%,40%,19%,10%,9
8–9 Feb,YouGov,The Sunday Times,2019,32%,37%,18%,14%,5
2–4 Feb,Populus,The Times,1509,33%,36%,19%,12%,3
19–29 Jan,Ipsos MORI,,949,35%,39%,19%,7%,4
26–28 Jan,Communicate[permanent dead link],,1008,29%,34%,21%,16%,5
22–24 Jan,YouGov,The Daily Telegraph,2245,31%,38%,18%,13%,7
19–21 Jan,ICM,The Guardian,1004,31%,37%,23%,9%,6
5–7 Jan,Populus,The Times,1507,32%,39%,18%,11%,7
