Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote[z],2pp vote[z]
5–10 Nov 2024,Resolve Strategic[340],409,38%,31%,14%,—N/a,4%,10%,2%,52.5%,47.5%
1–5 Oct 2024,Resolve Strategic[340],405,37%,29%,14%,—N/a,5%,9%,5%,50.5%,49.5%
15 Jul – 20 Sep 2024,Newspoll[340],1263,38%,31%,13%,—N/a,6%,—N/a,12%,52%,48%
3–7 Sep 2024,Resolve Strategic[340],407,36%,29%,13%,2%,4%,12%,4%,51.5%,48.5%
7–11 Aug 2024,Resolve Strategic[340],405,33%,30%,13%,1%,6%,13%,3%,53.5%,46.5%
10–13 Jul 2024,Resolve Strategic[340],404,36%,30%,15%,2%,5%,11%,2%,52.5%,47.5%
15 Apr – 26 Jun 2024,Newspoll[340],393,36%,33%,15%,—N/a,6%,—N/a,10%,54%,46%
11–16 Jun 2024,Resolve Strategic[340],405,32%,29%,15%,1%,7%,11%,4%,54%,46%
15–19 May 2024,Resolve Strategic[340],406,34%,29%,14%,2%,6%,12%,2%,52.5%,47.5%
17–21 Apr 2024,Resolve Strategic[340],406,34%,32%,11%,4%,5%,12%,2%,52.5%,47.5%
21–24 Mar 2024,Resolve Strategic[340],406,35%,35%,13%,2%,5%,9%,2%,54.5%,45.5%
31 Jan – 22 Mar 2024,Newspoll[340],926,34%,33%,16%,—N/a,5%,—N/a,12%,55%,45%
21–24 Feb 2024,Resolve Strategic[340],404,34%,32%,13%,2%,4%,8%,7%,54%,46%
31 Oct – 15 Dec 2023,Newspoll[340],917,34%,34%,15%,—N/a,5%,—N/a,12%,55%,45%
29 Nov – 3 Dec 2023,Resolve Strategic[340],405,34%,37%,11%,1%,4%,9%,4%,55.5%,44.5%
1–5 Nov 2023,Resolve Strategic[340],404,25%,37%,14%,3%,8%,9%,4%,60.5%,39.5%
28 Aug – 12 Oct 2023,Newspoll[340],887,35%,36%,13%,—N/a,4%,—N/a,12%,54%,46%
22 Sep – 4 Oct 2023,Resolve Strategic[212],1192,30%,39%,11%,2%,6%,8%,2%,58%,42%
6–9 Sep 2023,Resolve Strategic[220],404,32%,40%,13%,2%,3%,8%,2%,58.5%,41.5%
9–12 Aug 2023,Resolve Strategic[227],404,30%,38%,14%,1%,3%,10%,4%,59.5%,40.5%
12–15 Jul 2023,Resolve Strategic[231],406,26%,42%,13%,2%,5%,9%,3%,58%,42%
6–11 Jun 2023,Resolve Strategic[238],405,25%,40%,15%,3%,6%,7%,4%,62.5%,37.5%
14–16 May 2023,Resolve Strategic[247],406,25%,48%,12%,1%,4%,7%,2%,66%,34%
12–16 Apr 2023,Resolve Strategic[340],406,32%,39%,11%,2%,3%,11%,3%,57.5%,42.5%
1 Feb – 3 Apr 2023,Newspoll[340],1193,33%,41%,11%,—N/a,4%,—N/a,11%,58%,42%
12–16 Mar 2023,Resolve Strategic[340],403,29%,43%,9%,1%,6%,8%,4%,60%,40%
15–19 Feb 2023,Resolve Strategic[340],404,27%,40%,14%,2%,3%,11%,2%,62%,38%
17–22 Jan 2023,Resolve Strategic[340],406,31%,41%,13%,2%,3%,7%,4%,59.5%,40.5%
30 Nov – 4 Dec 2022,Resolve Strategic[340],406,27%,46%,11%,2%,2%,7%,5%,63.5%,36.5%
27 Jul – 3 Dec 2022,Newspoll[340],1448,33%,37%,13%,—N/a,5%,—N/a,12%,57%,43%
26–30 Oct 2022,Resolve Strategic[274],406,32%,39%,12%,2%,2%,11%,3%,58%,42%
5–9 Oct 2022,Resolve Strategic[275],404,30%,40%,10%,5%,4%,9%,3%,58%,42%
14–18 Sep 2022,Resolve Strategic[277],405,30%,38%,14%,2%,3%,8%,5%,59.5%,40.5%
17–21 Aug 2022,Resolve Strategic[281],507,24%,42%,11%,3%,5%,10%,5%,63%,37%
21 Jun 2022,Roy Morgan[286],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,60.5%,39.5%
21 May 2022,Election,Election,33.1%,32.9%,13.7%,4.7%,3.8%,6.5%,5.3%,54.8%,45.2%
