Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote[x],2pp vote[x]
12–16 Mar 2023,Resolve Strategic[340],508,35%,39%,11%,5%,1%,7%,2%,55.5%,44.5%
15–19 Feb 2023,Resolve Strategic[340],509,31%,41%,10%,6%,1%,9%,2%,58.5%,41.5%
17–22 Jan 2023,Resolve Strategic[340],512,31%,40%,10%,8%,2%,7%,2%,57.5%,42.5%
30 Nov – 4 Dec 2022,Resolve Strategic[340],512,33%,38%,12%,5%,3%,8%,2%,56.5%,43.5%
27 Jul – 3 Dec 2022,Newspoll[340],1817,35%,38%,11%,6%,—N/a,—N/a,10%,55%,45%
26–30 Oct 2022,Resolve Strategic[274],512,32%,41%,10%,6%,1%,8%,2%,57.9%,42.1%
5–9 Oct 2022,Resolve Strategic[275],509,32%,39%,12%,6%,3%,7%,2%,57%,43%
14–18 Sep 2022,Resolve Strategic[277],510,29%,41%,9%,7%,3%,9%,3%,58.5%,41.5%
17–21 Aug 2022,Resolve Strategic[281],639,29%,42%,11%,5%,2%,8%,3%,60.5%,39.5%
21 Jun 2022,Roy Morgan[286],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,46.5%,53.5%
21 May 2022,Election,Election,36.5%,33.4%,10%,4.8%,4%,7.6%,3.7%,51.4%,48.6%
