Polling firm,Last date of polling[1],Link,LPC,CPC,NDP,BQ,GPC,PPC[5],Margin of error[2],Sample size[3],Polling method[4],Lead
Abacus Data,"March 6, 2019",[206],32,34,18,4,9,,±3.3 pp,900 (1/3),online (rolling),2
Abacus Data,"March 5, 2019",[207],31,35,17,4,9,,±3.3 pp,900 (1/3),online (rolling),4
Innovative Research,"March 4, 2019",[208],36,32,13,5,9,5,,2122,online,4
Ipsos,"March 4, 2019",[209],31,40,20,4,4,0,±3.5 pp,1000,online,9
Abacus Data,"March 4, 2019",[210],30,36,17,5,9,,±2.6 pp,1500,online,6
Nanos Research,"March 1, 2019",[211],34.2,34.7,15.5,3.6,9.1,0.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.5
Forum Research,"February 28, 2019",[212],33,42,12,3,5,4,±3 pp,1301,IVR,9
Abacus Data,"February 26, 2019",[213],32,33,17,4,9,,±2.1 pp,2374,online,1
Angus Reid,"February 24, 2019",[214],31,38,14,5,8,,±3.1 pp,1009,online,7
Nanos Research,"February 22, 2019",[215],35.7,33.6,15.0,3.7,8.4,1.2,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.1
Leger,"February 19, 2019",[216],34,36,12,5,8,4,±2.51 pp,1529,online,2
Ipsos,"February 18, 2019",[217],34,36,17,6,,,±3.5 pp,1002,online,2
Nanos Research,"February 15, 2019",[218],37.9,31.8,13.7,4.1,7.8,1.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.1
Abacus Data,"February 11, 2019",[219],33,35,15,4,9,,±2.0 pp,2500,online,2
Campaign Research,"February 11, 2019",[220],32,37,14,5,7,3,±2.5 pp,1590,online,5
Nanos Research,"February 8, 2019",[221],37.5,34.4,13.0,3.8,7.4,1.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.1
Abacus Data,"February 5, 2019",[222],34,34,17,4,8,,±2.0 pp,2500,online,0
Nanos Research,"February 1, 2019",[223],37.6,35.9,13.2,3.1,7.9,1.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.7
Nanos Research,"January 25, 2019",[224],37.6,36.6,12.8,3.0,8.1,1.2,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.0
Innovative Research,"January 24, 2019",[225],38,32,12,5,8,4,,2451,online,6
Mainstreet Research,"January 18, 2019",[226],37.2,35.1,11.5,3.2,7.2,4.2,±1.1 pp,7941,IVR,2.1
Nanos Research,"January 18, 2019",[227],37.2,36.1,14.2,3.2,7.4,1.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.1
"Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)","Yves-François Blanchet is acclaimed leader of the Bloc Québécois (January 17, 2019)"
Nanos Research,"January 11, 2019",[228],38.1,33.9,15.4,3.3,6.9,1.6,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.2
Innovative Research,"January 7, 2019",[229],36,33,15,5,8,4,,2700,online,3
Nanos Research,"January 4, 2019",[230],38.7,33.3,16.7,3.0,6.0,1.4,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.4
Nanos Research,"December 28, 2018",[231],36.8,34.4,16.1,3.4,6.4,1.2,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.4
Nanos Research,"December 21, 2018",[232],35.2,34.1,16.0,3.8,7.0,1.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.1
Abacus Data,"December 18, 2018",[233],35,34,17,4,7,,±2.5 pp,2000,online,1
Nanos Research,"December 14, 2018",[234],36.0,33.9,16.6,3.4,6.6,0.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.1
Campaign Research,"December 13, 2018",[235],33,35,16,4,8,2,±2.5 pp,1494,online,2
Ipsos,"December 12, 2018",[236],38,33,18,4,,,±2.5 pp,2001,online,5
Nanos Research,"December 7, 2018",[237],34.1,34.8,15.8,3.1,8.2,0.8,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.7
Nanos Research,"November 30, 2018",[238],37.9,32.2,14.3,3.0,7.6,0.8,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.7
Forum Research,"November 29, 2018",[239],34,43,11,4,6,,±3 pp,1541,IVR,9
Nanos Research,"November 23, 2018",[240],39.6,31.5,14.5,2.4,6.9,1.1,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.1
Leger,"November 20, 2018",[241],39,33,14,4,5,4,±2.51 pp,1521,online,6
Nanos Research,"November 16, 2018",[242],39.4,28.7,17.2,2.5,7.3,1.1,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.7
Innovative Research,"November 15, 2018",[243],38,32,14,4,8,3,,2490,online,6
Abacus Data,"November 13, 2018",[244],38,31,16,4,9,,±2.6 pp,1500,online,7
Campaign Research,"November 9, 2018",[245],35,35,17,4,7,,±2.5 pp,2512,online,0
Nanos Research,"November 9, 2018",[246],39.4,27.5,19.8,2.0,6.1,1.4,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.9
Mainstreet Research,"November 7, 2018",[247],39.3,34.6,10.8,3.4,6.8,3.8,±1.09 pp,7961,IVR,4.7
Nanos Research,"November 2, 2018",[248],39.6,28.1,19.3,1.9,6.9,1.2,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.5
Nanos Research,"October 26, 2018",[249],39.4,28.2,19.3,2.8,6.5,1.0,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.2
Nanos Research,"October 19, 2018",[250],39.5,29.4,16.9,3.6,7.0,1.4,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.1
Nanos Research,"October 12, 2018",[251],37.1,31.4,16.1,3.7,7.2,1.3,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.7
Forum Research,"October 10, 2018",[252],32,41,15,4,7,,±3 pp,1226,IVR,9
Ipsos,"October 9, 2018",[253],36,35,20,4,,,±2.5 pp,2001,online,1
Nanos Research,"October 5, 2018",[254],37.3,31.1,16.2,3.8,6.7,,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.2
Innovative Research,"October 1, 2018",[255],38,31,15,5,7,3,,2410,online,7
Nanos Research,"September 28, 2018",[256],38.0,31.7,16.7,2.6,6.0,,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.3
Nanos Research,"September 21, 2018",[257],39.0,31.2,17.0,2.4,5.5,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.8
Pollara,"September 20, 2018",[258],40,34,12,3,7,2,±3.1 pp,1002,online,6
Abacus Data,"September 19, 2018",[259],38,34,17,3,7,,±2.2 pp,2000,online,4
DART/Maru,"September 19, 2018",[260],30,38,17,5,8,,±2.1 pp,5769,online,8
"Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)","Maxime Bernier forms the People's Party of Canada following his resignation from the Conservative Party caucus (September 14, 2018)"
Campaign Research,"September 14, 2018",[261],36,38,15,5,7,,±2.5 pp,1486,online,2
Nanos Research,"September 14, 2018",[262],41.1,31.4,14.9,2.0,5.8,,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.7
Nanos Research,"September 7, 2018",[263],39.9,32.8,14.9,2.5,6.5,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.1
Nanos Research,"August 31, 2018",[264],39.9,32.4,15.8,3.4,6.7,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.5
Abacus Data,"August 25, 2018",[265],37,34,18,3,6,,±3.1 pp,1000,online,3
Nanos Research,"August 24, 2018",[266],38.8,34.4,16.5,2.9,6.3,,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.4
Abacus Data,"August 20, 2018",[267],37,33,18,3,8,,±2.5 pp,1500,online,4
Nanos Research,"August 17, 2018",[268],37.5,33.9,19.0,3.2,5.7,,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.6
Forum Research,"August 12, 2018",[269],36,42,15,2,4,,±3 pp,1777,IVR,6
Nanos Research,"August 10, 2018",[270],35.8,35.1,20.1,3.2,4.8,,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.7
Nanos Research,"August 3, 2018",[271],36.9,36.6,17.8,2.3,5.2,,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.3
Nanos Research,"July 27, 2018",[272],35.8,35.2,19.1,2.2,6.6,,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.6
EKOS,"July 26, 2018",[273],34.9,32.1,17.3,4.0,9.3,,±2.7 pp,1302,IVR,2.8
Abacus Data,"July 22, 2018",[274],36,34,19,3,7,,±2.2 pp,2000,online,2
Nanos Research,"July 20, 2018",[275],35.8,35.9,19.0,2.0,6.1,,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.1
Mainstreet Research,"July 17, 2018",[276],39.4,36.9,11.8,2.4,7.0,,±1.01 pp,9384,IVR,2.5
Ipsos,"July 16, 2018",[277],39,32,21,2,,,±3.5 pp,1000,online,7
Nanos Research,"July 13, 2018",[278],37.3,34.5,18.4,1.8,7.1,,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.8
Nanos Research,"July 6, 2018",[279],35.7,33.4,20.3,2.4,6.8,,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.3
Ipsos,"June 29, 2018",[280],33,37,21,3,,,±3.5 pp,1002,online,4
Nanos Research,"June 29, 2018",[281],36.5,33.1,20.8,2.7,5.4,,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.4
Nanos Research,"June 22, 2018",[282],36.7,32.0,20.6,3.6,5.7,,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.7
Campaign Research,"June 18, 2018",[283],34,36,18,3,8,,±2.5 pp,1579,online,2
Ipsos,"June 15, 2018",[284],32,36,20,5,,,±3.5 pp,1001,online,4
Nanos Research,"June 15, 2018",[285],36.9,32.5,19.9,4.1,5.1,,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.4
Angus Reid,"June 14, 2018",[286],36,32,16,4,9,,±3.1 pp,1023,online,4
"Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)","Mario Beaulieu is named interim leader of the Bloc Québécois (June 13, 2018)"
Nanos Research,"June 8, 2018",[287],35.3,33.0,22.0,4.1,4.8,,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.3
Nanos Research,"June 1, 2018",[288],34.1,34.0,21.2,4.4,5.4,,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.1
Forum Research,"May 31, 2018",[289],31,44,17,2,5,,±3 pp,969,IVR,13
Nanos Research,"May 25, 2018",[290],33.0,36.0,19.8,4.0,6.4,,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.0
Nanos Research,"May 18, 2018",[291],35.1,34.0,20.1,3.6,5.9,,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.1
Forum Research,"May 16, 2018",[292],30,46,18,2,4,,±3 pp,1484,IVR,16
Innovative Research,"May 14, 2018",[293],35,38,15,4,7,,,2327,online,3
Nanos Research,"May 11, 2018",[294],36.1,34.4,18.5,3.7,6.0,,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.7
Leger,"May 10, 2018",[295],39,36,15,2,,,±2.1 pp,2103,online,3
Nanos Research,"May 4, 2018",[296],38.0,33.2,17.6,4.2,5.4,,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.8
Innovative Research,"May 2, 2018",[297],35,38,16,4,6,,±3.1 pp,1000,telephone,3
Ipsos,"April 30, 2018",[298],36,35,20,3,,,±2.6 pp,1907,online,1
Nanos Research,"April 27, 2018",[299],39.2,30.6,18.2,4.4,5.9,,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.6
Forum Research,"April 20, 2018",[300],30,43,14,4,8,,±2 pp,1585,IVR,13
Nanos Research,"April 20, 2018",[301],38.2,31.6,17.9,3.7,7.0,,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.6
Mainstreet Research,"April 18, 2018",[302],40.4,37.1,11.9,2.6,5.9,,±1.01 pp,9401,IVR,3.3
Nanos Research,"April 13, 2018",[303],41.1,29.2,15.8,3.8,8.2,,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.9
Nanos Research,"April 6, 2018",[304],38.2,32.9,17.2,3.0,7.0,,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.3
Nanos Research,"March 29, 2018",[305],39.1,33.7,16.4,2.4,6.5,,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.4
Ipsos,"March 23, 2018",[306],31,38,23,3,,,±3.5 pp,1003,online,7
Nanos Research,"March 23, 2018",[307],38.1,34.7,16.8,3.1,5.5,,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.4
Nanos Research,"March 16, 2018",[308],35.9,34.8,18.5,3.5,6.2,,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.1
Angus Reid,"March 15, 2018",[309],30,40,19,4,6,,±2 pp,5423,online,10
Nanos Research,"March 9, 2018",[310],35.8,33.1,19.3,4.5,6.7,,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.7
Leger,"March 8, 2018",[311],38,38,14,3,5,,±2.5 pp,1536,online,0
Abacus Data,"March 4, 2018",[312],36,33,18,3,8,,±2.2 pp,4023,online,3
Nanos Research,"March 2, 2018",[313],36.5,32.7,19.0,4.0,7.1,,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.8
Ipsos,"March 1, 2018",[314],33,38,21,3,,,±3.5 pp,1001,online,5
Forum Research,"March 1, 2018",[315],34,46,14,2,3,,±3 pp,941,IVR,12
Nanos Research,"February 23, 2018",[316],37.7,31.5,19.2,3.8,6.9,,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.2
Nanos Research,"February 16, 2018",[317],36.6,30.8,20.3,3.3,8.0,,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.8
Campaign Research,"February 10, 2018",[318],39,32,16,4,7,,±2.1 pp,2227,online,7
Nanos Research,"February 9, 2018",[319],38.1,30.4,18.5,3.1,8.8,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.7
Nanos Research,"February 2, 2018",[320],38.1,30.3,19.7,3.0,7.6,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.8
Abacus Data,"January 28, 2018",[321],39,32,18,4,6,,±2.7 pp,1411,online,7
Nanos Research,"January 26, 2018",[322],37.8,30.6,19.9,3.5,7.5,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.2
Forum Research,"January 24, 2018",[323],38,43,12,3,3,,±3 pp,1408,IVR,5
Nanos Research,"January 19, 2018",[324],37.9,34.4,17.3,3.7,6.0,,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.5
Nanos Research,"January 12, 2018",[325],37.0,33.8,20.0,3.8,4.5,,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.2
Campaign Research,"January 11, 2018",[326],42,29,16,4,7,,±2.3 pp,1887,online,13
Mainstreet Research,"January 6, 2018",[327],40.3,34.5,13.1,4.4,7.7,,±0.99 pp,9830,IVR,5.8
