Date,Political parties,Political parties,Political parties,Political parties,Political parties,Two-party-preferred,Two-party-preferred,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
16 Sep 2008,Malcolm Turnbull is elected Opposition in a Liberal Party leadership spill,Malcolm Turnbull is elected Opposition in a Liberal Party leadership spill,Malcolm Turnbull is elected Opposition in a Liberal Party leadership spill,Malcolm Turnbull is elected Opposition in a Liberal Party leadership spill,Malcolm Turnbull is elected Opposition in a Liberal Party leadership spill,Malcolm Turnbull is elected Opposition in a Liberal Party leadership spill,Malcolm Turnbull is elected Opposition in a Liberal Party leadership spill,Malcolm Turnbull is elected Opposition in a Liberal Party leadership spill,Malcolm Turnbull is elected Opposition in a Liberal Party leadership spill,Malcolm Turnbull is elected Opposition in a Liberal Party leadership spill,Malcolm Turnbull is elected Opposition in a Liberal Party leadership spill,Malcolm Turnbull is elected Opposition in a Liberal Party leadership spill
5–7 Sep 2008,44%,34%,3%,11%,8%,56%,44%,,,,,
22–24 Aug 2008,45%,34%,4%,8%,9%,56%,44%,,,,,
8–10 Aug 2008,47%,33%,5%,9%,6%,57%,43%,,,,,
25–27 Jul 2008,47%,33%,4%,10%,6%,57%,43%,,,,,
11–13 Jul 2008,43%,33%,5%,11%,8%,55%,45%,,,,,
27–29 Jun 2008,44%,34%,5%,10%,7%,55%,45%,,,,,
13–15 Jun 2008,46%,29%,4%,12%,9%,59%,41%,,,,,
30 May – 1 Jun 2008,46%,33%,4%,10%,7%,57%,43%,,,,,
16–18 May 2008,47%,34%,3%,9%,7%,57%,43%,,,,,
2–4 May 2008,47%,33%,4%,9%,7%,57%,43%,,,,,
18–20 Apr 2008,51%,30%,4%,9%,6%,61%,39%,,,,,
4–6 Apr 2008,48%,32%,3%,10%,7%,59%,41%,,,,,
14–16 Mar 2008,47%,31%,4%,11%,7%,59%,41%,,,,,
29 Feb – 2 Mar 2008,51%,28%,3%,10%,8%,63%,37%,,,,,
15–17 Feb 2008,46%,33%,3%,10%,8%,57%,43%,,,,,
18–20 Jan 2008,46%,32%,3%,12%,7%,58%,42%,,,,,
2007 election,43.4%,36.6%,5.5%,7.8%,6.7%,52.7%,47.3%,,,,,
20–22 Nov 2007,44%,39%,4%,7%,6%,52%,48%,,,,,
Polling conducted by Newspoll and published in The Australian.,Polling conducted by Newspoll and published in The Australian.,Polling conducted by Newspoll and published in The Australian.,Polling conducted by Newspoll and published in The Australian.,Polling conducted by Newspoll and published in The Australian.,Polling conducted by Newspoll and published in The Australian.,Polling conducted by Newspoll and published in The Australian.,Polling conducted by Newspoll and published in The Australian.,Polling conducted by Newspoll and published in The Australian.,Polling conducted by Newspoll and published in The Australian.,Polling conducted by Newspoll and published in The Australian.,,
