Polling firm,Last date of polling[a],Link,Approve,Disapprove,Unsure/ Neither,Margin of error[c],Sample size[d],Polling method[e],Net approval
Abacus Data,"April 9, 2024",[341],26%,60%,—N/a,±2.1 pp,2000,Online,–34%
Leger,"March 25, 2024",[345],28%,66%,4%,±2.45 pp,1605,Online,–38%
Abacus Data,"March 21, 2024",[347],26%,59%,—N/a,±1.7 pp,3550,Online,–33%
Abacus Data,"March 6, 2024",[352],26%,58%,—N/a,±2.5 pp,1500,Online,–32%
Leger,"February 25, 2024",[355],29%,66%,4%,±2.49 pp,1590,Online,–37%
Abacus Data,"February 21, 2024",[357],24%,59%,18%,±2.0 pp,2125,Online,–35%
Abacus Data,"February 7, 2024",[360],24%,59%,17%,±2.0 pp,2398,Online,–35%
Leger,"January 28, 2024",[362],30%,63%,5%,±2.47 pp,1579,Online,–33%
Abacus Data,"January 23, 2024",[365],28%,58%,14%,±2.1 pp,2199,Online,–30%
Abacus Data,"January 9, 2024",[370],26%,58%,16%,±2.6 pp,1500,Online,–32%
Leger,"December 17, 2023",[375],33%,61%,5%,±2.43 pp,1622,Online,–28%
Abacus Data,"December 12, 2023",[752],28%,56%,16%,±2.3 pp,1919,Online,–28%
Abacus Data,"November 28, 2023",[753],27%,57%,16%,±2.0 pp,2417,Online,–30%
Leger,"November 26, 2023",[387],29%,64%,6%,±2.51 pp,1529,Online,–35%
Leger,"November 12, 2023",[754],30%,63%,7%,±2.44 pp,1612,Online,–33%
Abacus Data,"November 12, 2023",[755],26%,58%,16%,±2.3 pp,2000,Online,–32%
Leger,"October 29, 2023",[399],30%,63%,5%,±2.4 pp,1632,Online,–33%
Leger,"September 27, 2023",[410],33%,60%,5%,±2.4 pp,1652,Online,–27%
Abacus Data,"September 12, 2023",[415],29%,57%,14%,±2.1 pp,2125,Online,–28%
Abacus Data,"September 4, 2023",[420],31%,53%,16%,±1.7 pp,3595,Online,–22%
Abacus Data,"August 7, 2023",[756],31%,54%,15%,±2.0 pp,1650,Online,–23%
Abacus Data,"July 25, 2023",[433],32%,51%,17%,±2.0 pp,2486,Online,–19%
Abacus Data,"May 3, 2023",[457],34%,49%,17%,±2.4 pp,1750,Online,–15%
Abacus Data,"March 21, 2023",[467],33%,49%,18%,±2.3 pp,1963,Online,–16%
Abacus Data,"March 4, 2023",[475],35%,49%,16%,±2.0 pp,2600,Online,–14%
Abacus Data,"February 18, 2023",[478],34%,48%,18%,±1.6 pp,4000,Online,–14%
Abacus Data,"January 30, 2023",[483],34%,49%,17%,±2.6 pp,1500,Online,–15%
,,,,,,,,,
Abacus Data,"January 16, 2023",[488],34%,47%,19%,±2.2 pp,2099,Online,–13%
Abacus Data,"October 26, 2022",[506],35%,47%,18%,±2.1 pp,1500,Online,–12%
Ipsos,"September 21, 2022",[514],42%,58%,—N/a,±3.5 pp,1000,Online,–16%
Abacus Data,"September 14, 2022",[522],37%,49%,14%,±2.2 pp,1990,Online,–12%
Abacus Data,"August 30, 2022",[522],36%,49%,15%,±2.6 pp,1500,Online,–13%
Abacus Data,"July 27, 2022",[522],34%,51%,15%,±2.0 pp,2400,Online,–17%
Abacus Data,"July 17, 2022",[524],38%,46%,16%,±2.6 pp,1500,Online,–8%
Abacus Data,"June 23, 2022",[524],38%,45%,17%,±1.8 pp,3026,Online,–7%
Abacus Data,"May 24, 2022",[531],40%,43%,17%,±2.6 pp,1500,Online,–3%
Abacus Data,"May 6, 2022",[534],41%,42%,17%,±2.6 pp,1500,Online,–1%
Abacus Data,"April 9, 2022",[538],41%,44%,15%,±2.1 pp,2000,Online,–3%
Abacus Data,"March 25, 2022",[540],40%,42%,18%,±2.6 pp,1500,Online,–2%
Abacus Data,"February 22, 2022",[544],39%,46%,15%,±1.4 pp,5200,Online,–7%
Abacus Data,"February 8, 2022",[548],38%,45%,16%,±2.6 pp,1500,Online,–7%
Ipsos,"January 17, 2022",[757],49%,51%,—N/a,±3.5 pp,1001,Online,–2%
Abacus Data,"January 12, 2022",[557],44%,40%,16%,±2.1 pp,2200,Online,+4%
Abacus Data,"November 30, 2021",[563],41%,44%,15%,±2.2 pp,2025,Online,–3%
Ipsos,"November 15, 2021",[758],48%,52%,—N/a,±3.5 pp,1001,Online,–4%
Abacus Data,"October 20, 2021",[570],42%,43%,16%,±1.9 pp,2200,Online,–1%
